CoordinateSystem,WECC240_CrsUrn,F4E4BFC7-395E-41E5-92B7-935CCFD22DCC
Location,Xfmr_1001_1002_0_1_Loc,6071797E-D443-423A-B66E-91AA97CDDC06
Location,Xfmr_1001_1002_0_2_Loc,2E90C22A-6572-4D9E-9C5A-8194508F4330
Location,Xfmr_1002_1003_0_1_Loc,DF47565E-F691-4F27-9AB6-044185CABBC8
Location,Xfmr_1002_1003_0_2_Loc,BC664815-371B-461A-81D4-D5047E94BE00
Location,Xfmr_1002_1032_0_1_Loc,8561F41C-C1DB-4172-8B79-1B653629D928
Location,Xfmr_1004_1034_0_1_Loc,26E3F906-9FD2-4F89-8F30-6D0BB4A2C692
Location,Xfmr_1101_1102_0_1_Loc,0414A6BA-334F-43A4-9A8F-BE57828B6A92
Location,Xfmr_1101_1102_0_2_Loc,4B6C736E-590F-43B9-AE77-4091AE09A90D
Location,Xfmr_1101_1131_0_1_Loc,1ABDD565-FF2A-4434-8A20-5985DAE90927
Location,Xfmr_1202_1232_0_1_Loc,618813DD-2884-41EF-B087-51BF61C59494
Location,Xfmr_1301_1331_0_1_Loc,88A3ADD7-9F7B-4992-8C69-443BE8087E43
Location,Xfmr_1302_1303_0_1_Loc,327417C2-0730-4B17-B891-9A3D08DC5DFE
Location,Xfmr_1303_1333_0_1_Loc,EB976940-9D14-4663-BA24-336FEF04B4CC
Location,Xfmr_1401_1403_0_1_Loc,38761AFB-4C55-4FF3-8529-56BA7A409B4C
Location,Xfmr_1401_1431_0_1_Loc,BA56D98A-8459-49D2-A825-DD47850FD984
Location,Xfmr_2000_2030_0_1_Loc,F654AF1F-BAEF-4DFF-9AA7-2C6CDD42E73A
Location,Xfmr_2100_2130_0_1_Loc,72B1246E-FC72-434B-BF2D-1B799B2282F8
Location,Xfmr_2100_2400_0_1_Loc,FD852926-E5D4-4F7F-850A-E2D4E04AE3EF
Location,Xfmr_2201_2202_0_1_Loc,6B665442-58A2-48D2-A1E3-E4A8EFE70373
Location,Xfmr_2201_2202_0_2_Loc,060E8EF6-E211-4901-BC5F-3BFE67443AD1
Location,Xfmr_2203_2233_0_1_Loc,F1ABD19B-FFA9-424D-B58D-8ECE99BEA940
Location,Xfmr_2301_2302_0_1_Loc,35035A30-479F-4D59-9C0A-A5F342D6311C
Location,Xfmr_2301_2302_0_2_Loc,4A527304-35A7-4199-83EC-A2FE8961F919
Location,Xfmr_2302_2332_0_1_Loc,2BF56333-B004-4037-84EC-F474B90EDD1C
Location,Xfmr_2401_2431_0_1_Loc,71BDBBAA-99DA-4865-83A7-127F9253F0C2
Location,Xfmr_2402_2409_0_1_Loc,49A25805-F15C-4A68-9011-E54F867E1850
Location,Xfmr_2404_2411_0_1_Loc,53C96C4C-1B11-475F-B04C-2585CB137527
Location,Xfmr_2404_2411_0_2_Loc,786613DF-A386-4B3D-AE66-79739DD93ABE
Location,Xfmr_2404_2411_0_3_Loc,AC634055-584E-4391-B5D4-91BECAA168B0
Location,Xfmr_2405_2619_0_1_Loc,BFBC83C2-F974-478F-8DE5-F0B9F564F66B
Location,Xfmr_2408_2438_0_1_Loc,69EE5C87-5C52-444A-90FB-B3F335F6D21A
Location,Xfmr_2409_2439_0_1_Loc,4DAAE39B-A689-4EA4-997F-E1F4582392AA
Location,Xfmr_2411_2434_0_1_Loc,BDF09E9B-CAA5-428D-A345-0A759B0B43C8
Location,Xfmr_2501_2502_0_1_Loc,7E7E5C91-5E5E-428B-90CF-E57407B72783
Location,Xfmr_2501_2502_0_2_Loc,A8FFD863-16C2-44D8-90E9-3C20984D7F3E
Location,Xfmr_2501_2502_0_3_Loc,F23C8FCC-261C-4475-8F7D-E6224DBD1E4F
Location,Xfmr_2503_2533_0_1_Loc,26DFDBC3-E498-4D75-A7EE-DA3693565013
Location,Xfmr_2601_2612_0_1_Loc,9EC589BF-DBA4-497D-8741-95995880F7E0
Location,Xfmr_2602_2615_0_1_Loc,9211CD7C-9A34-469B-AF5A-A31E3092275B
Location,Xfmr_2602_2615_0_2_Loc,2253D6E0-64F3-40C6-AFB8-6BD8DF707F26
Location,Xfmr_2603_2607_0_1_Loc,087E780D-35CC-40FD-9C31-147CBA964C08
Location,Xfmr_2604_2634_0_1_Loc,72DEA4CE-E190-45DD-BA0C-DAB6B65E72B2
Location,Xfmr_2605_2621_0_1_Loc,9292FC66-59AF-4505-8382-F608ED068321
Location,Xfmr_2606_2621_0_1_Loc,5341D367-BA59-49C7-8527-77FFF7D5E73B
Location,Xfmr_2608_2638_0_1_Loc,9AA7B889-916F-4742-98B2-139A4972288B
Location,Xfmr_2610_2630_0_1_Loc,925475F9-25E2-4794-8EB1-DFD43755F092
Location,Xfmr_2611_2631_0_1_Loc,D01EA083-56A2-45B0-B393-B8E05E5B9F3C
Location,Xfmr_2612_2637_0_1_Loc,5752B1AF-C36D-4590-8140-9BF7A6152509
Location,Xfmr_2614_2621_0_1_Loc,5AC03795-D9E8-4E94-BC3E-E224385791DC
Location,Xfmr_2614_2621_0_2_Loc,5632393F-C61E-491E-8CA8-D7AD5AFA0114
Location,Xfmr_3102_3104_0_1_Loc,6358C1A7-6BAD-47C7-A0B1-FA05D6B9A0A8
Location,Xfmr_3103_3133_0_1_Loc,C31B51E6-78D2-4F0D-91DE-A91459A5676B
Location,Xfmr_3105_3135_0_1_Loc,52DC8301-5E62-4568-9271-5C907C04C7CF
Location,Xfmr_3204_3234_0_1_Loc,E9861E7B-0C31-4740-9B3F-6D0F9800595D
Location,Xfmr_3301_3303_0_1_Loc,91EE7868-26C6-43FC-A546-F1EE33A385DF
Location,Xfmr_3301_3303_0_2_Loc,81FA0A7F-F838-4FF4-B650-E33DC78E4903
Location,Xfmr_3301_3303_0_3_Loc,5908C3B0-F0CB-4731-AEB9-AA287F536D85
Location,Xfmr_3303_3333_0_1_Loc,04B4D0BC-7A88-49B0-8E11-B7CA988CF1A8
Location,Xfmr_3402_3432_0_1_Loc,14B67D10-0A76-42BB-B28F-958D75888213
Location,Xfmr_3403_3433_0_1_Loc,626F8888-A454-4415-876D-F199464BBE60
Location,Xfmr_3501_3531_0_1_Loc,26612278-2666-45DA-8CAA-57473D82224A
Location,Xfmr_3601_3631_0_1_Loc,C8EF0119-6795-43E0-92AC-22CABC56B3D7
Location,Xfmr_3701_3731_0_1_Loc,C9A226B0-7082-4F61-9566-D9B35EF44CD3
Location,Xfmr_3701_6402_0_1_Loc,AC85B8C7-85BD-42E1-BD23-7747E30881FF
Location,Xfmr_3701_6402_0_2_Loc,7602E4D5-7F46-4D49-BC9D-B78BF4F4B895
Location,Xfmr_3801_3831_0_1_Loc,1D823FAF-71ED-45C7-BC53-3399939CF57D
Location,Xfmr_3802_3804_0_1_Loc,B682C2E7-74A5-4A7D-A1EB-C1CE6A3D6912
Location,Xfmr_3803_3805_0_1_Loc,788903E6-37F1-44A8-9638-958435D8A045
Location,Xfmr_3803_3805_0_2_Loc,E2553684-DC0A-4B41-B74A-E8F82B232F44
