Circuit.ieee13pv {4BE6DD69-8FE9-4C9F-AD44-B327D5623974}
Bus.sourcebus {30DB689F-20B2-4158-9E28-1D27A390ADCC}
Bus.rg60 {CEC4067F-F870-4622-825B-FA604D2EBD57}
Bus.632 {7D2953F9-570D-4B19-8839-11ED74A3139C}
Bus.mid {C5B5FDB5-35B0-4803-A629-2A9557AF5BCF}
Bus.670 {6A4E8225-6216-4DD5-B48D-B85974A74CF9}
Bus.671 {35C56CA0-F33D-475F-8991-66FE5B00C7E8}
Bus.680 {D73BA781-D244-4141-A715-8A8E21579D32}
Bus.633 {0BA4B1C9-CD02-4A38-840D-08687103A27A}
Bus.645 {B0536E21-5FDC-4989-A556-C1195BE5D1C3}
Bus.646 {1A79F534-0BA4-4149-8B1B-84AE5F799BDC}
Bus.692 {2B55FB9D-8AEE-42BC-867D-DC5787A9C8FF}
Bus.675 {5E1766B1-B212-4F2E-9770-73091417F33F}
Bus.684 {2A9D768E-6055-4112-9DC6-8BCFB037C4B6}
Bus.tap {62869EF5-41AE-4FAE-82C2-3997E5526195}
Bus.611 {E9A2A834-55B5-4709-98B0-922E7966518F}
Bus.652 {D10EAFC2-52B1-4D5D-A800-C5D830E34C7A}
Bus.650 {91387AF6-D5B1-4E90-95B6-E663FDA64FC4}
Bus.brkr {2F9F8B47-DF5F-4C7A-9B41-8B1E9655703F}
Bus.xf1 {EC96160C-CBD8-4930-BD1B-2D1EC5802C5F}
Bus.634 {395B14AF-2E83-423B-BCE5-DBF2466A0478}
Bus.house {B38B0A88-AAB1-4003-8B48-7A747D3DF368}
Vsource.source {2CCCC023-7FAA-4B87-8F71-31419DE24540}
Line.650632 {388ACCBE-D378-4B74-8567-44EBAE4CCBAC}
Line.632670 {7292034E-417A-4416-B3CA-CDF6668B4E31}
Line.670671 {586DA69E-F419-4266-A846-B96279D2DADB}
Line.671680 {C6BCF340-1784-4E6A-9CE4-29B97155E90E}
Line.632633 {388AFA6D-899C-4A60-891D-6868136CCA9E}
Line.632645 {82B3C0E9-AFBF-4AFA-9F49-5DCC5F987786}
Line.645646 {C630DAF8-59BE-443B-BA01-17A64A37BFF3}
Line.692675 {6E87B361-B57E-4479-9EB2-026381A70005}
Line.671684 {D5589164-3AD7-437D-81A1-0636B30FF247}
Line.684611 {B4F4E093-93EE-467E-8545-A5838FE2A230}
Line.684652 {467C2C5A-34ED-4D5D-9BB2-C351BDB287E0}
Line.671692 {DF5532CE-5A75-4DD1-9E77-3D641E933030}
Line.brkr1 {C3E1DBBB-EB06-4966-9CA2-160E6E5650DB}
Line.fuse1 {2A192B15-76A1-4FBD-A251-5FDD8917D27B}
Line.rec1 {D2A6AE9B-94B4-412C-90F1-002430E1A0C8}
Line.sect1 {227D9C13-FC94-4C62-8192-EB2B740FB672}
Load.671 {0289DCB1-A599-43FB-98ED-865FE2B85B60}
Load.634a {43A15BBF-F0B3-4626-8187-523021A2884F}
Load.634b {F1D07A82-DDD9-437C-8839-E9043A4B7A9C}
Load.634c {B5DF2C41-1152-4CA8-8D80-4437E9F9D3D2}
Load.645 {4FAABFEA-D11B-4768-9D23-4E25752C39D5}
Load.646 {161831B2-C3CF-4BE1-915B-9C9295A25B0F}
Load.692 {FF5D40AC-E168-4A05-9BE7-A63580FBAEE8}
Load.675a {2AEFDAA9-6455-47B2-8FD2-D7E6AB40D47F}
Load.675b {624D4E8C-8D9E-4E4D-B26F-5BE6C6623BD0}
