Circuit.ieee13nodeckt {8122F968-1805-4CDA-826D-E7006985C23B}
Bus.sourcebus {D4E674A3-2069-4F36-AE20-1EB8E84052AE}
Bus.650 {9997D56C-EEAB-410B-B0B4-AB7AFEE9B11B}
Bus.brkr {742A6631-130D-4027-AE87-CCAB17D4E58B}
Bus.rg60 {A7BADE5D-9D34-4D93-8D3F-80CF4B2D5223}
Bus.xf1 {00C2219D-6F10-4C2D-9FAD-F825E82ADCC6}
Bus.634 {73672472-B190-4A96-843E-A19847E67277}
Bus.671 {962AC571-5C70-45C1-85F2-916337BCD7F5}
Bus.645 {CF31BA3A-3831-4C06-8969-24C3CA8D62CC}
Bus.646 {7BF51B5C-6B68-419B-8FCB-0E450BEEA581}
Bus.692 {0D38E978-A43C-4648-AE3F-BF59D1652221}
Bus.675 {B8B0D9B2-8344-4B62-8881-2112091B4049}
Bus.611 {C3C28D3B-9318-464C-8FD3-418BD054A4A8}
Bus.652 {387BE1A9-5963-4250-A0FE-E704403EA5BF}
Bus.670 {B47B675F-A396-486E-9860-E17E1486FB2D}
Bus.632 {31B52041-91D5-4208-9B4B-43A3A9D55CF7}
Bus.mid {69A16C7A-A1E1-4642-BB6D-2254C4B99A1B}
Bus.680 {21971B24-9B55-476F-A7D6-F73C9AD5C619}
Bus.633 {34551FF7-7719-4C7C-9971-4785B6C4EF36}
Bus.684 {EAC6C1BE-F8DF-443C-BCE8-610055191730}
Bus.tap {6AA1B27D-0114-45AD-9729-2445073CC1DE}
Bus.634_bat1 {E795BB8C-3C36-43A1-854E-326B7E3A1EAC}
Bus.634_bat2 {A5D99D20-830D-488D-92C4-3DDF8FBDA50E}
Bus.house {CD6668E2-E2F6-4736-8273-FF8E5A2AC9C7}
Bus.house_bat {29282529-4793-4EB9-BFF5-66D5D4CA9E7E}
Vsource.source {292543B0-9942-45D3-B59E-A69E47790132}
Transformer.sub {C2FAA0DB-764D-4F98-A962-7EE783370E8D}
Transformer.reg1 {8976A19B-0376-4CBB-AFB9-54DB8F640B48}
Transformer.reg2 {E1252910-2BF4-4129-970A-23EF41F162FC}
Transformer.reg3 {88B6F86A-3C7F-49F3-A7E9-3ACE39A7ADC3}
RegControl.reg1 {81A542A8-D0F1-4D00-B743-183FFDB4D978}
RegControl.reg2 {7A428E0E-F692-4918-B2A7-C3CB8C0C59DC}
RegControl.reg3 {14DC6C85-C5A7-4AC1-AEDE-6E15FDD61327}
Transformer.xfm1 {7F054C13-C63B-4D3F-B896-13B2D5BE9F36}
Load.671 {340A9A64-2387-4987-8866-D6131D58F837}
Load.634a {F3A90CD0-1ADE-45B5-8373-96F46D1767FA}
Load.634b {B4099BC5-AC85-44AA-97C5-70CC2FA02764}
Load.634c {1F43626F-0C75-4CCE-914A-BDDC34410A86}
Load.645 {2679FEB6-39D8-48BA-843F-1093C3A6C79C}
Load.646 {6D1B5E7C-E5B4-4F3F-9B55-F4893D87291D}
Load.692 {DE490FC4-BC2D-4670-903D-91ACDBC3B631}
Load.675a {32BFACAA-3EDB-4A88-B5FF-D645162B2808}
Load.675b {F1E4E211-1595-4024-8FBF-E0B745E8282B}
Load.675c {31B4785F-C5A9-496D-B0E4-CB71D8E849C9}
Load.611 {B4BBE48C-8B68-4FD5-86C1-B1E121890B89}
Load.652 {CDDF90E8-2C90-49AA-8829-DF47948A7FCE}
Load.670a {87BA2B64-DBC4-481D-9C19-426F1416C7AF}
Load.670b {D58FEFCC-D2C9-4BE2-A547-2B333D47AC74}
Load.670c {74770B37-F56E-4FD5-B156-DFF6AD827B42}
Capacitor.cap1 {F3D47307-8F22-4356-8453-CC8BA88A046E}
Capacitor.cap2 {69C4685E-9409-4F95-8C02-9F4105031358}
Line.650632 {06FF99BE-ADAE-4B98-9783-5B7B9A44A406}
Line.632670 {02D21B4A-DDE2-415D-89BB-9A5A7ADB1DD0}
Line.670671 {BDFDFA19-F3BC-4021-8294-34A2D1E7BD5D}
Line.671680 {FE1C7278-7445-4519-9470-5D4DC1100596}
Line.632633 {A99B6C79-A15B-46D6-B91F-1DB531C5A105}
Line.632645 {30CE57D5-5C99-4E71-89B0-E0BDBEDAFFA3}
Line.645646 {DE01DE3B-113B-4C2B-B94F-65403417BFC2}
Line.692675 {899770C5-7448-430C-8482-C2E7E7D975D8}
Line.671684 {B3C26957-474E-4B23-91F8-1B8DA57A33D8}
Line.684611 {1FDEF0E6-56D7-4F1E-BF02-75F400F37813}
Line.684652 {478FD256-2D95-4F00-BDC0-F743E5F7AD16}
Line.671692 {1D28E68C-DB11-496B-A942-E6008E6630DC}
Line.brkr1 {E1F48ADD-C8DC-4126-A8D6-50E05B432697}
Relay.brkr1 {B2216E72-9D92-4AAC-9AC9-1ECC4FD8653D}
Line.fuse1 {E96035CB-2526-4F03-B541-50B00306FE5C}
Fuse.fuse1 {BC42298B-66DF-4340-997E-C34EE690E4A6}
Line.rec1 {31F3D34A-2022-4E35-BB35-B28918ECB8C3}
Recloser.rec1 {7215A5A5-4C63-4119-8DFC-BCC2A57C7411}
Line.sect1 {1C3BD0E5-3C2F-48DE-9753-07763BAA1872}
PVSystem.school {413F30B8-A378-4589-AE38-7C6E621A41C2}
Line.sw_bat1 {A185E93A-2E6C-4AC3-A15C-8496604F1E16}
Storage.school {B417BD1D-2C50-474C-8F8F-290A880C9A03}
Line.sw_bat2 {E1B1D8B0-31AC-4382-BDE0-CABF5552EF75}
Storage.batidle {1776FF07-D248-4236-82C9-E1C85C4937C1}
