Circuit.local_combo_b {7C1EEB79-9E9C-43E5-BAE9-0F0F99B41384}
Bus.sourcebus {0F824E39-A3C5-47EF-9F45-6750D5A1D66C}
Bus.high {A98DD60F-F454-4418-8898-A6863C827631}
Bus.low {76919DBC-E1A0-4ECB-9E38-8CCDAA06708A}
Vsource.source {FB585565-96C2-4010-B1C7-E9247BC6D5DE}
Reactor.thev {7EAB52A4-CF19-4696-9BC6-A26C774E2144}
Transformer.der {B1DF2F58-8600-4486-928B-E0592CA29B99}
PVSystem.der {0F642AA9-6CE8-4819-AA0C-A3EB2793E5E2}
InvControl.der {6CE21685-5395-45BF-BEC9-CAB6AAC2E492}
Station=Station=1 {57E5E0CF-B5E3-4E48-B5BA-42609E0741D6}
GeoRgn=GeoRgn=1 {5C81BC5C-91D3-4B4F-9ED8-CCA0147B8A65}
SubGeoRgn=SubGeoRgn=1 {0EC8A61A-6249-4B62-B10D-24625C2ABAEA}
CIMVer=IEC=1 {31A474C9-E89E-4F13-9BC8-7E8AA0831FA7}
CoordSys=Local=1 {1ED003CD-90FF-471A-90F9-654E33591347}
FdrLoc=local_combo_b=1 {8A3DF75D-B076-4344-A7C9-F285A3055166}
TopoIsland=Island=1 {8333092A-47AE-486E-AC79-54CF9DA75DF7}
OpLimT=NormalAmps=1 {8FEE626C-0969-4426-A980-EF3FD60E2D7B}
OpLimT=EmergencyAmps=1 {258E1A82-02B5-49D8-B3B1-403894F046EF}
OpLimT=AHi=1 {2DFA217C-5A34-4715-BE25-93D92EA7A0EA}
OpLimT=ALo=1 {2CF99BAE-FB4F-49FF-84F3-B60CC91C00E0}
OpLimT=BHi=1 {6BEFE773-CA8B-46C2-9E6C-B9877FD15A47}
OpLimT=BLo=1 {42D01EB2-D41D-4EAF-BDC4-E0D7EE30067F}
BaseV=BaseV_13.2000=1 {4E1D3B9C-A000-4667-8DDC-C9E0A7BCD1EF}
OpLimV=OpLimV_13.2000=1 {3C74DD21-8572-44F5-A801-548848DE43B2}
OpLimAHi=BaseV_13.2000=1 {EC06B187-D6F5-45C3-90E5-87BF5242F4D8}
OpLimALo=BaseV_13.2000=1 {6B2C74AA-F4F1-4594-B0D0-A92B7124CE61}
OpLimBHi=BaseV_13.2000=1 {F721BA7B-5353-44CD-B132-43C6921AF596}
OpLimBLo=BaseV_13.2000=1 {06A7DDFF-9C73-4698-B17D-2D31D9C493E6}
BaseV=BaseV_0.4000=1 {E230869C-3D8B-4CDE-951C-190C714162FE}
OpLimV=OpLimV_0.4000=1 {281A3B1C-CE4C-4965-9250-931CE5C982CE}
OpLimAHi=BaseV_0.4000=1 {9DBF4163-7840-44BA-9BDC-DA8BF0C6CB4F}
