Circuit.remote_1phase_b {05DF6DD8-6FE4-4CC5-A97C-1ACAF791A3AC}
Bus.sourcebus {7D86AF28-34C8-4906-8678-38548118E278}
Bus.high {BA2BB75E-7562-4161-807F-428686EDFC67}
Bus.low {78630BF8-EFC7-406F-B428-EE8A8549194D}
Vsource.source {3461734C-6333-429B-9AA6-7F260D86CDA3}
Reactor.thev {18ABE073-C8BD-4A91-9032-62D03DACA0C9}
Transformer.der {23730462-4887-4D33-98AE-A34445E3F9D3}
PVSystem.dera {3281187D-98CF-4F58-85F8-55BD21E71344}
InvControl.dera {0B0FAC3F-992E-4C4D-9DEF-DC34B1EDF126}
PVSystem.derb {EA0AA015-7B67-4537-912C-DCE65BC93015}
InvControl.derb {AE4D42E1-BF25-428B-9FD4-C4C8F1752BF8}
PVSystem.derc {26CA0F83-D1E8-48D3-8DEC-65D75034380B}
InvControl.derc {383017A6-6088-4FB7-8FCB-4E31AE514808}
Station=Station=1 {5D4C5831-7C84-4642-83D3-E21C3FB89FE2}
GeoRgn=GeoRgn=1 {80F5356D-108D-4F0C-B91A-DDC3AA768A54}
SubGeoRgn=SubGeoRgn=1 {5C15FF10-2899-44F9-9ED3-D4881B3BFBC7}
CIMVer=IEC=1 {7403BD91-BEAA-4A19-A919-63348849DDF7}
CoordSys=Local=1 {196B25DB-8778-40F2-995B-771755545383}
FdrLoc=remote_1phase_b=1 {3097861D-908D-404E-873C-47F4E15DDC01}
TopoIsland=Island=1 {6776A922-5418-4A20-87DC-3D77BC76F509}
OpLimT=NormalAmps=1 {153ACBB9-F1E1-4DC7-AB72-9C5C5D667FA1}
OpLimT=EmergencyAmps=1 {EB2C34FD-7B52-4BD5-BCDC-A5DC8458DF90}
OpLimT=AHi=1 {A6BBDCF4-07E2-4BB3-9C51-D1D205EC8A9E}
OpLimT=ALo=1 {11EFCDFA-9388-4A76-B7AD-F1CC982C76D3}
OpLimT=BHi=1 {E0ABFCEA-E7D4-4C08-BE13-F16E818B5661}
OpLimT=BLo=1 {4D897D6A-1C09-4824-811C-033C73AEB7DC}
BaseV=BaseV_13.2000=1 {B5F776A3-7EE5-451A-8A2E-8247D88DB766}
OpLimV=OpLimV_13.2000=1 {3F745582-4C25-4458-8F37-F8084A5C6287}
OpLimAHi=BaseV_13.2000=1 {A9C6E577-4C6B-4F30-B185-8CD99D542F7A}
OpLimALo=BaseV_13.2000=1 {55FC762E-7A55-40F3-963C-0F4E2E4DD729}
OpLimBHi=BaseV_13.2000=1 {4DEE53A3-08D5-46CB-8540-D896719E77C6}
OpLimBLo=BaseV_13.2000=1 {379E5F20-3AFA-4EF9-81CB-1C4DC5A932A5}
BaseV=BaseV_0.4000=1 {3DA8C091-47D3-44E1-8D03-F00D2BBDADB8}
OpLimV=OpLimV_0.4000=1 {A7AF6F8E-CC73-41BF-987B-081E14BF29F0}
OpLimAHi=BaseV_0.4000=1 {60ACAFBF-9A2A-43C8-A34C-FA9706FCE370}
OpLimALo=BaseV_0.4000=1 {CD14C806-D9EA-4E6E-BF43-3A2BB923B605}
OpLimBHi=BaseV_0.4000=1 {E0806BE5-7E7D-47C8-B8A1-26F8C2833DE6}
OpLimBLo=BaseV_0.4000=1 {7F3204BA-99FC-41BB-A33A-6504449E0ED0}
BaseV=BaseV_0.2080=1 {B688D8EF-C8B9-429D-8B92-4C0952028241}
OpLimV=OpLimV_0.2080=1 {03CFF297-9F03-4C15-8B4E-5A7743698FD7}
OpLimAHi=BaseV_0.2080=1 {1F5A460D-59C1-4C45-A639-7E321FC838A1}
OpLimALo=BaseV_0.2080=1 {848C9A7C-2ECC-4BD4-9290-0AFB1BE2CF42}
OpLimBHi=BaseV_0.2080=1 {9B7041DB-494A-4556-AEE8-78BE963E159C}
OpLimBLo=BaseV_0.2080=1 {6C1F8556-E3C7-40B6-9BCD-F162A5CE02B7}
Topo=sourcebus=1 {015B886D-4DB4-4135-8489-824DB7FFEF83}
Topo=high=1 {D9CAB30C-572C-4AE9-9AA6-1ED071690112}
Topo=low=1 {C6991461-A74D-4A87-86F5-C46C1A37918A}
PVPanels=dera=1 {2141470E-0DB5-4B46-93C9-B738876922CA}
SolarLoc=dera=1 {A99E219C-88DA-4033-B2D8-83BD613C3291}
PVPhase=dera_A=1 {D4C021CF-237D-4723-BE50-57B9D0791700}
195=dera=1 {C07E6E7C-763B-4D89-BAA1-8CD702BDAE15}
PosPt=PVSystem.dera=1 {53C23E4E-ED9D-49FC-BDE9-7391D02927F3}
PVPanels=derb=1 {0665F345-ACCA-4AEA-B4AF-D43E092EE903}
SolarLoc=derb=1 {E38365F7-14F1-4FBB-931A-03C476A992BC}
PVPhase=derb_B=1 {428889D8-1E89-4EE3-9690-9FD5856B85F0}
195=derb=1 {D2614975-0301-45AF-A226-6BDE92B9E730}
PosPt=PVSystem.derb=1 {3E826BA2-F81E-4A0D-A586-F21C1BEAB3E1}
PVPanels=derc=1 {8B79A835-619B-4082-8F60-42610DAB32C5}
SolarLoc=derc=1 {75AAF62D-96E6-4B83-B8ED-BF865B07A837}
PVPhase=derc_C=1 {9DAAD675-4E32-49AA-854B-055588720ADA}
195=derc=1 {BAEEF180-F17B-4295-9479-022E31451ABC}
PosPt=PVSystem.derc=1 {C6EAB40E-56DA-479D-9C58-D5B2BA5EC294}
ISignal=dera_1=1 {17BF90EB-E973-44C5-A9E5-54CD2C1462B2}
34=der=1 {6BD8C6E7-CD93-4CBA-BD92-B0D728EEF9A5}
INameplate=dera=1 {A1735AA6-931C-4FFE-B5E2-BA80DFFE8D9A}
IApplied=dera=1 {8342400D-32B3-4CD8-B1E3-E1FFD036FB5E}
IVVar=dera=1 {E461A842-C0E3-484F-AF96-BC463C69ECF7}
IWVar=dera=1 {54AC668A-3FED-450F-B34B-14196D6F7D2C}
IPF=dera=1 {DAE2BFC3-806E-4F17-9DB1-40463F678268}
IQ=dera=1 {5F088F23-6E69-422C-938A-5AA2B33567A3}
IVWatt=dera=1 {EEF91E78-E8C2-43BB-ABC5-BC04AD58F04D}
ISignal=derb_1=1 {2A45BDD0-1CD8-4FE4-B7CF-F67E8BF86F0A}
INameplate=derb=1 {5EA49320-C062-4148-9B85-5EB38263AC17}
IApplied=derb=1 {F5729979-FF36-4AE9-B7A3-4EF65F0F3BF0}
IVVar=derb=1 {ABA268A0-5030-42AE-B702-2F73FBB64956}
IWVar=derb=1 {10DA78A4-EE6B-4F4B-9FB1-854F890DA535}
IPF=derb=1 {00171F8D-6F5E-44D4-B2ED-A29A305CEE14}
IQ=derb=1 {07F587ED-EB4D-4207-A5AB-1F7699567EF4}
IVWatt=derb=1 {31C390E1-20A8-49BC-B2A7-07E85E59AF78}
ISignal=derc_1=1 {405F3439-4065-4BE1-9D89-2DA237DD43BA}
INameplate=derc=1 {6FD393A2-FA27-4303-91EF-583C90425DC4}
IApplied=derc=1 {08FED13F-EE3A-44AA-BE9E-BABCC57BCF58}
IVVar=derc=1 {73B157F0-E070-4C2E-95DD-8ED3D5E77475}
IWVar=derc=1 {1C630BB7-A928-4FB9-9C1B-5C2B6E038928}
IPF=derc=1 {DA980EF5-A354-431A-B99D-D83DBB656242}
IQ=derc=1 {25531618-7699-4AE6-BED1-45126BF2ADB8}
IVWatt=derc=1 {03211472-A49D-4569-8EB8-81B8CDEBA185}
SrcLoc=source=1 {0777035F-C552-41E1-89CB-6AB6228D9640}
25=source=1 {5178F2B4-5937-4839-AD31-6FB8B2BE8D24}
PosPt=Vsource.source=1 {31ECE7BD-438A-45CF-AE5D-2E3761ACA9F1}
Bank==der=0 {FC8C188B-6331-48CD-82F3-F1CE4B8580BA}
XfLoc=der=1 {A5E48749-6504-442D-849A-FCE1DB631FEE}
PosPt=Transformer.der=1 {CAEEA2FF-7997-4E68-B23B-9E38D6F6B44F}
PosPt=Transformer.der=2 {9C79DB26-8252-4840-AD13-617780EAEF21}
Wdg=der=1 {196BAA4F-4962-4E93-998F-CB893180FED6}
Wdg=der=2 {A52A5338-1CBA-4591-9D6F-FB054998A4BB}
XfCore=der=1 {DE78DBF1-C501-43AE-AC9B-326675C51605}
XfMesh=der=1 {D92C1A19-1044-4669-9CF0-99AC839B3B96}
XfMesh=der=2 {06D33E40-2992-463A-B453-D76D6B2DD62C}
XfMesh=der=3 {77F39E71-0930-42D2-9E4E-E21EB06AA7D6}
OpLimI=OpLimI_360.8_492.1=0 {EE565ACF-FE6C-43A7-BBAF-4F8599BE0B41}
34=der=2 {830615A8-4636-4359-8EDE-29F6F0E7D2D0}
ReacLoc=thev=1 {21C31DD9-7809-4E64-81A0-85AB811D5815}
138=thev=1 {75B4C3F4-EF6F-487A-85F7-2F2083A238B0}
OpLimI=OpLimI_4.6_6.3=0 {35DE5671-5054-4181-8780-FBDEBE7C0585}
138=thev=2 {915CFF40-1A7E-4D82-9E32-03C057F9294B}
PosPt=Reactor.thev=1 {76936751-AE93-4794-97EF-C150E3EB4AE0}
PosPt=Reactor.thev=2 {ABEE56F2-162E-43C3-94B9-BF69B0D17652}
LoadResp=ConstkVA=1 {0A4C8532-EA58-4179-A03C-C58B14ED8478}
LoadResp=ConstZ=1 {5DFCFA89-088E-4CCD-AAC0-DAC494881E7F}
LoadResp=ConstPQuadQ=1 {129F6C19-66E7-463B-A2D3-390DBE2889A8}
LoadResp=LinPQuadQ=1 {4B10E6FC-16C5-41C5-B920-BD4F2A35151C}
LoadResp=ConstI=1 {D9C1B0AF-8E22-4BED-8AD2-BA74BE27EEF0}
LoadResp=ConstQ=1 {A71EBC9E-B104-474D-A814-0561EC0833BA}
LoadResp=ConstX=1 {F88CA8B1-3ABA-4F96-B612-C11DD7F48A3A}
NormAmps=OpLimI_360.8_492.1=1 {F6A32577-D019-4F0B-B408-A48102143724}
EmergAmps=OpLimI_360.8_492.1=1 {89E4E997-A093-484A-800C-409345E3795E}
NormAmps=OpLimI_4.6_6.3=1 {26CC028F-5C5C-4FDB-AAC4-B556A3232386}
EmergAmps=OpLimI_4.6_6.3=1 {4F9C8FFA-850E-4BC6-87BA-59DBFCE62AF4}
