Circuit.local_avr_b {3CC2D836-CE11-4D4F-B93D-B2851B1E79B5}
Bus.sourcebus {0CC174D8-A66D-4C3D-B1B3-5C95C1A59029}
Bus.high {197987C7-DC3F-470E-A0F0-6FEF83702B22}
Bus.low {2E06EF23-3ADC-49A8-A762-7EA802CF9896}
Vsource.source {70A57EC5-F595-4D9A-9815-D7CA7E778B47}
Reactor.thev {81AF14AD-8560-4668-AF58-DE64C0AD7B3A}
Transformer.der {C29656AF-44FA-4C52-9B0F-F08DFD8F4E39}
PVSystem.der {07190695-6CDA-4107-8503-43A2D67A1554}
ExpControl.der {89635878-FAF7-4BC0-AE27-D68C88C0A4F5}
Station=Station=1 {59A9ABEC-4F1E-4357-AA7E-7CB43C541664}
GeoRgn=GeoRgn=1 {CEF3A8B0-F265-43D6-9ECD-9CB0462F372A}
SubGeoRgn=SubGeoRgn=1 {6512A764-ADE6-41E1-85A1-EE48CE4DE59D}
CIMVer=IEC=1 {0E379893-C91F-429E-98E4-F13FFAF2E52A}
CoordSys=Local=1 {E9C0BBFB-676D-41F4-8BEB-EB47049219B4}
FdrLoc=local_avr_b=1 {B5D6D52F-99B9-4E94-86BD-9408D1219170}
TopoIsland=Island=1 {4E654AFF-3970-4ED6-9085-1EF34FA1FFF1}
OpLimT=NormalAmps=1 {F6C00E7C-7180-4B8D-9F60-F700EFCDBC4A}
OpLimT=EmergencyAmps=1 {A0637BB8-399A-4017-83F8-18D0D05A61ED}
OpLimT=AHi=1 {C02F81F4-54CD-4AC9-A21B-DE766456F7D5}
OpLimT=ALo=1 {C847FDCF-8937-453F-8E48-772BEDFB2BFA}
OpLimT=BHi=1 {1C180B3D-BED0-4BF9-8989-1FDC0F80927E}
OpLimT=BLo=1 {E7D73B51-7A18-456A-9E88-91EC2E6BDA76}
BaseV=BaseV_13.2000=1 {6708F0A2-C78A-4638-A61B-453E1A347C77}
OpLimV=OpLimV_13.2000=1 {A0E8519D-1790-4847-B76B-97474C982766}
OpLimAHi=BaseV_13.2000=1 {3E0DF634-9B4F-4024-8C28-9967F783E1B9}
OpLimALo=BaseV_13.2000=1 {FC0F22C9-931E-45DC-BC59-9CE878139D31}
OpLimBHi=BaseV_13.2000=1 {A80FF3CD-308C-4301-90C5-AE7E2038DCE5}
OpLimBLo=BaseV_13.2000=1 {72807E9C-8E59-4E4E-91BC-B23E21FA7D21}
BaseV=BaseV_0.4000=1 {BD7FB17C-40A3-46A5-B36F-F0D180732393}
OpLimV=OpLimV_0.4000=1 {333FD463-C8E1-4F9C-98A8-84D6FD5CA684}
OpLimAHi=BaseV_0.4000=1 {24D3B3DD-F156-4A2A-AB24-B9D6BF543BB4}
OpLimALo=BaseV_0.4000=1 {E4F1C0C6-1324-4749-BFF8-B5E317EBCDB0}
OpLimBHi=BaseV_0.4000=1 {19D682C8-4AD6-4DF3-B4A8-6E92FFFC701F}
OpLimBLo=BaseV_0.4000=1 {AB707335-6365-4C0D-AE51-E2E8461B952B}
Topo=sourcebus=1 {7711290C-A16C-4DD8-AAAA-B3781A586C2A}
Topo=high=1 {F0CF2669-8EDD-43CC-8EE9-BBA4A992D185}
Topo=low=1 {1470A11C-C284-45F8-B9F0-559C1A382AF2}
PVPanels=der=1 {7AE0C869-C40A-45A1-A8F5-6699231D46BF}
SolarLoc=der=1 {9DB941DE-BA17-45FC-9B45-087B4221FDBA}
195=der=1 {70C369B6-BCDD-49FF-B572-4F0BB6A6A488}
PosPt=PVSystem.der=1 {973F6079-DF8C-4FE8-AEFA-EFEA45A6204D}
SrcLoc=source=1 {EEC59940-B184-4816-8116-4342377E4B92}
25=source=1 {3B6FB6EA-2363-4D65-B9A3-876B36CEB318}
PosPt=Vsource.source=1 {7F96EAFA-72EA-4524-A18A-C9A87EEBFEC0}
Bank==der=0 {6B4877CA-8571-4635-92FE-D494139F6BEE}
XfLoc=der=1 {B0C4CE22-2A74-4081-A8CF-1859E4582F03}
PosPt=Transformer.der=1 {48421AE2-B38C-47C2-A70B-E594934F5BCB}
PosPt=Transformer.der=2 {F5D1561F-2A3B-4E25-ADFA-7F2D7A98B0F3}
Wdg=der=1 {E6E016C7-40B4-4BE7-88CB-893023005B54}
Wdg=der=2 {AA9AED1B-A660-4CFC-974E-57C2DB2BC55A}
XfCore=der=1 {430713F4-57B5-4BAB-908C-45B7A41B7378}
XfMesh=der=1 {63EBDF3C-9257-49D1-ACEF-A1651822B681}
XfMesh=der=2 {9C07511E-8513-407B-865B-964D1D9023DB}
XfMesh=der=3 {164D3BEE-0120-4B61-BAA9-99E7904E67D6}
34=der=1 {35675530-9AAD-464A-BFEE-B2A41215A75B}
OpLimI=OpLimI_360.8_492.1=0 {49A80F29-8DB1-4EF4-8E93-A351578CE829}
34=der=2 {ADA2E1FA-7CF3-4152-A11F-35A131B01A24}
ReacLoc=thev=1 {0C6654A9-513A-4C6C-ADC4-14A6C4A9222F}
138=thev=1 {96AD4D24-68E4-474B-A85E-913D886D3663}
OpLimI=OpLimI_4.6_6.3=0 {86E339E8-248F-455A-8BE4-8EC04176C645}
138=thev=2 {E7B02010-C58B-47D0-902F-B0A38B535503}
PosPt=Reactor.thev=1 {C86E3E2F-0885-4074-A76C-335D184C6278}
PosPt=Reactor.thev=2 {6F113B73-A766-4F57-99FD-B4B31C78DEAC}
LoadResp=ConstkVA=1 {E5A277B8-4E2F-401D-91D0-057875021FAC}
LoadResp=ConstZ=1 {FEBE43A1-B596-4678-A596-9A8005104E6C}
LoadResp=ConstPQuadQ=1 {A8ADFAD8-2870-41CD-BE04-152BA868F311}
LoadResp=LinPQuadQ=1 {35425506-0F7A-4518-846B-5AB0084F3F03}
LoadResp=ConstI=1 {96A23BCA-0B0B-4E2A-A13D-6B2387F2CF41}
LoadResp=ConstQ=1 {8380148C-B30A-4350-B31D-8E58C7DFC2A5}
LoadResp=ConstX=1 {BFC5499B-ED2B-4750-910E-18618C74DC07}
NormAmps=OpLimI_360.8_492.1=1 {C59594C4-6B08-4127-A54B-30C814B49606}
EmergAmps=OpLimI_360.8_492.1=1 {E8345CDB-BAF1-43DC-BABA-E993896F9AFF}
NormAmps=OpLimI_4.6_6.3=1 {64F55677-15CA-4CC3-8BE8-8067919924CA}
EmergAmps=OpLimI_4.6_6.3=1 {42AFB513-F13A-4D20-A793-3AA53D3CCDDE}
BaseV=BaseV_0.2080=1 {25B6922C-5947-4720-98E3-5FB4A5ED925D}
OpLimV=OpLimV_0.2080=1 {E6AE5B75-F948-4D79-BEED-51EE5193B35B}
OpLimAHi=BaseV_0.2080=1 {46601B0A-2D82-46AB-B112-D0E23ADAE2D9}
OpLimALo=BaseV_0.2080=1 {0A41DDEE-EE92-4FCD-B72E-E91BA29CE441}
OpLimBHi=BaseV_0.2080=1 {2B5AF436-4737-43D1-B2CC-2F5096BE831F}
OpLimBLo=BaseV_0.2080=1 {FFB09740-493A-4D99-BC37-8A2DEF8C4369}
INameplate=der=1 {EE7C8782-AD4B-4668-AC41-A155B7A9B776}
IApplied=der=1 {7EC62946-32D6-4741-A532-EA3B38807835}
IVVar=der=1 {C8316B49-C29C-42D3-84AF-2314BCF67024}
IWVar=der=1 {7DC9BBE3-0E25-48DA-8F16-2AEA2E28992E}
IPF=der=1 {069F7AEE-86DE-4BD7-BCB3-F511C76EBB28}
IQ=der=1 {E9239548-BD36-4BF4-84D5-E98ED8373A73}
IVWatt=der=1 {6FA3CBD2-D558-415B-97FC-B86938E63EBC}
