Circuit.local_combo_a {1D4B98E2-62AB-411A-813E-F125F29ABD48}
Bus.sourcebus {CC2BB008-F456-4C57-9A58-5FBFF23BDA58}
Bus.high {04C2DEED-6512-4FBD-9A38-62A7D565BFEE}
Bus.low {06C6927E-0AE3-408C-80A2-1E6AEB7FF2B2}
Vsource.source {08A5976C-FFFB-4ADD-97E8-EC77092AD678}
Reactor.thev {EEFDA353-2957-4223-A82A-6F6A13589576}
Transformer.der {6F0DB1DC-FE24-4C09-928B-B8391B58C053}
PVSystem.der {C909F13E-F13E-41FF-96D5-692080981444}
InvControl.der {E9A53174-442C-498E-B1C1-08CBEA37C822}
Station=Station=1 {50625D65-0045-4EC7-8C75-056C5314EC43}
GeoRgn=GeoRgn=1 {E6380482-7257-4771-B495-9AE159E60D54}
SubGeoRgn=SubGeoRgn=1 {D3E90ACD-16AA-458F-90B0-84215EFFF4BD}
CIMVer=IEC=1 {849AC53F-885B-4AB7-8635-76C1762E62B1}
CoordSys=Local=1 {14A2AC97-F1C3-4D0A-AC65-554BB7989B2C}
FdrLoc=local_combo_a=1 {DDDCDA17-6D54-43F0-AD2E-91B08E19780D}
TopoIsland=Island=1 {458A98D8-416C-4E3E-9111-B569089C1411}
OpLimT=NormalAmps=1 {DAC268CB-93AA-47AD-97D4-5A8344EF9E66}
OpLimT=EmergencyAmps=1 {5E72F376-A00D-400C-89C2-A86F384BF3F0}
OpLimT=AHi=1 {78A5717F-D12D-473D-AA5B-72FFF5E79831}
OpLimT=ALo=1 {5BC984D1-60D6-4C2F-AE32-822685F3224B}
OpLimT=BHi=1 {F9EF149F-A7B2-4E71-B17B-72D377B7FCB1}
OpLimT=BLo=1 {4BA34611-716C-454A-A95D-A9352714C2E4}
BaseV=BaseV_13.2000=1 {226AA555-5676-49C5-81E5-3022494D5019}
OpLimV=OpLimV_13.2000=1 {95BA3DD7-7B5E-4647-9536-F2BB16713D17}
OpLimAHi=BaseV_13.2000=1 {D1A89E61-1501-486D-9CC4-C23C57396967}
OpLimALo=BaseV_13.2000=1 {20F30900-4F5D-490C-8E14-6FB678F4DE41}
