Circuit.local_fixq_a {A0BABA6C-3323-412C-A87A-E8F15456031C}
Bus.sourcebus {03967210-37E0-44B5-A88A-EB58DF8BADEE}
Bus.high {64EDABC8-BCB6-4654-A5AF-306761CCC573}
Bus.low {95CDF872-379D-4AB8-AC5A-FEC2359D33F1}
Vsource.source {E92EE841-158A-4BFB-9EA4-B7E7509E4949}
Reactor.thev {A84E6346-B502-4454-9902-DDF8D0C20A20}
Transformer.der {95A88CC4-F664-465A-9510-9A72A1D3334B}
PVSystem.der {41A70D5C-30A0-4A0A-BA6B-9274BB6F4B07}
Station=Station=1 {3BA487C0-30C4-4DD7-8D0C-C9946471B332}
GeoRgn=GeoRgn=1 {78B67F3B-F392-4042-872C-171E92EBAEC5}
SubGeoRgn=SubGeoRgn=1 {B2BE09C7-EBE8-493D-92FE-A8D3C4B3EF91}
CIMVer=IEC=1 {4373021D-BEA0-481B-823D-7A555EADB1B1}
CoordSys=Local=1 {A69F02DB-A7B1-4FB6-B41C-B30BAB4EFE5C}
FdrLoc=local_fixq_a=1 {0561F7F0-463D-4398-A1FA-54BC3009A1EB}
TopoIsland=Island=1 {42BF9697-2BA2-464B-B209-F20477B470A1}
OpLimT=NormalAmps=1 {BC22738C-AD0B-4AE8-BCEA-4DBACBB81796}
OpLimT=EmergencyAmps=1 {EBFF2090-EA5D-4192-AAC4-ED45D25A4071}
OpLimT=AHi=1 {9AA17532-2FA5-4850-AA0D-9BF66AB1F701}
OpLimT=ALo=1 {6784449C-5FCB-4AFC-AC28-FDB535858C06}
OpLimT=BHi=1 {A1E4FBC0-748B-448F-AD93-15BA0BBA143E}
OpLimT=BLo=1 {66F193BD-3D9C-4279-9054-33B566BC80FA}
BaseV=BaseV_13.2000=1 {78AB584A-120C-4937-B34F-7E89DE804EAE}
OpLimV=OpLimV_13.2000=1 {4BA424C5-210E-41A3-A2C0-B605334E6F69}
OpLimAHi=BaseV_13.2000=1 {C82AECD1-B97D-4CF3-B2C7-3048B3D06553}
OpLimALo=BaseV_13.2000=1 {C205B0F5-6A59-43BD-9F9A-354BC9901202}
OpLimBHi=BaseV_13.2000=1 {60320998-A2BD-4BB5-9B2B-66A170010D80}
OpLimBLo=BaseV_13.2000=1 {B73F0C61-26A8-4208-B32A-766BC9F44FC1}
BaseV=BaseV_0.4000=1 {E3B76B88-DF31-47C1-9A04-99C4D244F491}
OpLimV=OpLimV_0.4000=1 {F357FB7D-2BD8-48B4-B01B-D68CB79C84AB}
OpLimAHi=BaseV_0.4000=1 {D71804BC-CA06-44B9-9416-1E17D059AFFC}
OpLimALo=BaseV_0.4000=1 {3A114FB2-7013-44A9-8750-58A37BABD71E}
OpLimBHi=BaseV_0.4000=1 {18A0B37D-AB01-4B6B-92EE-08D0B8975890}
OpLimBLo=BaseV_0.4000=1 {661A4FF0-4278-408E-9C07-D19F2EE4238A}
Topo=sourcebus=1 {35EFC989-F37B-4442-9181-C8485EB18175}
Topo=high=1 {DFBA3029-41FB-4D62-B701-5FECFEBA6578}
Topo=low=1 {8956E73D-EA02-444C-9DA4-6B66321BABA7}
PVPanels=der=1 {DB227044-59B9-465D-BFA8-19750F05AF79}
SolarLoc=der=1 {C1BFA2EE-3BC6-4F28-97C8-AD94F263EC77}
195=der=1 {DAD8B834-D2B6-4F8C-A6E7-C4C2BE6A1B9A}
PosPt=PVSystem.der=1 {59313E53-3937-4B22-BF5D-8B85BADD7415}
SrcLoc=source=1 {0726B811-7C88-4120-BE53-F756422C0531}
25=source=1 {62CFC6B1-4A35-40DD-8E6C-34464D0B3D79}
PosPt=Vsource.source=1 {EF12E152-E60A-4658-ACB8-518870AA6FF9}
Bank==der=0 {48277424-1A31-4C7B-BF4A-B42DEFFD646A}
XfLoc=der=1 {7F692D9F-BAC5-4DC6-B029-8875784AAAE1}
PosPt=Transformer.der=1 {21CE6F1C-39CD-4F40-B13F-7427303D078E}
PosPt=Transformer.der=2 {0DB73953-A749-468F-9AB1-CA4D69EA2816}
Wdg=der=1 {B75775DB-B074-4821-B008-6EE9AD9CA730}
Wdg=der=2 {E91CB1B7-38A6-4C40-8A62-726773912602}
XfCore=der=1 {2123406B-B5DE-4859-95E8-5E422D53DE35}
XfMesh=der=1 {94F98EAB-0B2A-4A8E-B043-66259406199E}
XfMesh=der=2 {6380093D-E6B5-45C9-99BE-32729B94DC12}
XfMesh=der=3 {069F2C52-F3CC-4B36-B9D4-2007421B921A}
34=der=1 {E6393F72-B706-430F-8FAC-98F18E19F1B5}
OpLimI=OpLimI_360.8_492.1=0 {58A7D4BC-3234-404A-86E0-36B9ABC25E26}
34=der=2 {CB163BBA-C3B4-4F6E-9426-A12667830E6D}
ReacLoc=thev=1 {BB196A0F-E7C3-4EB3-8AB7-1C3EC5E2C036}
138=thev=1 {5009238D-AC56-49BD-848C-B478FCA3EAB2}
OpLimI=OpLimI_4.6_6.3=0 {49D015EE-06B7-4ECC-B185-51EA38444498}
138=thev=2 {C158BE2F-DA33-4E5A-8A6B-04132F53BF33}
PosPt=Reactor.thev=1 {B08F7FCC-5675-4EFF-AEE4-CC76F67B7540}
PosPt=Reactor.thev=2 {CD82A8ED-D94D-4C52-B8F5-E4D268EF5402}
LoadResp=ConstkVA=1 {74B74676-A32D-4F84-81AF-19F4C721EAF4}
LoadResp=ConstZ=1 {2B9976DA-DA88-4035-BFBE-4764C2F74011}
LoadResp=ConstPQuadQ=1 {A5035800-D490-438B-A952-CBB53EFAF21A}
LoadResp=LinPQuadQ=1 {8205C890-3D82-4955-8B9B-75315370CDF7}
LoadResp=ConstI=1 {CE18B829-00D3-423D-AD2E-E7A7B45E9BED}
LoadResp=ConstQ=1 {DCB44F0B-BF29-49FB-9C2C-B51869986F1F}
LoadResp=ConstX=1 {ED2AAB7A-E94F-4906-9AFC-41B7EF89018C}
NormAmps=OpLimI_360.8_492.1=1 {C42C6004-CC85-42CF-B4F7-D40A4B82C510}
EmergAmps=OpLimI_360.8_492.1=1 {00960103-1C11-4879-A52C-0DB346442816}
NormAmps=OpLimI_4.6_6.3=1 {BE020C12-5681-418B-9028-CB56C6C95A4E}
EmergAmps=OpLimI_4.6_6.3=1 {7FEDE94C-AB13-469A-8353-7B7A72F52B69}
BaseV=BaseV_0.2080=1 {406CD1D8-708D-48AE-B2CD-05471D4DCC3A}
OpLimV=OpLimV_0.2080=1 {33295AC3-8ADA-4C1F-A3FB-F13A731F1131}
OpLimAHi=BaseV_0.2080=1 {C84230C0-C849-4A67-AAA3-3AC4B104EA5F}
OpLimALo=BaseV_0.2080=1 {20094239-C14E-44DE-9464-E08B686B69A9}
OpLimBHi=BaseV_0.2080=1 {0BC6C72D-E3DA-474B-97A2-7DE9E78459FF}
OpLimBLo=BaseV_0.2080=1 {13A53CC2-6E0B-40D4-ACC3-019F0F104434}
