Circuit.local_optpf_b {43728B05-D922-4477-99DA-F980D27811ED}
Bus.sourcebus {9F1D1478-22EE-44CB-8DB6-E50C1B663475}
Bus.high {A20CF462-E335-4DE0-997F-1B409A29B894}
Bus.low {2AA6215B-9362-470B-A5B2-4B636E114D63}
Vsource.source {A48D9330-F650-438F-A21B-A33B1AEA26F3}
Reactor.thev {36FB1E40-CC78-4C68-BA5E-DEF929676916}
Transformer.der {46B723A2-6F0C-49B8-B5D1-64B254DD305F}
PVSystem.der {403EC894-ACB8-4099-A590-3B1FC4BED25B}
Station=Station=1 {6B4074B5-58BC-452A-AC1E-0893C52D5F00}
GeoRgn=GeoRgn=1 {D75AD5FB-4683-49E6-A787-0099EA1C0540}
SubGeoRgn=SubGeoRgn=1 {BD20E661-C72C-4587-89F8-0A4573075A32}
CIMVer=IEC=1 {97419D26-967B-434E-85F4-0A09D75E078B}
CoordSys=Local=1 {14DD24D8-7EC1-468A-8443-6169DFC7230C}
FdrLoc=local_optpf_b=1 {855DB02F-BEDC-428A-B34A-035838413E73}
TopoIsland=Island=1 {A9F362E7-142B-439E-AF96-C61796617BC8}
OpLimT=NormalAmps=1 {B95E676B-BDFF-4003-993B-F5E2C539F37F}
OpLimT=EmergencyAmps=1 {FE5958A8-A5FC-476C-B33F-454DB104E870}
OpLimT=AHi=1 {F6748677-2ED3-451D-A1F3-B263744044D2}
OpLimT=ALo=1 {6892F047-50B0-42DA-9AC0-E0572C86DB74}
OpLimT=BHi=1 {D6285CD2-512A-46D5-B4C8-59EA6E656E42}
OpLimT=BLo=1 {95BE397F-3237-4400-8A78-64CCAF53DA77}
BaseV=BaseV_13.2000=1 {DA5F5D76-5C42-44A8-A96D-72A94DCC2A8D}
OpLimV=OpLimV_13.2000=1 {EBB23C7B-44A2-4435-817E-C4E2E6CF57EF}
OpLimAHi=BaseV_13.2000=1 {FE1ADAFD-9ED4-499D-BF8F-EF96A6971C7C}
OpLimALo=BaseV_13.2000=1 {FB71C624-2EE2-4AA8-BE34-A9EC988AED29}
OpLimBHi=BaseV_13.2000=1 {6D8AC6D3-92C0-4840-800B-537DA55F47B2}
OpLimBLo=BaseV_13.2000=1 {999A7B6C-1B5B-4AC3-A41E-4097F332FD38}
BaseV=BaseV_0.4000=1 {19003901-8E2C-4C2D-980D-326B0D4BAB3F}
OpLimV=OpLimV_0.4000=1 {37DEC6F6-255F-4863-8942-360D0580B560}
OpLimAHi=BaseV_0.4000=1 {3272F6A6-B85E-4969-9E0B-DA61253F5C9F}
OpLimALo=BaseV_0.4000=1 {1DA6F06F-DB4E-4BBD-80EA-7F626038955B}
OpLimBHi=BaseV_0.4000=1 {454C19C5-6B02-48D5-AC74-EDE32832483A}
OpLimBLo=BaseV_0.4000=1 {14F5D8BF-E4EE-4400-897D-5F4ECC47879A}
Topo=sourcebus=1 {C1AD1B18-627D-4B90-AA9A-C3E9E88CCBA2}
Topo=high=1 {79B821F2-E625-4763-AFDC-FB3EA6A08A94}
Topo=low=1 {BA535AE3-EACD-4247-9AD5-517DC98ACDCA}
PVPanels=der=1 {31D87E3A-3E3F-40F5-98C7-4B72C6809F7B}
SolarLoc=der=1 {53FBA3BE-D2B5-41F7-BC4E-284ACB7C93BF}
195=der=1 {1D986B7C-2302-464A-AFF8-A36522C57E84}
PosPt=PVSystem.der=1 {F28DBB6B-DA23-4470-B7E1-14AAF90C71A9}
SrcLoc=source=1 {A0BBE54F-DA78-4C76-A6AE-D75CCDF79450}
25=source=1 {6E70B4A4-1E09-4BEE-AFFF-3D74674CB192}
PosPt=Vsource.source=1 {ED02DAC1-8AA8-48AF-9A48-7CF40D9D353B}
Bank==der=0 {346FCDCC-E5DA-4349-BA64-77D716F70018}
XfLoc=der=1 {66D020D2-C588-4997-A03F-8ED96A86D297}
PosPt=Transformer.der=1 {8587C8C2-49A6-469D-B1CF-C1F0851C7E55}
PosPt=Transformer.der=2 {F205A183-2418-4CB0-882D-C9B9FFA72C01}
Wdg=der=1 {06F0CA14-FC73-4A30-A200-9CD892F1C3F0}
Wdg=der=2 {DA38D73F-80EB-4987-B9A3-7C9B4517425E}
XfCore=der=1 {FF9E6627-52A1-4ECE-BC9B-3F65C749FBC4}
XfMesh=der=1 {88456832-34D3-47C0-8A30-F8E955E980EE}
XfMesh=der=2 {A602600C-DE9D-4648-8C6D-32A20D9EE5A0}
XfMesh=der=3 {54A5587F-1A56-417A-A7EA-CA3759F006B0}
34=der=1 {080A7C94-BD2F-4DDA-92EA-C45327E26B15}
OpLimI=OpLimI_360.8_492.1=0 {BBA949E8-E4F7-413C-BCD5-52DF68C03DC7}
34=der=2 {85A710E6-5FB5-4CBC-8986-BC5AFB976F2D}
ReacLoc=thev=1 {6457B12E-3797-40E5-9676-1E1D54AD7128}
138=thev=1 {A9590870-CE3A-45E3-807B-586742D982F9}
OpLimI=OpLimI_4.6_6.3=0 {50C55D0B-E0D0-48C5-A89C-DA95C128423B}
138=thev=2 {67574527-0A67-4CD3-B2F7-CE5D5D2304E4}
PosPt=Reactor.thev=1 {C67D08D3-3DAD-42F1-87C6-415423065A01}
PosPt=Reactor.thev=2 {85A711B0-E5E1-4EA6-8288-35BD500D15C0}
LoadResp=ConstkVA=1 {2125B65F-0C8F-41FD-9FA7-93AC60BC0A13}
LoadResp=ConstZ=1 {EE0EE615-F147-43E1-8988-0B506FA74531}
LoadResp=ConstPQuadQ=1 {406C30F9-1CC6-43A0-8474-FE9E509FBD1B}
LoadResp=LinPQuadQ=1 {993EB6C8-CD30-4C6D-BBAD-979D25F48C88}
LoadResp=ConstI=1 {DCBF3F4B-274D-4A5E-9080-AD734D3EEB31}
LoadResp=ConstQ=1 {01B1D039-3731-44A5-AAEB-2BFC4BF2D417}
LoadResp=ConstX=1 {8683347B-C8BF-4496-A05E-CDBD2B540168}
NormAmps=OpLimI_360.8_492.1=1 {6D1F2963-F22B-4F5F-B7BF-9B533191D344}
EmergAmps=OpLimI_360.8_492.1=1 {E28202FA-7F7D-4AAE-B96E-9698B6ADED57}
NormAmps=OpLimI_4.6_6.3=1 {9E163BA1-12BB-4F54-984A-644A07E4AEBF}
EmergAmps=OpLimI_4.6_6.3=1 {6B2E0D9F-A87A-4146-B4E9-32C288AFD5B1}
BaseV=BaseV_0.2080=1 {0FCBFF3B-8C07-4D39-95CC-7D09539A929E}
OpLimV=OpLimV_0.2080=1 {4221A3FC-78C8-4567-90BA-AF084517C8D6}
OpLimAHi=BaseV_0.2080=1 {9DE313B1-DB1A-4523-9C6C-941E410AFBBF}
OpLimALo=BaseV_0.2080=1 {18E242E0-9CEE-4BA2-A385-85B48E0E20A6}
OpLimBHi=BaseV_0.2080=1 {59F2A53D-5940-4812-A8DB-5BE814B4C868}
OpLimBLo=BaseV_0.2080=1 {3A99D9C0-2EDC-4CDC-8C86-D5504BB6C356}
