Circuit.local_unity_a {B3600BC3-18B5-4720-9CC6-5997E35E8158}
Bus.sourcebus {79B25665-1BE2-4C94-9F85-72AACE82C298}
Bus.high {5D2768F0-23AE-4FF6-87A1-258E09D1CB4A}
Bus.low {D09842AE-4691-483A-8E68-3B80836757B4}
Vsource.source {60648FF9-5B35-4202-8E64-C5DB84F281D0}
Reactor.thev {D407C38F-A885-45CA-BC33-AF8C17FD8355}
Transformer.der {18B61F5E-8E0C-48F9-90B9-78B285DEF2DA}
PVSystem.der {530E2D10-86F4-46A8-883C-787099268A55}
Station=Station=1 {139E66B5-38D0-42AF-BD52-896ACF25F93A}
GeoRgn=GeoRgn=1 {CBAB2794-0CAD-4F5D-BE28-BD9A434B3CCC}
SubGeoRgn=SubGeoRgn=1 {AF292AB5-7849-499F-AEE5-123437A2AD5F}
CIMVer=IEC=1 {45B18BA3-6CDF-402E-BF6D-873A05A09416}
CoordSys=Local=1 {2A861B5B-F305-4D79-AB8B-1E7766FF7FF5}
FdrLoc=local_unity_a=1 {2CD8F56E-B26C-4046-B2FA-A3A4AD26B02E}
TopoIsland=Island=1 {A3EB9A56-71BB-4ECF-A0B5-737C24CFD1F0}
OpLimT=NormalAmps=1 {BF044EA2-F576-4473-BB2F-C3FDE57BA705}
OpLimT=EmergencyAmps=1 {6B47AD84-51FE-4854-BC13-D24923E8C652}
OpLimT=AHi=1 {D1A1B37C-CEFB-46F1-A2A1-E224347B799E}
OpLimT=ALo=1 {F8C368A3-583B-41BE-B53A-323BF3DF10AC}
OpLimT=BHi=1 {1007606C-0D7D-4029-AEB6-FB82DD8E7EDA}
OpLimT=BLo=1 {C23353C3-F82D-454A-87D0-76FD1D8FCC37}
BaseV=BaseV_13.2000=1 {116861B0-B0D1-4B24-8984-81045AE98C0F}
OpLimV=OpLimV_13.2000=1 {96F747E9-8EC9-4C7C-A149-732AE17A57C1}
OpLimAHi=BaseV_13.2000=1 {E5DC09FC-7F8F-4928-94FD-AA28BF643D5C}
OpLimALo=BaseV_13.2000=1 {D7FA2562-F9B7-412D-92B8-7B0D32BD10BB}
OpLimBHi=BaseV_13.2000=1 {429CD11D-4E36-4FF2-8A10-881AD2578271}
OpLimBLo=BaseV_13.2000=1 {7FF4F7C6-4AF7-4DF8-9D67-8A039404AC8C}
BaseV=BaseV_0.4000=1 {AD18740F-837A-4BC6-978C-8D4D56E30E62}
OpLimV=OpLimV_0.4000=1 {971A6E82-FF50-48CE-A618-1F9494EDB65E}
OpLimAHi=BaseV_0.4000=1 {5575252A-FBA4-4A7C-885D-DFBA1F8A1846}
OpLimALo=BaseV_0.4000=1 {A81D867F-A8DA-4CBA-84D5-37177DE224BC}
OpLimBHi=BaseV_0.4000=1 {5B439015-947B-4005-805F-66B4DBC5017E}
OpLimBLo=BaseV_0.4000=1 {47832252-B59D-4B51-92C6-0C8507E0F4C6}
Topo=high=1 {7D915947-A2EF-426F-84BA-D7082AD90B93}
Topo=low=1 {F664F3C9-DCFA-4DC7-8A16-2A5AE102779F}
PVPanels=der=1 {499E98A4-D840-4BA0-87BF-71A29968BE13}
SolarLoc=der=1 {0F3BBA00-F54E-400B-BB25-55082526593D}
195=der=1 {5920A43B-F80B-46EE-8B80-5D472E0F822D}
PosPt=PVSystem.der=1 {C67D6B8B-99F9-40F7-AA38-5B22CF231ABF}
SrcLoc=source=1 {96801553-B400-4C39-AA6F-2B49672E9079}
25=source=1 {AF91B7FE-FDA1-4869-9D0B-8C88B8D03FB7}
PosPt=Vsource.source=1 {FFB62512-2667-45DA-AB92-0404F04ADC35}
