Circuit.local_vvar_a {D1D5E183-EE39-44E6-9D5C-A1519F0D8709}
Bus.sourcebus {B8601285-08C7-4D6E-80C4-6D5EAAD8FD42}
Bus.high {29581016-0204-459A-9B4A-232A02A5FC46}
Bus.low {60144508-E941-4C79-A256-10CE324BB5EC}
Vsource.source {C594731B-793E-49C0-AA42-C897A4B4B4D2}
Reactor.thev {8B2069D5-0FA9-49D9-8CB1-244B5AFCDD0C}
Transformer.der {90DEB124-79CA-4D26-A702-EE8777EF0FBB}
PVSystem.der {E94D50E1-AA7D-4869-A8BB-ED99B2F7DD3C}
InvControl.der {09D92E03-C4D7-457B-92DA-E3B61FFBABCD}
Station=Station=1 {C25A6D18-D1AE-4D55-96E3-99B64046A2DA}
GeoRgn=GeoRgn=1 {84A18347-FF93-4C70-BF3F-92A4CFA29D9A}
SubGeoRgn=SubGeoRgn=1 {BDA00115-E4B9-48BB-89ED-8917A469DAAE}
CIMVer=IEC=1 {92C5B7BD-F16A-42FB-9AAF-84198FBAA4DC}
CoordSys=Local=1 {4B8E09EA-169A-4DD9-8E70-50D4ACF6FD9C}
FdrLoc=local_vvar_a=1 {8A251588-E25E-4ACF-919C-631E57941EAC}
TopoIsland=Island=1 {FACAA2CF-94F7-4D7C-B790-A8B24F359A10}
OpLimT=NormalAmps=1 {57DBE524-6490-4125-9267-50E41A3A8EB1}
OpLimT=EmergencyAmps=1 {9D8F2286-CF12-450A-A38A-958657A44EFB}
OpLimT=AHi=1 {CFBF86DF-24E0-447C-A1A9-BB9867D711F8}
OpLimT=ALo=1 {43BD5552-FD79-4EDB-9980-BC9359F3CF9F}
OpLimT=BHi=1 {95C4D229-E97E-4429-A34C-FD23FF32BD34}
OpLimT=BLo=1 {AEFD9C52-B3ED-4863-B9D7-1F0C7CAEB40B}
BaseV=BaseV_13.2000=1 {17D7C887-6F69-42FC-A2E9-76CABB171E4B}
OpLimV=OpLimV_13.2000=1 {A1CE9228-C3E4-4DE5-B6F8-FA6F8EA85DB2}
OpLimAHi=BaseV_13.2000=1 {D1E166BB-172B-4208-8344-83D0322AEDBC}
OpLimALo=BaseV_13.2000=1 {13093FBF-D15A-48A9-B555-191C3CB5B5D0}
OpLimBHi=BaseV_13.2000=1 {17F5BB44-9C35-4329-A689-CF462CF42AFF}
OpLimBLo=BaseV_13.2000=1 {3D64AA84-311B-4D4C-BD0E-691C0BC9D061}
