Circuit.local_wvar_b {746C6392-9F8B-4537-98C4-E978AB9547D4}
Bus.sourcebus {DDDEC453-F8B6-41BC-B9E1-38968F0B5FFA}
Bus.high {C76A17CF-FF96-4FC1-B9A8-C37E83369A05}
Bus.low {87C5F0AB-43EA-49DE-B52F-F69C37BD88C8}
Vsource.source {4065262C-B41E-416F-9DE7-4E3B51E89EC8}
Reactor.thev {7F34EB98-F8A6-4115-8C53-BAF0F664DE80}
Transformer.der {38C5E674-62CF-4D55-99D9-6443F6D45361}
PVSystem.der {3B17FF44-6FCB-40F6-B95A-68144F6DD617}
InvControl.der {97BD9523-4070-44E3-9AC4-A48183853580}
Station=Station=1 {978DFC0C-3976-4F56-8C2F-622BDB999D2B}
GeoRgn=GeoRgn=1 {E83C4077-AB49-49C8-B551-0748EEAB2091}
SubGeoRgn=SubGeoRgn=1 {E03014CE-61F7-439A-BEF8-6D93A559FF08}
CIMVer=IEC=1 {34E12791-5FFD-4B5D-961A-11A6626E8DDB}
CoordSys=Local=1 {A5D11E98-5CDC-4D4F-B239-43654285ED58}
FdrLoc=local_wvar_b=1 {C936570A-FA2F-4587-8938-6441E62D3A21}
TopoIsland=Island=1 {BA8C86E3-B5CB-4638-B935-67EB65B6A34A}
OpLimT=NormalAmps=1 {D0799866-AC7A-4F43-977B-F33A6474F843}
OpLimT=EmergencyAmps=1 {700BEC1D-5083-4003-8146-F21228A18747}
OpLimT=AHi=1 {6117219E-3ADE-4C15-90D2-3EA95E5392E3}
OpLimT=ALo=1 {2CA03678-BD13-475C-B1A0-0E4D04A3F784}
OpLimT=BHi=1 {4DA32ACE-4845-4C3F-8111-9DCF4A0CCF46}
OpLimT=BLo=1 {840E3915-72CB-4571-801D-16E6C7D5584C}
BaseV=BaseV_13.2000=1 {67CFE05D-0D88-4EEF-A277-18FBC39C1676}
OpLimV=OpLimV_13.2000=1 {FBF5FDA1-98E0-4B0E-95CE-3B393C4F6CD6}
OpLimAHi=BaseV_13.2000=1 {E74A064B-B6D4-4F31-922A-BADF83351C49}
OpLimALo=BaseV_13.2000=1 {3069394E-C0D4-42C8-9831-5836B370FA05}
OpLimBHi=BaseV_13.2000=1 {89875DB0-95B5-414A-9AF7-16C3D7D11635}
OpLimBLo=BaseV_13.2000=1 {DBAF80FD-DE8B-4D95-AEEE-53BDD3790BA4}
BaseV=BaseV_0.4000=1 {361DB8AC-BF02-4588-BFC5-762B5EAE94B0}
OpLimV=OpLimV_0.4000=1 {BFB11E35-5D1E-4798-991B-FB38F0E2FED2}
OpLimAHi=BaseV_0.4000=1 {6919BAB9-7417-477D-A03D-C3CB990CAC9F}
OpLimALo=BaseV_0.4000=1 {52321722-E97B-4BD5-AE23-70223C8952F2}
OpLimBHi=BaseV_0.4000=1 {853861BC-6A9E-4CA5-8613-0ECF60C183D8}
OpLimBLo=BaseV_0.4000=1 {8625D173-5B15-4296-B33E-261AC0CD54A2}
BaseV=BaseV_0.2080=1 {DFF0E4E4-DBD9-44CC-ADD6-520EA12C782B}
OpLimV=OpLimV_0.2080=1 {F963E4D4-8156-4C09-B234-5B475DA81014}
OpLimAHi=BaseV_0.2080=1 {2D6A6AC0-7F4F-4B38-BA6A-9820CD977D13}
OpLimALo=BaseV_0.2080=1 {39C4EEE3-ACE3-4D38-A7F8-D252D122BFB3}
OpLimBHi=BaseV_0.2080=1 {7B04DC16-9BB5-4A36-9E8F-A42385F70740}
OpLimBLo=BaseV_0.2080=1 {F74DE72D-85FD-4989-973D-0014E8237CC8}
