Circuit.remote_vvar_b {5824790B-58F9-4428-BB11-6D56CE013C73}
Bus.sourcebus {2A38B3D2-177D-4450-A3C9-AD30D47B3F23}
Bus.high {BCF8ADCE-71E3-42EE-9460-FD0BB0A5CF49}
Bus.low {8B4BD463-B768-48A0-AB51-E622F954F9FD}
Vsource.source {8E018677-6144-4B12-B5F9-67B9A28452FA}
Reactor.thev {8AD7CE4B-687F-43A5-B187-E90AC52408CC}
Transformer.der {04F8B418-5BDB-4A5F-AC08-49FB066940C3}
PVSystem.der {0FBF0C1C-AE36-4DC2-BFA7-5B27A62BED2C}
InvControl.der {3178F439-03B9-4EC2-9B40-59802477269D}
Station=Station=1 {E206816D-8214-4D33-8FB0-3AF262C26E1F}
GeoRgn=GeoRgn=1 {B9A02140-6286-4B03-823F-25B8A4271045}
SubGeoRgn=SubGeoRgn=1 {3742117A-6221-4722-A362-1798335BCDCB}
CIMVer=IEC=1 {BD696DCC-1570-4AB3-83F5-805BFB712EAD}
CoordSys=Local=1 {7A0E308B-9FD8-4C4F-BE02-DA22C85F57BA}
FdrLoc=remote_vvar_b=1 {C8C0B4E0-D5E2-487E-AF67-26941C831033}
TopoIsland=Island=1 {FCBA397E-D752-4255-80D1-94CAEF036498}
OpLimT=NormalAmps=1 {80C669A9-D02C-4E06-B924-E5ECFC6931C6}
OpLimT=EmergencyAmps=1 {CE4244DA-E8EC-436C-9513-6C176AC489B6}
OpLimT=AHi=1 {A44D5722-6006-4C49-8976-AFE5F3FC75AE}
OpLimT=ALo=1 {4990B219-D4F4-4349-8073-2AE0F93F3E5C}
OpLimT=BHi=1 {FBDF3FF9-0E50-432F-84A7-A1725C31C06F}
OpLimT=BLo=1 {996A5595-6214-4B38-9E65-6C8A5B091D3B}
BaseV=BaseV_13.2000=1 {B69BDDEC-89F7-410A-BB52-0D9F2725D7B3}
OpLimV=OpLimV_13.2000=1 {84E89B33-976C-4B28-ACD8-253376463A81}
OpLimAHi=BaseV_13.2000=1 {A439A52F-D262-4FAD-8FD8-E14236DAFA6D}
OpLimALo=BaseV_13.2000=1 {2BA71AB8-D67B-45DA-94DA-15915C761345}
OpLimBHi=BaseV_13.2000=1 {D9F27FB7-C04D-4025-8E5D-C84AA1CB21BF}
OpLimBLo=BaseV_13.2000=1 {6B89595B-C496-401B-BDC7-64FA111A5AF9}
BaseV=BaseV_0.4000=1 {D7D62C76-B4F7-489A-8CC0-3692EB5C1F97}
OpLimV=OpLimV_0.4000=1 {7360F254-583E-4DFF-9307-01C25AAECEF2}
OpLimAHi=BaseV_0.4000=1 {3326D54A-8829-4AED-88E7-81EF14EE83E6}
OpLimALo=BaseV_0.4000=1 {13165C5C-4AD7-40B8-8548-3CAE57A2A89B}
OpLimBHi=BaseV_0.4000=1 {0C53FFF0-9383-440B-9950-E57FFDC812A7}
OpLimBLo=BaseV_0.4000=1 {128231E6-092A-42A4-91D2-1E01D9EE27EB}
Topo=sourcebus=1 {AEFBA0B9-93B0-401D-ADAB-66E60C31C875}
Topo=high=1 {2B79269F-BC93-494D-9089-8658F424DC82}
Topo=low=1 {C73495B7-84FF-4EC1-9702-74E48EEEC8EA}
PVPanels=der=1 {E32EB63E-0E0B-43CB-B5F3-440A1D527F62}
SolarLoc=der=1 {FD0B5350-77B8-4CB3-8A90-D78157643396}
195=der=1 {7C4062E9-442F-42C7-8870-AF10355A2DA4}
PosPt=PVSystem.der=1 {38E1E8A6-0690-40CF-97B9-9A616F57AB1F}
SrcLoc=source=1 {2D1204DF-1B4E-4076-9D03-8908AB140BF4}
25=source=1 {F4384FC0-C628-440D-AD7D-597AFBEE29D0}
PosPt=Vsource.source=1 {47908585-9A18-4D2D-A95D-2E1D85025AFC}
Bank==der=0 {9569185D-9D45-4CC5-A128-CF746DF02513}
XfLoc=der=1 {D06ED89E-F828-4F6D-BA2D-B0775D4FB136}
PosPt=Transformer.der=1 {95B1F1B8-7E1B-4647-ADD3-776775C3DFCB}
