Circuit.ecp_daily {C4248C71-A0EE-4D78-AFEE-74F3359A2099}
Bus.sourcebus {B965598B-7457-4965-840E-2F449B2A6410}
Bus.fdrhead {C8039565-2D96-4726-9DF1-38BA61702F0F}
Bus.bess {AA528BA8-D2FF-4811-B747-4D6B59478C2D}
Bus.pv {C5A7E695-DA59-49FF-B6CB-2F44260E71BE}
Bus.load {47C741B6-FE4F-43F1-81C5-28F8EA6B9BFD}
Bus.gen {5995D427-3E52-4C27-8578-80EF7D227596}
Vsource.source {DDB4576F-C2DC-4473-81FA-55A869C0E676}
Line.thev {DC7A7740-1B12-4284-BF72-C413BC0EC1CF}
Line.seg1 {180F0F40-7EE4-46BD-BFEA-BD9D5F1CA129}
Line.seg2 {7829E97C-BCD7-4640-9E2A-7398B384D5D8}
Line.seg3 {17D2F97D-8031-47C3-9F5D-E0593F2E572E}
Line.seg4 {A766C687-CF6A-4C3E-BC1F-C7DBAD22267A}
PVSystem.pv1 {A7CFC7C9-CAC2-43A8-98FA-80DA133B9D0D}
PVSystem.pv2 {2211D5A4-DF6A-49E5-AEE0-77884B8F7189}
Load.load1 {2CFD0D2F-FEC8-4D3A-BB96-B906A95F94FE}
Load.load2 {4C6E6808-CB9C-4A8D-BAD5-5F4725FC5C07}
Generator.gen1 {5025750B-26DB-4C3E-82EB-77F854EB3D94}
Generator.gen2 {FB43B089-C13D-4038-9478-F51544BB384B}
Monitor.pv1 {40249939-279D-4F8B-8EAB-26877891093C}
Monitor.pv2 {238E915C-EBF1-4EB0-A2C0-34CBD69F8B0A}
Monitor.load1 {3A931F50-C07F-4B8B-8658-FCD55E9C991F}
Monitor.load2 {95FFDA14-1B7E-413D-8977-063843CC807E}
Monitor.gen1 {2E4E1D26-BE97-48CE-B82C-CB4A05823673}
Monitor.gen2 {6D3644A2-5836-4A89-8AED-BBDCF6A9032A}
LineCode.trunk {E02B2ED0-5738-4E78-B296-17D9B96545D3}
Station=Station=1 {C419D0D8-D1CB-4D15-A9C7-F072246A5941}
GeoRgn=GeoRgn=1 {7E662ED6-D1A8-4BBE-A6E2-7254E774F671}
SubGeoRgn=SubGeoRgn=1 {D332E15F-C78B-4B89-89DA-104F2BFA5ED7}
CIMVer=IEC=1 {70001484-14E7-43AA-AFA2-3C508924880A}
