Circuit.ecp_duty {2CAF6651-0176-4D51-879E-8B4369716F31}
Bus.sourcebus {2F2ED0EC-D4B0-4DE3-AB72-F56F23CFE784}
Bus.fdrhead {5DF7A026-B5A9-4EF4-A07B-FBD74418BD8D}
Bus.bess {2AEB1CC8-4854-4007-A2B5-F4D2227B1BDE}
Bus.pv {86B2D4D7-8A35-4D82-BF12-5B05396B56BF}
Bus.load {D369A123-C587-45C8-9D94-9ECBDC47F0F5}
Bus.gen {FB762BB3-CBA2-4E38-8370-4036C3F6AF7E}
Vsource.source {5382BC31-5572-41E1-9CED-5DBE25A3B3BE}
Line.thev {5CD0FA05-AD16-46DE-8883-7CF7F624F517}
Line.seg1 {CCB56640-EE8D-4BDA-B34D-472D1AAD8E2A}
Line.seg2 {345DE973-9985-4B48-83EF-E7E67D272232}
Line.seg3 {792E8282-0364-4994-B989-57389D5EE76E}
Line.seg4 {65E481DD-C0BA-4F80-AE1C-9DAD5BC77042}
Storage.bess1 {8D45BE91-231B-4B21-8F06-14DDDB00FF9A}
Storage.bess2 {FDB2A00F-36F9-4AA8-B452-D8DA5FFC83C7}
PVSystem.pv1 {172F5B37-0C51-46AB-ABB1-970CAB181672}
PVSystem.pv2 {C0C4A71B-71AC-48FB-AD7F-FC7B3F1B8E2F}
Monitor.pv1 {33A1B4BF-9270-4AE6-B188-D0DFA00BC44B}
Monitor.pv2 {D95D5692-C800-40DC-AEDF-8419BB0CE724}
Monitor.bess1 {47F2A335-3937-43EF-8922-13123ABD9371}
Monitor.bess2 {93A22CA6-D248-429C-BA4D-72E7B8CB151B}
LineCode.trunk {D851A214-C026-40DF-A97B-096A58936821}
Station=Station=1 {AF0AEE16-DCD9-4740-A3CC-D7AA1AA7B7B1}
GeoRgn=GeoRgn=1 {AAC5FFD4-DFD9-4BB7-9A3F-0E78F0FBBD1B}
SubGeoRgn=SubGeoRgn=1 {69ABFD0C-42DC-4A56-8F36-76922370119E}
CIMVer=IEC=1 {70C1CB04-6E58-4776-9E26-0B185A63A350}
CoordSys=Local=1 {F5738578-B629-4D2B-9E65-3732770F3E7B}
FdrLoc=ecp_duty=1 {535328A6-A574-4B07-A73E-A5C949E55677}
TopoIsland=Island=1 {ABA57736-201C-4360-9552-A91C60BB5ABB}
OpLimT=NormalAmps=1 {FBFD61B5-C52F-4D7C-9880-D3DB147A37A1}
OpLimT=EmergencyAmps=1 {79AE1E01-2C53-485D-925C-F8D07C530CB4}
OpLimT=AHi=1 {F92C2CF6-5D06-4BB9-A822-32C9B8080CD4}
OpLimT=ALo=1 {EB087D98-9842-422A-B23A-6DFAB1F93889}
OpLimT=BHi=1 {A9961310-FFA6-4B5F-9892-75D657862A27}
OpLimT=BLo=1 {A7948E48-8B51-453B-9153-7DE5E0148961}
BaseV=BaseV_13.2000=1 {AFA5E8ED-B7D4-4BA9-A2DF-18AD030EA85F}
OpLimV=OpLimV_13.2000=1 {12BD6486-2719-4A1B-8F98-9C9397ABB5D0}
OpLimAHi=BaseV_13.2000=1 {EB14B491-2914-4DCC-80FB-1842ED8A0E2A}
OpLimALo=BaseV_13.2000=1 {7F8347DD-C075-41B6-BCC1-25B163B39F40}
OpLimBHi=BaseV_13.2000=1 {1151C42B-E132-4767-9875-BBA77BA3D0BD}
OpLimBLo=BaseV_13.2000=1 {BB302921-F71A-4B29-BAF7-90982050E896}
Topo=sourcebus=1 {DFA9A0E4-2E94-41AB-ADAC-689AB8106DC5}
Topo=fdrhead=1 {A8449D36-7CCB-41B4-B697-B564EB2AF1B8}
Topo=bess=1 {E84A4771-4343-43B9-B6D8-1188A4DD1E51}
Topo=pv=1 {6D76038F-75F4-4454-B9F7-645056CAC4A2}
Topo=load=1 {A79300A1-DEFC-450B-A98C-63550C85C644}
Topo=gen=1 {E71C2C56-1605-419F-8892-1B95B408C7C3}
PVPanels=pv1=1 {AB40E892-A35D-4ADA-AA3D-50A74457F849}
SolarLoc=pv1=1 {62E3534B-36F6-4500-AC43-DDB3C997F090}
195=pv1=1 {F021204D-3863-46C0-AE35-41D307512837}
PosPt=PVSystem.pv1=1 {4E23F65D-83FD-4BA4-9007-6CC45E822632}
PVPanels=pv2=1 {65BCB4BE-3548-435E-9861-D5AE9F04641C}
SolarLoc=pv2=1 {97B3894E-DEE5-4EFF-A202-E36294F8E701}
195=pv2=1 {38389DB0-5F9A-4C4E-A265-0F539DE6E22F}
PosPt=PVSystem.pv2=1 {5817A155-4DDF-4048-BD40-2CA86A463FF2}
Battery=bess1=1 {0E417631-784F-4D06-96FE-E9210550D330}
BatteryLoc=bess1=1 {F209FD03-FE25-4925-9579-A72FBE72A622}
171=bess1=1 {C71A40D9-77E7-4C41-8EDE-2E5CCA38D588}
PosPt=Storage.bess1=1 {829DD3A8-B408-45C7-90B8-BB37BC0FFEC4}
Battery=bess2=1 {EE768FD6-56A0-4A62-A202-22AF4EA7041A}
BatteryLoc=bess2=1 {A33A1893-932F-4EE9-85A6-858E539C19D7}
171=bess2=1 {384E6D93-96D6-4477-8E05-124D4FEEAFC6}
PosPt=Storage.bess2=1 {B1D672F3-7ABB-4AD4-BBBC-AB5252BD53E9}
SrcLoc=source=1 {C143F858-1C3D-4CD1-83FE-92134254F114}
25=source=1 {10F9A2ED-EAEE-4835-B7DA-D480365F3C49}
PosPt=Vsource.source=1 {997B1716-663C-4609-92BE-4BA2633D7950}
LineLoc=thev=1 {B0F458F8-6C72-42EB-BAC8-B4495CA81CEC}
50=thev=1 {1736CC42-B121-40D9-AAB9-06E638325451}
OpLimI=OpLimI_400.0_600.0=0 {9CD3CDC0-F0DC-457E-8213-575C73DCBDD8}
50=thev=2 {FF55A134-3665-4295-BEE0-7856EFE4A82A}
PosPt=Line.thev=1 {06A6F660-3BBB-4A40-82FC-F00A8419EB99}
PosPt=Line.thev=2 {D51BC2AF-36A8-46FA-A93C-80A75FDBF1F8}
LineLoc=seg1=1 {195DFF03-D6BA-4BB6-9B63-B3F5F51F2C57}
50=seg1=1 {F4A0ADE7-BD91-48B0-8FE8-F5005DB5DAF9}
50=seg1=2 {3227FFF1-15D9-495E-9F75-3758946A4B41}
PosPt=Line.seg1=1 {5720A3B4-014E-4B80-9700-47933F9F5975}
