Circuit.ecp_growthcvr {D5B67D26-3B01-4556-854C-F01C8EDC662D}
Bus.sourcebus {C4BDC8F6-540A-4963-9B10-5868F989E9E2}
Bus.fdrhead {2F838D19-EA78-4B64-B4B1-A0AB0DD1B6F1}
Bus.bess {91CF76BA-D085-46E6-A842-BAD3D393074A}
Bus.pv {FF16C322-BDDD-42D7-886A-01E5EC6CEA6D}
Bus.load {35D3643D-8F91-446A-9C66-16CDA0028B2B}
Bus.gen {3A28704F-168B-41EE-8EA3-6A025A698A82}
Vsource.source {06A0FFFB-5F64-4E6A-B550-2B45BCC56875}
Line.thev {1F0F06B1-5DCC-4013-ACE4-F8797581C1DE}
Line.seg1 {06B96823-5D8A-4101-8477-F8127F6E0272}
Line.seg2 {21F014B8-E3E3-466C-A3E6-B3CF529F83B9}
Line.seg3 {35D6C13B-D14F-4FF3-B7A9-AA61CCFB712B}
Line.seg4 {049E4A9E-F191-4820-9665-1A40F5A9D155}
Load.load1 {77D1A1FD-4360-47FE-91A8-B334444F7182}
Load.load2 {A62A950F-C3BA-459C-82E3-51642E50BF1D}
Load.load3 {3E7C032B-F3A5-473F-A1AE-7054FFE59F2A}
Load.load4 {5DD41D28-1D83-4CE1-A651-5B0E6BE6C180}
Load.load5 {215DB341-CEFC-41B3-B702-7B78B549A3BF}
Monitor.load1 {C4E46BAD-7754-4330-97AF-0D259A2E1883}
Monitor.load2 {A6B0A380-E14C-4C4D-B225-F92841FB89D2}
Monitor.load3 {A3119AD9-3A2D-4BE0-A0E2-9AC9B35F5DFB}
Monitor.load4 {E3CDC8FF-7588-4DE2-8E82-EA393D30F419}
Monitor.load5 {B5A6B027-C84F-44A8-B2F2-3E8BE25AE2D4}
LineCode.trunk {7C8FD155-23DE-468F-9F80-93C2E7C57AC7}
Station=Station=1 {63BBBA20-6E13-4EA1-B774-142BB4A7B814}
GeoRgn=GeoRgn=1 {02621980-21EA-46AD-A133-1E81FDB01AD7}
SubGeoRgn=SubGeoRgn=1 {3F149812-BAD3-46B2-BEE1-6A4B92B7C6F6}
CIMVer=IEC=1 {8F5622CF-4661-4018-85AA-8874F693A355}
CoordSys=Local=1 {FCF5781A-52A5-46E6-A8E6-B6D95BCED85D}
FdrLoc=ecp_growthcvr=1 {45908650-716D-42B1-8E09-4123BF7B4B40}
TopoIsland=Island=1 {B8F5861D-E642-4590-9924-8F731888DAF8}
OpLimT=NormalAmps=1 {F0340D46-68B9-4326-89E6-28DB72AF4518}
OpLimT=EmergencyAmps=1 {1F6BA993-2608-477E-95F8-304D0121D29C}
OpLimT=AHi=1 {9C3B3AC9-1DBD-48B4-BAFC-0AD300F91E8D}
OpLimT=ALo=1 {D713C737-0FBA-49C3-95EC-00538E0C903D}
OpLimT=BHi=1 {EA70BC71-63F6-4A88-A280-84A2CC64C49D}
OpLimT=BLo=1 {DF30904D-3E01-48DF-96E7-EC080E640A10}
BaseV=BaseV_13.2000=1 {3E13E562-D089-4C00-8935-100F08A65DE6}
OpLimV=OpLimV_13.2000=1 {651BC5E3-40AE-4FC5-B11E-C90CD65CEE7E}
OpLimAHi=BaseV_13.2000=1 {AF093F50-3562-4C02-9BE6-0E25CB9E8D58}
OpLimALo=BaseV_13.2000=1 {9827E2C9-1F2D-43F3-B7AD-665FAC99FE84}
OpLimBHi=BaseV_13.2000=1 {C8C15DFF-29A8-4D2A-9FD5-B34CB83C3583}
OpLimBLo=BaseV_13.2000=1 {34E07E17-1E95-4FA0-94F0-77CF172D4152}
Topo=sourcebus=1 {F3387F8D-FBEA-442D-A6FE-D5757458EE95}
Topo=fdrhead=1 {A525014F-D37C-4B24-91C4-2355DC3FDB9D}
Topo=bess=1 {8EFB0D1C-EBB9-4181-9942-BB5ED42CEA5D}
Topo=pv=1 {A9C1AA53-08B6-4DCF-894B-C64FB38DA418}
Topo=load=1 {3CD314E7-AA6A-4B0C-A4E7-68E8E7C1D68F}
Topo=gen=1 {C9F8D27C-F5BA-448C-8F1F-22E6C6C4E859}
SrcLoc=source=1 {8D351D05-BB45-4D96-BB31-A7F550241436}
25=source=1 {9E85EF37-91AC-4C57-AE2F-970B776DF551}
PosPt=Vsource.source=1 {C173B0B0-8865-4DAA-858D-7EDB5EB703D6}
LineLoc=thev=1 {17CD871B-9D09-4092-908F-7B6EAA3446DE}
50=thev=1 {8D70741C-D27F-404D-8494-A572AC9E5E26}
OpLimI=OpLimI_400.0_600.0=0 {81DCDB68-668B-40F0-9AF4-B327B8992D9C}
50=thev=2 {CD0609E0-1519-48FE-8100-3C990BAC4ABF}
PosPt=Line.thev=1 {AA922F50-8C0F-4DCE-B75E-B7FA098F136E}
PosPt=Line.thev=2 {75695E2D-21F0-4A84-BD6D-FE09055F3474}
LineLoc=seg1=1 {8480F371-4A1D-4638-A646-BF5D404E26DC}
50=seg1=1 {46CAFF93-5470-4E0A-8809-D0CA719A1F02}
50=seg1=2 {E47D53FD-E2A6-4E29-AEC1-92D2FFB8EAEC}
PosPt=Line.seg1=1 {429C094C-78DD-48AF-83D2-EAEA4AE3D012}
PosPt=Line.seg1=2 {E9E54251-7C7F-4ED6-96D2-8C89C33FCA96}
LineLoc=seg2=1 {3836A6FB-EAFA-4A64-B3E2-F593801A4D10}
50=seg2=1 {795CB5D5-E52C-4834-85E0-5F37D3D3142E}
50=seg2=2 {0A008633-6DAB-4270-9BD4-EBFD79FD1EBC}
PosPt=Line.seg2=1 {CA96FD7E-4AC3-40E7-A6D1-BD4193878FB8}
PosPt=Line.seg2=2 {5330FCD5-15D6-4340-8896-23F2BFB72263}
LineLoc=seg3=1 {4AF40B86-D5DB-430E-9368-9E43CF49DA7C}
50=seg3=1 {FCAA9614-AE85-4FE9-8ED9-82983AEB53DC}
50=seg3=2 {86204CB8-B637-4D30-8854-1C17324982A2}
PosPt=Line.seg3=1 {C2F45859-7E47-487F-BB61-2CC953ADBB25}
PosPt=Line.seg3=2 {29C7F3FE-F78F-49EC-93C7-B867F9B43174}
LineLoc=seg4=1 {47D4BC47-91D0-47A6-B553-17FE42FFE74F}
50=seg4=1 {9B10EEF3-2434-4162-9BEC-A52463C8539B}
50=seg4=2 {A22B615D-071A-4566-AC5F-8AE4E43C560F}
PosPt=Line.seg4=1 {4F531FB0-BC64-4C77-8948-3F93EFE1B0B7}
PosPt=Line.seg4=2 {E414C88A-9A63-4E0F-8CDB-BA46B1FC84E0}
LoadResp=ConstkVA=1 {16455B6F-A079-4352-A599-0E6DC19C2F93}
LoadResp=ConstZ=1 {9B431400-E53E-4E61-AD81-C214D78ED159}
LoadResp=ConstPQuadQ=1 {1338B936-B650-4B47-92AE-1851F781B8B8}
LoadResp=LinPQuadQ=1 {9865B24A-B676-4D14-9B7B-18F0545D7B8A}
LoadResp=ConstI=1 {37B42D96-A81B-4FE8-ADA1-2682E0BE0267}
LoadResp=ConstQ=1 {79107721-2BD2-4875-BE37-03D612D735EE}
LoadResp=ConstX=1 {598AC616-D9EC-4CE3-9E35-5B3968120B2F}
LoadLoc=load1=1 {240E4D0D-2AFB-467F-B25F-785BF455D0C2}
59=load1=1 {A21D802F-7799-432A-8DF7-43F2D636571D}
PosPt=Load.load1=1 {E1F7099D-36C0-4DF8-85C0-B8F27B86071A}
LoadLoc=load2=1 {ABF0DEAF-CD8E-4468-AEC9-21C3443C6815}
59=load2=1 {E37C4F2F-B6D2-4D73-9EAF-0E0F32CC8A62}
PosPt=Load.load2=1 {42F5CFF7-39C7-486C-8C11-5D031032924B}
LoadLoc=load3=1 {4C6B4AEF-E9B3-4B4D-89E3-A79B6C8CCDBD}
59=load3=1 {E98AE5B2-4234-44FB-B603-966540A349D3}
PosPt=Load.load3=1 {B2836EF5-EFF3-44C6-9B3F-CECDF88132EF}
LoadLoc=load4=1 {D16D3272-21A2-49CD-BA6B-412E794D940D}
59=load4=1 {97834381-8677-4033-9B2D-C98A86ECDD38}
PosPt=Load.load4=1 {6E569E1F-C2D0-47A6-A0D2-FFBE94DEDF84}
LoadLoc=load5=1 {CF9E084C-E51B-4885-94C3-90F93FA667DC}
59=load5=1 {96B02BA8-DFB9-48EF-BA63-29793B2A2471}
PosPt=Load.load5=1 {6FE67756-54B6-4252-8641-A81428D78B5D}
NormAmps=OpLimI_400.0_600.0=1 {1AEA6D51-062A-490F-80E4-C2BD19DB864F}
EmergAmps=OpLimI_400.0_600.0=1 {DD837A37-F383-45DA-9FB9-A9E4CD4C9484}
ECP=Load:default:::::defaultload=0 {83DE434C-5C70-4392-A965-A9207B7DF65D}
ECP=Load:default::fast:::defaultload=0 {5940BBF4-0E40-4E5C-A27D-02FF52D7EF1A}
ECP=Load:default::fast::cvr:defaultload=0 {EE484589-6DF0-4564-9751-6ACBFE111EF5}
