Circuit.ecp_harmonic {20151F59-4331-485A-9F09-F8384A507E12}
Bus.sourcebus {B1411525-8B31-4389-BF16-01CB991D2E0B}
Bus.fdrhead {15AAE19E-2002-441F-B380-FB4BD680E831}
Bus.bess {8D7E3B8B-275C-427A-BCFE-25243E9F257B}
Bus.pv {9F1C02B6-828A-45A1-A990-BDBFF88D7BBD}
Bus.load {D628A27C-D45E-4260-88E1-268B95452A0E}
Bus.gen {A7879FF7-C7F1-4E2B-8638-B8B3C54F34D2}
Vsource.source {14F688F6-9434-4835-BC47-28222B799C7B}
Line.thev {CD1AC14B-E5EF-4687-9A6E-E37BBB8DF817}
Line.seg1 {DE5B20FE-6630-4071-9DBA-360B2449CC5D}
Line.seg2 {E21ADB1E-D6A7-4DB9-9CA2-686805E3E884}
Line.seg3 {322F45E1-615B-44C3-934B-E3FDD0FA216D}
Line.seg4 {C3B1F377-9121-4920-ACB8-B4E3C4EB90AE}
Storage.bess1 {1DBFFD8F-9C6A-488E-87CB-A10D5289FE5F}
Storage.bess2 {93A8E763-9965-4C1D-AB8E-54F417F096EF}
PVSystem.pv1 {4615AADF-9FF3-44F6-BF5B-FF7BF4DB7515}
PVSystem.pv2 {B5F70109-699A-46FB-8BEE-1BDACDBA4706}
Load.load1 {9B2E2294-EA59-4250-9515-9A8FF0ABF711}
Load.load2 {2DCB180C-C422-46B2-8FC4-E454C56B4B60}
Generator.gen1 {7CD45E65-3391-45A3-8AD8-0464BC6740B9}
Generator.gen2 {5CD523F5-BDF5-4BE9-9668-6C904EC21EE3}
Monitor.pv1 {1ECE1C02-AB8C-4077-BE37-E173C0B66AEF}
Monitor.pv2 {000CD99C-17B4-499C-8124-94FACE79A471}
Monitor.bess1 {7EE11EE4-99CB-4342-AB56-0513079E9DAF}
Monitor.bess2 {781E71A7-2657-436B-9916-918DEB8FF13C}
Monitor.load1 {0E18131F-1586-45FF-934B-DE253EFBE702}
Monitor.load2 {548914CE-B1B1-4E85-B81A-23B3CA518E26}
Monitor.gen1 {5596616C-2CDC-41D8-BE98-EDA243C9982E}
Monitor.gen2 {CAE9E4C1-3552-4E2D-A2BC-D2FAB438B1D6}
LineCode.trunk {C7931C06-2279-46F4-B996-6AC2D94A8D8A}
Station=Station=1 {CE208CE4-2A9C-46B4-83F0-CBADA4916A2D}
GeoRgn=GeoRgn=1 {CCD75619-9826-4516-AB1D-4ADA95508135}
SubGeoRgn=SubGeoRgn=1 {0FCDD498-D610-4725-8529-79656D85FB18}
CIMVer=IEC=1 {14E91FF8-9670-42F7-9A85-6A81CFECB74C}
CoordSys=Local=1 {6C768E6C-6FA8-45F5-84D4-FD3DB27FF044}
FdrLoc=ecp_harmonic=1 {A26C208A-0B34-475E-B80F-D86E23A9AA8C}
TopoIsland=Island=1 {9C44C97C-36AE-410F-A008-6DB3671AD989}
OpLimT=NormalAmps=1 {5671F183-2BF7-4E8B-B676-A57D96583616}
OpLimT=EmergencyAmps=1 {A829E441-D1D5-43EF-8383-B803772F8A1C}
OpLimT=AHi=1 {1120C19F-758F-4AF8-8F57-41DCE9DE6AFA}
OpLimT=ALo=1 {182117AA-FEAD-40D3-BEE7-9546712B98BE}
OpLimT=BHi=1 {F3469B80-6BB3-4653-9CEB-B561E7E442A8}
OpLimT=BLo=1 {2211A132-2E3E-4916-BC37-8B61D0EF95C2}
