Circuit.ecp_temperature {6C504EEC-CCFB-4480-B8C6-DED0066E4D8F}
Bus.sourcebus {7590C3E2-F3E3-427C-A8AD-EE03EF44B0D4}
Bus.fdrhead {0EF983EB-AE42-4242-939D-0D0C8F059398}
Bus.bess {E1B532E7-686E-4B9D-A51A-5F6AA2E9D0E6}
Bus.pv {198AEC37-AC54-4C5D-B828-6D48B053B485}
Bus.load {C0B6B2C4-A611-4A9B-B837-7E9DC3F094BD}
Bus.gen {F5984B61-F4D0-4640-A5F7-DC212C817BB1}
Vsource.source {24E3CAFC-41E2-425F-AAA3-AC9D394BB1C8}
Line.thev {809EF21F-FA6D-4899-A798-F49D548CC748}
Line.seg1 {8FCF3347-649F-42AA-AB70-89CEFA053A8E}
Line.seg2 {D4935482-5F64-4206-AF6B-0898231D85C3}
Line.seg3 {E12D1B4E-77E4-4C19-8D9D-90367ABDC30F}
Line.seg4 {8F556B31-0F68-4EB9-AA13-2CB45AC593BC}
PVSystem.pv1 {E853FEF6-4B95-41CB-8A2C-0816134D5D6F}
PVSystem.pv2 {A4E403AC-30F1-476C-9D71-18E1E0E1E5E1}
Monitor.pv1_pq {333DD3A0-A98B-49DD-AB2F-6B8211EFE975}
Monitor.pv1_vi {DF075296-9D25-4A91-ABFA-E635783584A7}
Monitor.pv2_pq {1053B7F9-D521-4B03-8421-8FEE23E68EA7}
Monitor.pv2_vi {C9096F1E-36C1-49A1-BB46-16D78973A12B}
LineCode.trunk {E9DE9259-CAA8-4284-9DB8-7B56A29B0A4D}
Station=Station=1 {362F1FEC-EEA1-4CBA-9474-A32DB7AAC608}
GeoRgn=GeoRgn=1 {D4A9E988-8F92-460A-9B14-4C54F08C0797}
SubGeoRgn=SubGeoRgn=1 {53324B01-ABC5-4AC6-B7E9-741119DEA1FC}
CIMVer=IEC=1 {8C2DDCC4-0FA7-44AA-8DE0-FC76238BFA18}
CoordSys=Local=1 {0C43A7CC-7759-4992-B271-04E3FFE9C515}
FdrLoc=ecp_temperature=1 {510E6D20-924D-401A-A244-5F6D1AFD2DE4}
TopoIsland=Island=1 {AE65D62A-174C-474A-B3AB-98464A4A46F8}
OpLimT=NormalAmps=1 {EACD33AD-2B75-4AC0-819D-777E4B744BB1}
OpLimT=EmergencyAmps=1 {4E84F918-7663-4FCC-8663-BD807A1898F4}
OpLimT=AHi=1 {54637BF0-DECB-4790-BA47-EE4805AFE418}
OpLimT=ALo=1 {2381B3AF-665C-4412-82E3-0546B25D1CE4}
OpLimT=BHi=1 {D4ED9484-D667-494D-ABE9-7E840DD18550}
OpLimT=BLo=1 {41DE5694-C67F-4A2C-BD75-406963F8494C}
BaseV=BaseV_13.2000=1 {FD225C35-7388-441A-8CE5-6E02837AF4B7}
OpLimV=OpLimV_13.2000=1 {CC8D260C-6730-46AC-9495-2BDADEAF0272}
OpLimAHi=BaseV_13.2000=1 {DA2A67F9-82F7-4E2A-9F13-27B74C6ABB6E}
OpLimALo=BaseV_13.2000=1 {E66E35E2-7AD7-4885-8B26-069A4F39DAB7}
OpLimBHi=BaseV_13.2000=1 {F5A449A7-DF42-48B6-A8BC-53ADD2D188B3}
OpLimBLo=BaseV_13.2000=1 {7AD0B482-DEC9-4825-A9E9-46BF0FCCADFD}
Topo=sourcebus=1 {77AE53A1-739F-48C7-854D-FEA2AC5A01CE}
Topo=fdrhead=1 {FB6D0DB4-2BF4-4536-952E-906875A81A1F}
Topo=bess=1 {742E4B01-2B68-4212-9669-90DACA38315F}
Topo=pv=1 {B20590B1-8AD6-463E-A97C-5C1A011B05DD}
Topo=load=1 {0703EBBC-0D0E-4E46-9F6D-17AA5C95F37E}
Topo=gen=1 {F4DB0758-3A65-4ABC-8AB3-08D872ED9975}
PVPanels=pv1=1 {AE9EDF31-309C-4E30-840C-D1924233D7BF}
SolarLoc=pv1=1 {146470E0-E8A3-494E-86A2-D8675FCF103B}
195=pv1=1 {7F1863F2-145B-430A-A7F9-C99D6CCBBFEB}
PosPt=PVSystem.pv1=1 {E76AC632-E38E-4EC0-84C1-F604C6560A49}
PVPanels=pv2=1 {7CAAD731-F35E-4F7F-BD15-C0398EC83DA1}
SolarLoc=pv2=1 {FDB4DCE7-3BB7-46C8-965E-E2E13225DD81}
195=pv2=1 {324ADB15-2597-42C2-BF2C-DF415703EA8B}
PosPt=PVSystem.pv2=1 {B4E8B3A2-0F73-47D6-8599-BB7D80A3E09D}
SrcLoc=source=1 {2680EE1E-E462-4835-8E18-ACCF23076119}
25=source=1 {1D2597F7-2AF0-491B-8526-B11E22D3CB4C}
PosPt=Vsource.source=1 {1FF1F343-5169-40E6-9B26-942F821D873A}
LineLoc=thev=1 {C64B502C-57E8-42E7-95B2-17F7FAA3EF22}
50=thev=1 {4CF6E6E2-B60B-4A45-9215-2F5BC938E430}
OpLimI=OpLimI_400.0_600.0=0 {30F08116-D8DA-44D2-8DCD-F86C08EA046B}
50=thev=2 {AB6D0DCF-7BDD-43E3-AB79-DA78905CB53B}
PosPt=Line.thev=1 {D76E5D05-98CC-428D-A872-9A4A923B763C}
PosPt=Line.thev=2 {BEEF7EC7-3BB4-49D3-8404-E589986E89DC}
LineLoc=seg1=1 {EFA46402-B984-4F15-A07A-BDF98A644D39}
50=seg1=1 {7E26D747-8005-43D6-92D5-E35D69F335E9}
50=seg1=2 {E5673D75-F832-4319-92ED-EDD8AD29437A}
PosPt=Line.seg1=1 {BA2675BA-15E8-4257-8EC0-1CC4CDEB5790}
PosPt=Line.seg1=2 {FCEEB3AE-2118-4A31-A231-332C6543BBB4}
LineLoc=seg2=1 {40B7DEBA-E3A1-489B-820E-9283110D8D34}
50=seg2=1 {0BED2228-FD0C-483F-A928-DBFA8F4FF324}
50=seg2=2 {EC18C181-E192-4978-8A98-870E97A18A5A}
PosPt=Line.seg2=1 {5B06B77C-17CE-42C3-AE7F-8CBA810E9384}
PosPt=Line.seg2=2 {98ED75E2-AB5E-44E3-876C-C95BDA1B5877}
LineLoc=seg3=1 {C37C2185-D39B-42E5-BCB1-7D23C264B069}
50=seg3=1 {8B72A54A-08B6-460D-A155-E11CECA8439F}
50=seg3=2 {AC910768-FC23-4B34-899F-731917E0939A}
PosPt=Line.seg3=1 {88649221-D41E-45A6-A18A-54C2809021D4}
PosPt=Line.seg3=2 {310C3B8B-2EE9-47E4-ACD9-A2E7675B025D}
LineLoc=seg4=1 {1C6EF9F2-A06F-4AF3-BE14-AF8836578B93}
50=seg4=1 {76E820F4-0CE7-424A-AA02-C2A63266F101}
50=seg4=2 {57C6B638-66DC-4161-AA62-FCBE267B77AF}
PosPt=Line.seg4=1 {416010E0-1347-4B00-9DD7-5AE6D9FB65DF}
PosPt=Line.seg4=2 {9490A7B3-5FBD-4CCC-B631-0F40F21543DC}
LoadResp=ConstkVA=1 {F9D838AA-9568-4CCC-9D8C-5EFE5ECC658B}
LoadResp=ConstZ=1 {75A6277F-9824-4392-9B47-652AF8F33D02}
LoadResp=ConstPQuadQ=1 {DDAE7FC9-864A-466A-94C9-C4D5A6A4CAEB}
LoadResp=LinPQuadQ=1 {2DA2C5BD-DCD1-4DBE-9EF9-6745032BC96E}
LoadResp=ConstI=1 {8464B831-F1C9-49CE-8371-1972AA671A8D}
LoadResp=ConstQ=1 {5AC635B4-2F99-4656-9568-6D955B2D7C7A}
LoadResp=ConstX=1 {5AA34480-5B12-492A-B8AD-6A6FABF51AF6}
NormAmps=OpLimI_400.0_600.0=1 {50BC4411-B0DA-410B-9245-AE2DAA3557C1}
EmergAmps=OpLimI_400.0_600.0=1 {5ECD2D17-0633-43B6-B883-CF88066DB7E2}
ECP=PV:MyIrrad::::::=0 {D23430BE-12D8-4B28-BB26-BFC6569C055D}
ECP=PV:MyIrrad:::MyTemp:::=0 {8FA4037C-1EAF-40D6-B8CB-CF59D3A67D0E}
