Circuit.gld_daily {6C3BD8BB-3BEA-4974-BBDE-903681A7ED71}
Bus.sourcebus {FEF07F1B-7A57-4BEB-A3E9-E7809AED6B53}
Bus.fdrhead {C4993AA7-B888-4CD9-B2DB-BC68FC02CF52}
Bus.bess {6F053F93-DA48-4B4F-8AC6-CE1CF149557D}
Bus.pv {E969C883-B93C-459A-857F-D3755172D3E8}
Bus.load {FDB88AA1-4902-4179-801D-02F085907BF2}
Bus.gen {6E2F7F72-9000-4F0A-9F4C-F34703A64476}
Bus.pv1 {C25A3519-478B-490E-A16B-814B74C8DD0C}
Bus.pv2 {FA71B028-2E3F-497A-93D3-48A147C419C4}
Bus.bess1 {E86A3252-AACC-4AFC-81AB-D8CBB9D78689}
Bus.bess2 {9E5412C1-535E-40CD-8E42-5C7F44AE4FEC}
Bus.load1 {A3B25C82-5B87-4B7C-ADC7-AE57DDE447DA}
Bus.load2 {A5E3C045-5E08-46A4-8A48-2D6ED626FB01}
Bus.gen1 {4B9047D2-0258-4C82-AE3C-DCBF8E9A408D}
Bus.gen2 {F0A95F7A-8C03-4E3F-B3BE-32B89A8B20C4}
Vsource.source {0F1AABAB-C203-4E8A-BA4E-55D81E7CB553}
Line.thev {4C45B41D-E06D-4CD9-97F6-F83B36039BF3}
Line.seg1 {A351CF75-4B86-411A-8F35-A5C60B9B0C3B}
Line.seg2 {B22B0F41-538D-47E8-A6A0-74444D60B9E1}
Line.seg3 {369E92E2-D50B-4DB3-9DE1-7C137E3E9234}
Line.seg4 {49969164-DE03-4358-81B8-E64E13F164E7}
Line.pv1 {0D747341-FA8A-47F7-8A40-F735B05F0CEA}
Line.pv2 {E766FADF-8299-4032-99E9-1460B043BF7C}
Line.bess1 {F5A1E94E-5E12-4FBE-BF5A-8E5746BDC81B}
Line.bess2 {CCD4FD4B-03DF-4EB7-96C7-8EA7B2FC52C2}
Line.load1 {5AD9E14D-B821-4D24-83A7-0F9F295F2473}
Line.load2 {2CF2BBA7-751A-4C4F-9C7A-0E6B9E4115B3}
Line.gen1 {E629F8C8-781A-466A-9BF4-1E77B11FD3AE}
Line.gen2 {6B224B76-ED36-43D5-B992-3E5F5A1FC806}
Storage.bess1 {7187B26D-AD95-476C-B68D-B99D59EC323F}
Storage.bess2 {E6EB6EF1-0A9F-482A-828E-07F13A227842}
PVSystem.pv1 {DB66E2CB-5F8E-47BF-B5AE-FEA01359CC4D}
PVSystem.pv2 {1B116776-507E-41B6-85B7-F5BDB06B309F}
Load.load1 {3904A3E4-20A0-4172-AF87-64FC65D0889C}
Load.load2 {4044BA97-D1FA-4E64-BFD8-4E115FCD2E23}
Generator.gen1 {E807719F-8244-4906-9C9D-810C083194B0}
Generator.gen2 {34302043-0331-4D64-985B-F889058DE590}
Monitor.bess1 {FB07797C-2F0B-4E39-A89C-B7EC48CBE53F}
Monitor.bess2 {FECCE4B5-A2DF-412E-BDDC-A069D7F3F799}
Monitor.bess1s {10019B0C-1509-4C94-914D-F5F25C6468D4}
Monitor.bess2s {2CED8BA8-389F-48AC-A38A-8F046B57C123}
Monitor.pv1 {2FBB19BC-E1E2-46E5-A53A-3A0DDAFBBC01}
Monitor.pv2 {BEED11CE-AEED-47A9-9865-CA8910F5FB67}
Monitor.load1 {A886F5C2-6455-4C4E-8318-523E9290DD71}
Monitor.load2 {E6E6E480-C667-4274-B567-4D804C1FC8B1}
Monitor.gen1 {72A75048-C40F-456C-A5FE-DF98C933C37A}
Monitor.gen2 {60DFE3B1-DAE7-43DD-A339-D9189BEB5E0A}
