Circuit.tso_dso {1F81391A-E6DA-4119-8291-643ABC569144}
Bus.bus {E8CCB908-F888-426B-81D8-265D1A1EC14F}
Vsource.source {DB30EA94-66AC-4ED1-A5D6-1558497E6A33}
Load.load_a_const_p {472696BC-5D5E-4076-A88F-13AB86C390DD}
Load.load_b_const_z {3C54C00D-317D-4D9C-82EE-C57C341EFFF8}
Load.load_c_const_i {72CEDE04-9C6B-4FF4-B299-3997DFE6D5E4}
Station=Station=1 {5E6ACB00-9C68-425C-B755-EC376CB642AF}
GeoRgn=GeoRgn=1 {2B7B8CC1-C988-43AE-8E03-C5C0511ABB5B}
SubGeoRgn=SubGeoRgn=1 {34A39C28-122F-4F50-AF66-2BF1827E33EE}
CIMVer=IEC=1 {03F93BAA-87AD-4D8C-A02F-6B24EAD4404C}
CoordSys=Local=1 {29AA0F13-FBF4-421A-B3B7-8E3CE0B408EE}
FdrLoc=tso_dso=1 {D9C3B87B-4228-4D5E-86FF-9B1C48287B81}
TopoIsland=Island=1 {72624300-8F60-4A11-895E-017661473DD5}
OpLimT=NormalAmps=1 {9BD623F1-FCD5-48FD-B535-946FF186240B}
OpLimT=EmergencyAmps=1 {33AAC8F6-6528-4612-8431-B0BC37365A8D}
OpLimT=AHi=1 {D1DE0DB6-A061-4269-AEA9-88AE7340B36F}
OpLimT=ALo=1 {C3F7F2D0-7438-4EF9-80F4-043551C32838}
OpLimT=BHi=1 {2939F572-09DE-4474-AE15-E7EFD63AA138}
OpLimT=BLo=1 {5C8818E8-FF52-4BC6-8164-902D8DDAC8AD}
BaseV=BaseV_4.1600=1 {BDB97DAD-B924-4D14-9A29-49A34FD9BE5F}
OpLimV=OpLimV_4.1600=1 {41B4E469-1360-4155-8DF2-86CB55F61DC9}
OpLimAHi=BaseV_4.1600=1 {FE3EF58C-2A85-461A-B78B-D18BA579F501}
OpLimALo=BaseV_4.1600=1 {4391C3BA-F043-40A0-9706-7234FB0182C8}
OpLimBHi=BaseV_4.1600=1 {CEC97D94-5A05-462E-9F8A-B535B90BDE0C}
OpLimBLo=BaseV_4.1600=1 {8E3D7211-00E4-430B-AD7B-55FA1F121930}
Topo=bus=1 {1F2C2F98-E46D-4244-B366-8DE8C65A7B7C}
SrcLoc=source=1 {B2C196A1-285B-40C5-A2CF-A5B85455AC4E}
25=source=1 {B2EC115C-B4CD-4939-B903-E25F19FC3D6B}
PosPt=Vsource.source=1 {3D27272F-AA76-4556-AC85-5BD808D3EB1C}
LoadResp=ConstkVA=1 {FB340B32-ED6C-4F3D-B903-13565C1AF0F2}
LoadResp=ConstZ=1 {2AFB466B-753C-4435-AEEE-86F7FFC20BD6}
LoadResp=ConstPQuadQ=1 {4A77D3CF-16DF-49FC-9DFA-65897302581F}
LoadResp=LinPQuadQ=1 {B4D28F20-2460-47CC-A259-612642B1DF52}
LoadResp=ConstI=1 {EEC11272-D5F9-418C-B26A-83E997729BCD}
LoadResp=ConstQ=1 {F1E84FB7-E4CF-46F7-83CA-B81FD70EC0F4}
LoadResp=ConstX=1 {CB400AF8-5CFD-4D0A-890C-8447D5B3B049}
LoadLoc=load_a_const_p=1 {9E571C36-7688-4066-9650-BB13FC0D22B0}
LoadPhase=load_a_const_p_A=1 {B6F8F44A-4BA0-4C4E-BBAD-12DD3276D7F3}
59=load_a_const_p=1 {2B1B399F-170E-4B14-A634-79E8585D8F87}
PosPt=Load.load_a_const_p=1 {0370B732-5AD8-4E53-BF6E-05879935A9BB}
LoadLoc=load_b_const_z=1 {1FF3BFE2-CEB2-4397-9828-9626725F3789}
LoadPhase=load_b_const_z_B=1 {6C46FEB3-1B43-4C62-8373-231CF2EBCD5B}
59=load_b_const_z=1 {C2E298B7-1FAF-4DCA-A593-F184873DB761}
PosPt=Load.load_b_const_z=1 {8CAEB96D-92E2-4206-8650-558535FBE21C}
LoadLoc=load_c_const_i=1 {9454F5B8-BB35-40BA-9C87-F46729729DA7}
LoadPhase=load_c_const_i_C=1 {7D3D0ACD-4EB5-4BEB-85A5-A1A22CAFDD26}
59=load_c_const_i=1 {B3BC1E65-2800-4F45-8D8C-D9D91C01849C}
PosPt=Load.load_c_const_i=1 {93328AFE-3404-43EF-B30F-5991FFBDEA11}
