Circuit.autocodehlt {F57CC851-A475-40B8-8964-016013406E51}
Bus.sourcebus {E5A611FE-FC3A-48F9-8CDD-C2B9B1831EC4}
Bus.high {527485F1-7AEE-4379-95B6-5FB548BCF20C}
Bus.low {CAC09764-279D-42FE-9D7C-AC53160837A1}
Bus.tert {5319F911-82EC-45D5-80C2-F28088893ECC}
Vsource.source {B62CBC62-8F98-41DA-AAE9-6E4D4EDA8658}
Line.line1 {10CD0536-EF94-471D-843C-9A33BF0B3E15}
Transformer.t1 {B158D6F7-4C18-4440-9B6A-0E6540C6B615}
Load.test {1088AE99-1496-40E4-AE5F-0B6D49273BB5}
XfmrCode.auto {AB8AADA2-4061-4D91-A1C0-14444099F6AB}
Station=Station=1 {873FA80E-E2C5-44E9-BC4C-9F42B98FB118}
GeoRgn=GeoRgn=1 {46DCD701-F013-4A5F-828F-B6DCDBE4EFA6}
SubGeoRgn=SubGeoRgn=1 {9CF413AF-FD8F-4627-84FC-3FB565EBEC32}
CIMVer=IEC=1 {0B20828E-7DF9-478F-A346-1B5BE617ED42}
CoordSys=Local=1 {45074EEF-11F9-4689-834A-6E7360F10E2F}
FdrLoc=autocodehlt=1 {B49AB9A0-D670-4ABD-AAD9-D27502860770}
TopoIsland=Island=1 {B158B3D8-5A73-4815-A9AA-C3E27AED54A4}
OpLimT=NormalAmps=1 {8D163BCA-C7CD-44B9-8686-DA053CFB0DDD}
OpLimT=EmergencyAmps=1 {CBA47704-35E5-4E3B-BF02-13611F1D8116}
OpLimT=AHi=1 {6D2C1006-4B2F-42BE-A9E0-7FE2760F615C}
OpLimT=ALo=1 {5A3A657B-AAF5-433D-B967-10A127E43389}
OpLimT=BHi=1 {9C9180E5-76F0-44FF-9B8E-B75F6A8613EB}
OpLimT=BLo=1 {C3A1DEFE-4C95-4767-A02C-004433CF66C9}
BaseV=BaseV_345.0000=1 {41217604-3336-4E36-8E76-F90B4EAA7647}
OpLimV=OpLimV_345.0000=1 {9AE04D17-D697-4F09-88F6-9EBE31951E06}
OpLimAHi=BaseV_345.0000=1 {8B8FD697-D624-4E44-BA90-735A61957C2F}
OpLimALo=BaseV_345.0000=1 {D55B43D0-2B92-4A9B-957C-A130525C181E}
