Circuit.ddbal {D9A6F0E3-DD90-46AD-9CB1-7EDF15C41F9F}
Bus.sourcebus {5DB83B73-877F-457C-8FAA-CB8C7C946EFB}
Bus.n2 {CA662632-C913-4A8D-BFD6-962F955BFD82}
Bus.n3 {90F96609-3E92-419C-80D8-34D1D11113B7}
Bus.n4 {0F05BA20-E6FE-4169-B13E-58A0B62E2492}
Vsource.source {3FE63D4C-1E9C-49D5-9623-0BCB2DC5E2E2}
Line.line1 {128C69C6-E92B-4587-99F7-AEC47FF25D9B}
Transformer.t1 {65EB4CE0-B6FB-4D66-BFDD-BCA07615A25D}
Line.line2 {04C01B80-730B-4D05-9996-C788E5C3BAE5}
Load.load1 {1084D51F-B533-4EE0-8121-3E66CEA79AFB}
WireData.conductor {2F70A45B-A590-4CA8-88E2-99157B2CA4B4}
WireData.neutral {DFF0A118-4F8A-4E55-82E9-17965C900A19}
LineGeometry.4wire {241D3CA7-969B-4EB5-A499-7A2205901ED8}
LineGeometry.3wire {3053349A-AB6D-4B11-BCBD-FEFDE9B37877}
Station=Station=1 {00AB7B08-58EB-4DC3-BA77-C5AB397509CD}
GeoRgn=GeoRgn=1 {F854B3A9-D63A-4503-A196-C0110152B1BE}
SubGeoRgn=SubGeoRgn=1 {BA262C38-2211-44F0-8B30-259F35B39ED3}
CIMVer=IEC=1 {FA6B7040-F2AB-45D7-96D9-CAF17A6E81CF}
CoordSys=Local=1 {3075CAE0-E72C-44A3-A75C-CB01FAFC89E9}
FdrLoc=ddbal=1 {855A40EB-183E-4B6B-A94B-FB27ADD71792}
TopoIsland=Island=1 {00E41C55-45DE-4B9F-A042-89A86B96E152}
OpLimT=NormalAmps=1 {C6ABC345-47C4-41EC-8D68-CD0FC5DD9D24}
OpLimT=EmergencyAmps=1 {E134289E-729F-4329-BD1D-7AEB4D584C6F}
OpLimT=AHi=1 {466E2737-240A-4A22-ADF0-650E89AD725E}
OpLimT=ALo=1 {520E3657-1C6B-4C7F-B9D7-F33CD5E4D0B8}
OpLimT=BHi=1 {4F8FA2EF-BF45-46B5-A014-26E16A8E5AF4}
OpLimT=BLo=1 {9098057C-B6EB-42D6-8256-489B2B4DFD29}
BaseV=BaseV_12.4700=1 {17D591D4-EC0C-433F-9579-56645B61C201}
OpLimV=OpLimV_12.4700=1 {EA1B8377-F453-48AC-9D2B-0E7000C76A35}
OpLimAHi=BaseV_12.4700=1 {BB13BCAE-4DB7-42A5-9153-79807D35146B}
OpLimALo=BaseV_12.4700=1 {5A0FF2B0-D192-4AC4-A3A4-807604F14D86}
OpLimBHi=BaseV_12.4700=1 {12B9BC74-133F-4CE4-9B20-AAA0736CECBA}
OpLimBLo=BaseV_12.4700=1 {ED2EA17C-C954-479E-A0A4-C03F9762322E}
