Circuit.ddbal {9DAB9DF4-60B3-42A5-A24F-958A2D2E3B0E}
Bus.sourcebus {4854B324-625D-45C8-A20D-13222A127A68}
Bus.n2 {A0B4CCE0-95D5-4D7C-B375-929882E1AC91}
Bus.n3 {45FC8FC7-3F99-4A4D-A9C6-D9EC16FC9421}
Bus.n4 {83428362-C845-49B0-B912-52CA66EFB32B}
Vsource.source {532E4794-9382-45F1-9A15-95AAF0C294E1}
Line.line1 {F9E4FCDB-4698-4EBA-BC65-CAFB323626AD}
Transformer.t1 {12CA82A3-91A0-44AF-AAC2-CEC2140C63DB}
Line.line2 {2A41473E-AEF4-4207-B4A2-A5487FB566EE}
Load.load1a {96A0AC47-DC7B-4700-B4FB-D8DDEC8552FE}
Load.load1b {1EE48FF1-7FB3-44A4-9946-E9E81A08D839}
Load.load1c {68F28FB9-4BA4-44C2-809D-0557A11E3BF9}
WireData.conductor {AA46F6D4-7B30-41E5-A97F-2585F38E9A6C}
WireData.neutral {9823E09F-CC57-4D1F-9F16-FC88F66D1069}
LineGeometry.4wire {04614747-B036-468C-AB03-411575E89E58}
LineGeometry.3wire {E1CF5C47-BDAA-41E1-8090-CA8429C8604F}
Station=Station=1 {34589976-5CC1-404E-B803-5873653D8C7B}
GeoRgn=GeoRgn=1 {B1B52553-5D9D-4B20-97DF-E688DB2EDD87}
SubGeoRgn=SubGeoRgn=1 {F61C8EF9-042A-4FF5-B439-D900C07AC715}
CIMVer=IEC=1 {1515D859-BE86-4045-BFE2-CA85989114DC}
CoordSys=Local=1 {AE50A5B2-9E52-4B99-924E-D6FBFD1EB7CC}
FdrLoc=ddbal=1 {792C644E-658D-41CD-827E-9E5F6AF122DF}
TopoIsland=Island=1 {7DC301C5-59E9-4296-A5A0-023B12875AFB}
OpLimT=NormalAmps=1 {17F26100-49FE-4FB5-AA8C-8005AE67A68D}
OpLimT=EmergencyAmps=1 {1E373D82-7FB1-4014-983A-5B975F32D807}
OpLimT=AHi=1 {DDBD4935-1A4B-44EC-91D1-CCF4633BE2AF}
OpLimT=ALo=1 {56DA5ED1-781A-40E9-B938-BEB507D69EBA}
OpLimT=BHi=1 {7207A9E1-7819-44C8-B5C3-C0F90A6F3948}
OpLimT=BLo=1 {4A8D6C75-1FCF-4355-AC14-8C318031BD36}
BaseV=BaseV_12.4700=1 {8850CD5D-720C-4993-B99F-6C44523D0505}
OpLimV=OpLimV_12.4700=1 {B8153F4D-AA67-4CE0-B115-E044B2B155AC}
OpLimAHi=BaseV_12.4700=1 {F71F1429-DB4A-4B51-AFB9-02415FE15C86}
OpLimALo=BaseV_12.4700=1 {99E853A6-66B5-449C-B78F-A3BA7ADBEE7D}
OpLimBHi=BaseV_12.4700=1 {952A4ABA-7AE9-45CA-9765-68B937CAC704}
OpLimBLo=BaseV_12.4700=1 {32EC1B6F-8CF7-404C-9777-C858BC40BB11}
BaseV=BaseV_4.1600=1 {AD6BBF1F-9C71-4850-8E30-C0E88FD87BAB}
OpLimV=OpLimV_4.1600=1 {65435E8D-BB4C-4BBA-9B4F-E491257B64CF}
OpLimAHi=BaseV_4.1600=1 {EB5B9404-958D-47CD-A6C1-BEDA0A0EFCA1}
OpLimALo=BaseV_4.1600=1 {AC3F355B-52BE-4955-BEA1-BCBC1731DB15}
OpLimBHi=BaseV_4.1600=1 {4235631C-2F35-4A1C-8C4F-C197BB6285D2}
OpLimBLo=BaseV_4.1600=1 {1E65C95E-F28E-425D-A152-3DBAC3FC96C1}
Topo=sourcebus=1 {54B32966-3FE3-437C-9976-DED1A4864038}
Topo=n2=1 {B50CE99D-2254-4AED-8D53-8619C14322CD}
Topo=n3=1 {C06EEFFD-0438-454A-81C4-7C539A92AC2E}
Topo=n4=1 {A4CD8134-4371-4D16-A8B7-F5A4B4EC0019}
SrcLoc=source=1 {9BFEDD9E-4676-4C5E-8089-8948CA077A0D}
25=source=1 {D8F631EF-A8BB-4CA3-9C77-B1FE1413F500}
PosPt=Vsource.source=1 {D6053F3B-5E0A-4FF1-9389-5F3C1BFBFED7}
Bank==t1=0 {B903D312-409F-48C9-82D4-1417025B4172}
XfLoc=t1=1 {61C27D45-C3DF-44D5-A5F5-0271CCBDD85A}
PosPt=Transformer.t1=1 {ABAA12FA-75B4-4ADC-BEB2-C13F4286AB5D}
PosPt=Transformer.t1=2 {332DF68A-10E2-4A8E-A732-4148F7CB9B12}
Wdg=t1=1 {6C1D3EB7-ECCA-4D71-8AFB-3D176ACA1DB1}
Wdg=t1=2 {61C6BFF8-9EC8-4666-8D86-987EC1B3D66C}
XfCore=t1=1 {A0CDEBA3-243E-4C2C-A2A3-F4CD95327070}
XfMesh=t1=1 {48CD6E29-341E-416E-8843-C9DAB9491426}
XfMesh=t1=2 {DEE9009D-F37C-4A31-A48A-3DB57D5DD44F}
XfMesh=t1=3 {EDDDF34A-7973-495D-87A8-187D2DDC98F8}
34=t1=1 {F2531DA9-8EF1-47E0-B2E4-C1998BABD6DB}
OpLimI=OpLimI_305.6_416.7=0 {9BC6A3E6-6903-4AC5-9C9D-F88528A17FE2}
34=t1=2 {465175CA-5659-4F0A-8EDE-01E7DECA716C}
LineLoc=line1=1 {33E6C571-0E1B-4742-938A-C4E71827E5BA}
LinePhase=line1_A=1 {7EF558D4-5B41-483C-ACA3-C791A6A88607}
LinePhase=line1_B=1 {63DD25B4-C79B-46EB-BE6A-968CAB622EB1}
LinePhase=line1_C=1 {A3A05808-D46D-415F-8D7C-F4AAD12127BE}
50=line1=1 {27AB02AF-7D8D-462E-9315-65CE88D28A27}
50=line1=2 {CF1F2377-FD82-4C5D-8119-F2870BD485D4}
PosPt=Line.line1=1 {D12CD19E-4A94-4846-9E05-FAFC4F59333B}
PosPt=Line.line1=2 {2D780725-ABC8-4720-9490-951303AB93D6}
LineLoc=line2=1 {3402E2AB-0129-4186-9EDF-245C6E5A779D}
LinePhase=line2_A=1 {5228FEE4-2414-4ADD-8EE2-8CDB57B46D71}
LinePhase=line2_B=1 {4D825E4E-53D3-4668-B392-AC5C90A75B90}
LinePhase=line2_C=1 {0CE4CD21-E562-44DA-B7FA-75D53F18D30E}
50=line2=1 {6653D78E-28E0-444C-92A4-35A9BC80E41A}
50=line2=2 {4A14D22C-866A-46C1-8799-E744032D80DB}
PosPt=Line.line2=1 {22A1427D-E486-43AC-ABD7-0156856D60E3}
PosPt=Line.line2=2 {FDFCA822-33DD-4D01-B808-8F91068DB9CF}
