Circuit.dybal {764ED62E-142A-4906-BE17-1F9BD5856B93}
Bus.sourcebus {3DD8E26B-C373-46B6-AA73-022F9D663DE3}
Bus.n2 {C352A548-952B-4422-B535-CEBF88CAF873}
Bus.n3 {9CDE96A0-21EC-4CF4-90E6-EF89D60A7727}
Bus.n4 {9E41E48C-EE72-4C4D-867E-4146CCC9B2FE}
Vsource.source {EA85DD56-7BEF-4A52-9985-0FD0187ABA8C}
Line.line1 {CF4F499C-CF91-4BBF-B983-2F213F531AE8}
Transformer.t1 {77C764A7-F27A-4F83-BAC1-BF22793B8066}
Line.line2 {C5209A72-95E8-4D9B-AB18-A82E6899DC6E}
Load.load1a {42C78567-D3CD-4CA8-98FC-86187A04F721}
Load.load1b {9E4A70DE-0195-4F5A-BBA1-073EAF1518C4}
Load.load1c {8C5E8C60-6368-4A10-A398-186AA3312C38}
WireData.conductor {C7CCC801-E2F8-45C5-81EB-8E8E4B105551}
WireData.neutral {9DE17D38-8D75-4B1A-A2DB-B1EA462FCDD5}
LineGeometry.4wire {419918A0-378D-4952-BADD-B6AEDD36B3C1}
LineGeometry.3wire {4CC84DBB-A27C-424A-86F2-2B0AC70275CF}
Station=Station=1 {96F7B3DD-12B5-4DCF-ADE6-7DADADE518DA}
GeoRgn=GeoRgn=1 {D9C07B93-849B-43AC-B064-BDE9B1086CA2}
SubGeoRgn=SubGeoRgn=1 {2EB1B04B-B849-4AA6-98D7-30A00D15DFD9}
CIMVer=IEC=1 {705BE46E-3470-4E7F-B01B-2431C53001DC}
CoordSys=Local=1 {27B5F5A0-A0CF-46C2-A778-985DCDBF3676}
FdrLoc=dybal=1 {A348275C-A390-4B92-84D4-17E874EB5B42}
TopoIsland=Island=1 {D66BFD69-2069-4BB3-8CAD-AB51FD145FB8}
OpLimT=NormalAmps=1 {000D4553-8BAB-4DB4-8C5C-CE252E3A1F9F}
OpLimT=EmergencyAmps=1 {C2D31DD6-D99E-4471-B8D1-3B44F347BD2E}
OpLimT=AHi=1 {4D2C1AAA-D40F-40CD-8096-99DFF13CB889}
OpLimT=ALo=1 {94219863-DFDA-4F06-B497-E29088C1B213}
OpLimT=BHi=1 {24822A75-A710-4E6B-9D36-302DE5A9DCA4}
OpLimT=BLo=1 {37F4F559-AAED-4A01-9F58-2A3E9D462A12}
BaseV=BaseV_12.4700=1 {10D6C43F-2493-4DA2-A02C-A44DE1FE7082}
OpLimV=OpLimV_12.4700=1 {044EE5AD-7794-40BD-9025-6B84F21EED8C}
OpLimAHi=BaseV_12.4700=1 {6074AD7D-B348-4F01-AB12-4A4CC8FA2F8C}
OpLimALo=BaseV_12.4700=1 {C85809A4-2506-4826-A539-7E67D3CBF22E}
OpLimBHi=BaseV_12.4700=1 {8CA85C7B-51D0-48CA-89A5-4E88BC00F3AF}
OpLimBLo=BaseV_12.4700=1 {A66FA6C4-FC54-44FF-970B-F63E5D5C367E}
BaseV=BaseV_4.1600=1 {EA7C641F-8FD1-4575-9DE8-8581F1056B7B}
OpLimV=OpLimV_4.1600=1 {8A8F1D78-AF21-4D7E-8A69-11F0680D77D3}
OpLimAHi=BaseV_4.1600=1 {E5C8D9AE-D5D2-4C6B-995C-5ED21EC7C159}
OpLimALo=BaseV_4.1600=1 {51CC3D1B-EE43-41A5-A4CB-1BD4D53FEE12}
OpLimBHi=BaseV_4.1600=1 {5ECB696D-308F-43B6-8962-23A693CE669D}
OpLimBLo=BaseV_4.1600=1 {C91CBE5E-5510-4F7A-A680-DB56F8D2CBF6}
Topo=sourcebus=1 {775C5798-FBA0-41B8-9871-FF60D20EBB43}
Topo=n2=1 {A1A7B631-1E14-4F90-8FC5-962CBF53F01A}
Topo=n3=1 {53C31922-CF53-42AA-8DEB-84B2C1681E84}
Topo=n4=1 {485DB2AD-BC27-4A8D-9A4C-C166C924F666}
SrcLoc=source=1 {7E17553B-C6C7-448B-A366-ECEB17F7B510}
25=source=1 {94860648-8586-4CA8-8D9A-1BB96A5326C8}
PosPt=Vsource.source=1 {13214D78-36C9-49DE-A913-5370B2FF26BF}
Bank==t1=0 {6071351C-287C-4F6E-8251-698EF0AA339C}
XfLoc=t1=1 {7C1F628A-D369-4F2B-9335-5AA24EBCA366}
PosPt=Transformer.t1=1 {F13F0AA5-1B07-482F-BFD9-B7D50A0610FD}
PosPt=Transformer.t1=2 {29028E30-8B24-4AC5-A216-137D460FE1DB}
Wdg=t1=1 {D2A0B1CE-58E1-4568-90F5-0961B3F5FA7C}
Wdg=t1=2 {B6CA68FF-E29F-4815-B3EC-BBB3BF1305AD}
XfCore=t1=1 {AA18B805-39B6-48CC-9DE0-0B51EDD086A8}
XfMesh=t1=1 {9F7CC68E-02BC-42A7-A577-C3F8876275FF}
XfMesh=t1=2 {CB5D436D-9AAC-45D8-9DC4-97C340DDBDB5}
XfMesh=t1=3 {F399D211-6360-45CF-AE2E-A8FE7F0A80F7}
34=t1=1 {176AC169-F576-453A-AAA4-07533DD45F31}
OpLimI=OpLimI_305.6_416.7=0 {31488287-2D3A-4C75-B8C6-9854701373D7}
34=t1=2 {9D505F6D-4D90-4366-97F2-F79B25DC3207}
LineLoc=line1=1 {E6720C18-A921-4BEC-8795-15C9687F4A6B}
LinePhase=line1_A=1 {A4810D18-0F81-4DCA-825C-D58C9436952D}
LinePhase=line1_B=1 {ADBB9BFE-91A3-4FCF-B01B-0C9CF33369E2}
LinePhase=line1_C=1 {EBE3D786-5BA1-47BF-89C4-BFAD0483E791}
50=line1=1 {084503DB-BB4E-44E3-B90A-51A3DFE3EE3E}
50=line1=2 {8799B635-5455-4BCC-8330-C7B1AC2BEDEC}
PosPt=Line.line1=1 {0A988F67-DD18-4847-A1D9-E1084742E25E}
PosPt=Line.line1=2 {68E1035E-1C31-4738-B285-5F1088143952}
LineLoc=line2=1 {24466644-709D-448A-8BE8-452D893D043D}
LinePhase=line2_A=1 {A6D16EEE-70C8-4339-81AE-AB90A43A398B}
LinePhase=line2_B=1 {E4B86C21-A281-4855-86C3-0A84AA1CD93D}
LinePhase=line2_C=1 {47C19D80-799A-4F94-8386-97E9FB302C0F}
LinePhase=line2_N=1 {EC8AEF99-08AE-4FB6-B2B6-836A35C2F4F8}
50=line2=1 {BB98564E-4546-4C6B-B723-428092FF71E2}
50=line2=2 {026BE35D-A27D-46CD-A340-1AB4B8C191C9}
PosPt=Line.line2=1 {3FA2DC91-6707-480C-9B8F-DEB3A08EE0DC}
PosPt=Line.line2=2 {B6299433-6342-4BB1-8948-AAD0A2C2FA16}
LoadResp=ConstkVA=1 {FD011ACA-D8FE-42AB-BABD-2D4636DBC94E}
LoadResp=ConstZ=1 {EACC2E28-5B7E-48A9-AF2A-EC8663E628A7}
LoadResp=ConstPQuadQ=1 {01B89F84-BBC2-4837-8636-F7D173C2E42D}
LoadResp=LinPQuadQ=1 {1ECAD253-D67F-4988-9DEB-03B91E1A322A}
LoadResp=ConstI=1 {F36665C5-920F-4211-A3B4-0E6CA8BF272B}
LoadResp=ConstQ=1 {3399FB26-9CC4-4BF5-BA46-63772D5634B1}
LoadResp=ConstX=1 {2F8A8A6E-283D-404C-8EA7-F7BDADCC5B64}
LoadLoc=load1a=1 {322A38CC-4BD8-4D76-810D-65A5524C030D}
LoadPhase=load1a_A=1 {15FFAEA6-734F-46E0-960B-C5CB02DCB630}
59=load1a=1 {E2FC2AFA-030F-44EB-ABA6-0A010AC8CAC8}
PosPt=Load.load1a=1 {43761588-022B-459C-BE2B-CD0CF8BD2C23}
LoadLoc=load1b=1 {41C642AF-173A-4A06-9D3E-EDE314987D5C}
LoadPhase=load1b_B=1 {4F05B698-9201-494E-A222-A21763914FCA}
59=load1b=1 {68F1FAC7-5D17-46A5-BC4D-4FC7F6294A41}
PosPt=Load.load1b=1 {AC751EF8-9190-48DC-B28E-948295BC1535}
LoadLoc=load1c=1 {53840FA0-3127-489B-ADAB-E973A675E216}
LoadPhase=load1c_C=1 {A98DC8D0-85EB-4FAE-A001-25FD78FC9FA6}
59=load1c=1 {5FBE71F4-2965-4BD3-BF3A-1659CE8E8554}
PosPt=Load.load1c=1 {7AA11C67-56FC-474C-B992-BEB2D1F8ECF9}
WirePos=WP_4wire_1=1 {180DB692-CF53-4576-ABB8-5BBB72242DAF}
WirePos=WP_4wire_2=1 {6C68ABC7-A6FB-431C-8EA2-A830EF2B46DE}
WirePos=WP_4wire_3=1 {EC46404A-F6DE-4A20-9370-825CD58468C6}
WirePos=WP_4wire_4=1 {0B03DAC2-00F6-4192-B2EC-1EDEC2226FEE}
WirePos=WP_3wire_1=1 {0A9FA93B-D9EF-4AB1-8A77-8F80389D6C90}
WirePos=WP_3wire_2=1 {F9581D97-0FDB-45E2-AB78-973C8AAF9BBD}
WirePos=WP_3wire_3=1 {726445E2-95C6-4D35-B8F7-A0937455343B}
NormAmps=OpLimI_305.6_416.7=1 {38936ECF-A23B-4F48-82B7-1038FF82D8F0}
EmergAmps=OpLimI_305.6_416.7=1 {2C89AA2B-9DC8-4801-9349-39E0D47E1A6B}
