Circuit.gydbal {275E77E2-F477-414B-969D-F596DADC1A7A}
Bus.sourcebus {303EFBE5-B8C7-4964-84F0-5A9B30F4578F}
Bus.n2 {DB44E761-C0A1-447D-A4A1-CC61480D5D54}
Bus.n3 {D3CDD1C3-9984-4B1F-B179-4DCF598B60EB}
Bus.n4 {614C844D-56F5-4471-A358-48D2052EB1A2}
Vsource.source {8B7998D7-FEBF-4FEA-BC71-FAD9FB7AF94D}
Line.line1 {AE0CFBE8-1BD2-41C8-90D0-86E917633BE1}
Transformer.t1 {59DEF63A-615D-4EDB-9296-F09F37DC1476}
Line.line2 {6BA5D690-3561-410E-808D-807E81C3ED5E}
Load.load1a {968DAA27-CEE9-4B22-91DD-648F9C91E635}
Load.load1b {C763B0B8-4687-4DFA-850B-D766D95A5B71}
Load.load1c {891C0BBA-793C-4342-9A71-CD81C05C7622}
WireData.conductor {973C755C-8881-44A2-A49C-B0893B80619A}
WireData.neutral {9B0094AC-4B04-44AD-90CE-CC715C831255}
LineGeometry.4wire {23FFA063-35E3-451F-A516-A18049ECF3CA}
LineGeometry.3wire {AEB6DBA7-A80D-461D-83C0-6D82FCD93657}
Station=Station=1 {9955462C-0E75-4AEF-96B6-37D1221D28ED}
GeoRgn=GeoRgn=1 {B96FE8CB-23CC-4233-92F3-7E5617C00A49}
SubGeoRgn=SubGeoRgn=1 {A32A8C9F-8915-4603-BCDA-EF2096749E6C}
CIMVer=IEC=1 {B32AF7C8-3658-4BFD-94D9-6321DFF6024D}
CoordSys=Local=1 {07344A02-13A4-44DC-BCB5-1C6096113BE5}
FdrLoc=gydbal=1 {56F257B7-B96D-4C29-843D-EE24F1A5A7FB}
TopoIsland=Island=1 {21814A08-95E9-4FDF-BD80-C7B1FAE989E1}
OpLimT=NormalAmps=1 {3570C39C-609E-4ACB-9C8E-0CD36338119F}
OpLimT=EmergencyAmps=1 {B0192D4E-6A7E-4788-8BFF-44B02AA80A37}
OpLimT=AHi=1 {694C76BF-D902-4B56-AAD9-A82C1A198AA9}
OpLimT=ALo=1 {2D5F648B-E1B8-465E-9E0E-CBB4DCF7A6B4}
OpLimT=BHi=1 {736C2B26-9A9E-4C42-B159-28C2AEFFEA2A}
OpLimT=BLo=1 {562CF12E-36B7-4DB1-B344-00E470F6C6DE}
BaseV=BaseV_12.4700=1 {EBAB9D51-8445-48A4-A16E-8141980F6316}
OpLimV=OpLimV_12.4700=1 {62D890E0-C5E7-428B-9F0F-1B4DA2F11B8D}
OpLimAHi=BaseV_12.4700=1 {BC9E5273-6E82-445A-BBEB-9E49E16C0043}
OpLimALo=BaseV_12.4700=1 {01D4225C-0290-47AE-86E6-1341B95210BE}
OpLimBHi=BaseV_12.4700=1 {9F1C339A-6FDB-4EC9-AFEB-61C8E6F59ECE}
OpLimBLo=BaseV_12.4700=1 {032503C1-5C0A-4AFB-BB60-2C1CAE01E2D7}
BaseV=BaseV_4.1600=1 {99C78CE4-718C-4D38-80C3-F65376033FBC}
OpLimV=OpLimV_4.1600=1 {D620BF3C-C306-4C0F-BD79-02F5CA741366}
OpLimAHi=BaseV_4.1600=1 {50F3858A-8179-4ADC-A8F1-4CFDDE27A065}
OpLimALo=BaseV_4.1600=1 {699985FA-4464-44C0-B2DD-B3D726609030}
OpLimBHi=BaseV_4.1600=1 {6674F3D3-FFA2-4BA9-B0A9-2D7428917F65}
OpLimBLo=BaseV_4.1600=1 {D7919D6F-93E3-4860-B52D-BCF8E5D1DBD7}
Topo=sourcebus=1 {1E182F3F-10AE-4CE9-9D85-38B5B51219C4}
Topo=n2=1 {CD37DA29-4A60-4F32-B06C-7B90B3B90CC7}
Topo=n3=1 {3AED9E09-1F8E-4F0E-90C4-257890DA1AB6}
Topo=n4=1 {8366EE1F-FD2A-4A7D-98B2-A9AD6E41E2D2}
SrcLoc=source=1 {1126C92D-36A0-4AB1-8536-41FCC7D1C411}
25=source=1 {2F0B79AD-AA76-421D-A8A6-95670DEDFFEF}
PosPt=Vsource.source=1 {BEA2255D-3674-4D60-A377-576342465F99}
Bank==t1=0 {EC7366B0-0FDA-4020-8446-61117C72919B}
XfLoc=t1=1 {6A15BA89-989A-42EA-8103-1B9155367251}
PosPt=Transformer.t1=1 {1652D26E-EAFD-4470-95AF-74A994AD3F55}
PosPt=Transformer.t1=2 {3423DB32-6403-4419-A6E5-42E8262C14B4}
Wdg=t1=1 {2A8540C6-4B58-44B1-ACBB-95346EC022DF}
Wdg=t1=2 {BDCB32D9-AB63-4898-AFB1-4456702D4263}
XfCore=t1=1 {5C8BA67A-7AEE-482C-AC96-D7DC862AA1C3}
XfMesh=t1=1 {557EC90C-D8AA-46E4-A327-4BD694FDA509}
XfMesh=t1=2 {7B22F769-8D87-487D-A402-4141838039CC}
XfMesh=t1=3 {CB460A8C-8C97-46D2-B1C5-76A18D9838EF}
34=t1=1 {A41604E4-9893-4554-8C86-BF8B4F50939C}
OpLimI=OpLimI_305.6_416.7=0 {C58B3731-E58B-4D3C-9047-D5D6CEECDDF4}
34=t1=2 {293D92E2-7938-4383-BF78-9FBFE44FA3E2}
LineLoc=line1=1 {F1DA8FC3-DAE9-498C-9C61-C5884C26DB3C}
LinePhase=line1_A=1 {C179021D-678F-43BB-9A88-B7FB9BFBBE29}
LinePhase=line1_B=1 {8098F769-0585-47F7-929A-3B27AB9908F9}
LinePhase=line1_C=1 {2BB178AB-1684-4E05-B21C-432A58566C8B}
LinePhase=line1_N=1 {98C884E9-DF17-47B8-B9C0-C6D7BAB8735C}
50=line1=1 {78162729-40C9-4EF5-A1B5-F32FDB056888}
50=line1=2 {805DBE55-3493-4BBA-9BBE-B72267E2B241}
PosPt=Line.line1=1 {6345E721-0EA8-429F-A203-971312EA366C}
PosPt=Line.line1=2 {C164671B-7745-4D6F-8AED-A8874AC03A2B}
LineLoc=line2=1 {65B68C02-496A-4D60-8FD7-CE6F515CE21D}
LinePhase=line2_A=1 {854EB6F6-F57C-421A-A177-457BF709EB5A}
LinePhase=line2_B=1 {E55DB3E9-3F46-4195-9B18-B85C80AD3C94}
LinePhase=line2_C=1 {2DF39BB3-84B5-4CD9-A2BB-CC0C5D26EBF0}
50=line2=1 {A5431079-ADD9-4CC3-917A-2AA4F45AF637}
50=line2=2 {AF507CAE-3EC4-4465-B2DD-769EC9FF33F8}
PosPt=Line.line2=1 {211EB874-F9EE-4D84-AA60-610D57C0FC9F}
PosPt=Line.line2=2 {93B1BD2A-9691-4D46-B2B9-A9C15C412FEC}
LoadResp=ConstkVA=1 {546C1039-9472-42EA-8071-47D002C757B5}
LoadResp=ConstZ=1 {941CC2FA-DED8-48BC-B8AE-9D2A13DB27DC}
LoadResp=ConstPQuadQ=1 {F349556B-8492-4464-889D-B4217127A519}
LoadResp=LinPQuadQ=1 {F29C3B64-3D21-40B4-9AE6-A293AB59105F}
LoadResp=ConstI=1 {81F9C703-F7F2-4E26-AE15-A60F845F734F}
LoadResp=ConstQ=1 {0D0D5FF9-A2F2-43E6-90ED-DB91529C481C}
LoadResp=ConstX=1 {06D3EC70-231D-4A76-93ED-E3BAD3645DDA}
LoadLoc=load1a=1 {31703508-4E65-4B32-B079-397D24B28D60}
LoadPhase=load1a_A=1 {07C0F5DD-7550-49FA-9A18-BDE2A64F6A5D}
59=load1a=1 {2E11E876-1D38-431C-AF76-B5A7A2628995}
PosPt=Load.load1a=1 {A9F59510-1B15-48E5-B7BB-C3E1934ECE19}
LoadLoc=load1b=1 {BE861116-D15B-415B-9F90-A239EB370E89}
LoadPhase=load1b_B=1 {5CE9913F-3E9E-4062-AA74-6FF3D858ED26}
59=load1b=1 {A7BC9AF1-CC1A-4570-B04F-4996FE071E2D}
PosPt=Load.load1b=1 {A86A17DA-5A18-4C96-907A-74F9C06CE5BD}
LoadLoc=load1c=1 {1166D9D4-2070-4820-8268-BBCEFDD5BF9D}
LoadPhase=load1c_C=1 {C71AE553-F0E4-483D-B1F8-375EE1D88464}
59=load1c=1 {1881EB45-9DF6-4387-81FE-3A53A311AD47}
PosPt=Load.load1c=1 {CBD9770E-686B-4497-B0C5-569549E3F177}
WirePos=WP_4wire_1=1 {79B418F7-0E20-4400-AE3F-2601613D363E}
WirePos=WP_4wire_2=1 {AB962B9A-CB3E-4649-9E52-2F4D4E11DC82}
WirePos=WP_4wire_3=1 {2587064C-75BD-491C-8C2D-52449198122C}
WirePos=WP_4wire_4=1 {E1CDF680-A6BA-4F58-996B-04AD1C7B8722}
WirePos=WP_3wire_1=1 {EDB33605-C3FA-45AE-96C2-4AB402985938}
WirePos=WP_3wire_2=1 {1A29E36E-9F93-400A-9F63-FEE1919B5A84}
WirePos=WP_3wire_3=1 {7861534D-E43D-44E6-AAC3-900632EAB78D}
NormAmps=OpLimI_305.6_416.7=1 {41B0BE21-2F51-499D-BCD7-62BA1C34BC77}
EmergAmps=OpLimI_305.6_416.7=1 {3A889CF6-B309-4B81-872F-A726378D4D6A}
