Circuit.imoyodlead {1D4B98E2-62AB-411A-813E-F125F29ABD48}
Bus.sourcebus {2B795CB0-0139-4C62-AB4B-670824F337D1}
Bus.primary {D8AF332B-2FC2-4489-B775-04A27CE67E88}
Bus.secondary {2BB28E03-4541-483E-A754-FF1267054897}
Bus.loadbus {F380A165-3E16-4863-AC54-6CEB29F89950}
Vsource.source {94C8B564-D6A7-4299-B841-8EA18F501E78}
Line.ohline {3EE1E996-2A22-4AA4-8A2F-AE0E157CA8E2}
Line.quad {9A4E1F6C-2950-4D11-9562-997176B79D2F}
Transformer.xfmrab {639FFD42-B4FB-4BF2-922B-307A7E0C3D7B}
Transformer.xfmrbc {32FEE45D-07B8-43D8-940A-9AE3930DCD12}
Load.l1 {27EBBE46-6A72-4FC2-87F9-7CA97B0D586D}
Load.l2 {713EA901-F8A5-4CCA-A6E3-405A144F4E02}
Load.l12 {D04CDEDC-3ECA-4C3A-9A68-252F9B3A5B14}
Load.motor {BBE3420A-338E-46C0-B935-F455FA2FE80C}
LineCode.556mcmred {2C64E31B-F1DF-4BC6-90CE-AFECE633DEAE}
LineCode.4/0quad {4055A336-63D6-414A-BC78-9E50B279B187}
XfmrCode.cimxfmrcode_xfmrab {A08474CB-FF6E-4154-9712-FAB8566DF213}
XfmrCode.cimxfmrcode_xfmrbc {59E96FB1-FBAB-472B-B878-4A69B47A8009}
Station=Station=1 {6684A769-1177-4C05-8B75-0221353425BE}
GeoRgn=GeoRgn=1 {BD883E82-8D5A-4D81-A5B0-BBA093DA201A}
SubGeoRgn=SubGeoRgn=1 {7ECDF45B-062F-450E-94ED-F3FA64095896}
CIMVer=IEC=1 {F9C728A7-A491-4E6E-84D4-A7285C626CBB}
CoordSys=Local=1 {4176AA58-3A0D-42D4-ABB8-0BB285B3A256}
FdrLoc=imoyodlead=1 {A6FBF482-78A2-4E99-A7F6-834D17B886B2}
TopoIsland=Island=1 {D0BEB8DC-7EB2-4D93-9FE6-D63B7D2DBFCF}
OpLimT=NormalAmps=1 {D5E1799A-A577-418E-A540-AB5DB4CE63C9}
OpLimT=EmergencyAmps=1 {10504BBA-19D7-4790-97C9-9F82D2784EA4}
OpLimT=AHi=1 {5728F65D-A88D-4600-BB09-6D1F8D7045B6}
OpLimT=ALo=1 {0B78067B-1762-4BA9-8B08-EDDB357C205E}
OpLimT=BHi=1 {ED2A27BF-0365-4067-9277-67B457C99BF2}
OpLimT=BLo=1 {CF4727E3-2ED5-470A-A377-E6E3CE510828}
BaseV=BaseV_12.4700=1 {0E820C44-5A04-4391-AAC2-79F1A1605B41}
