Circuit.imyd {73BB36C0-6DB3-4480-A8B2-822B4AADD390}
Bus.sourcebus {394EDB7E-6D37-469C-BEE9-882A1A9DDD35}
Bus.primary {063A420E-ED6C-45D2-A160-332A5660CDDB}
Bus.secondary {C88D2E7D-2433-4A63-B241-ADF76DC9FEE1}
Bus.loadbus {78EBFEEC-4CA9-42F9-9F16-749B5B391F8A}
Vsource.source {E528A086-83A7-4C37-A00B-2AFCDFF26B31}
Line.ohline {4B72BC6C-B2F1-4873-A072-69114106F534}
Line.quad {3A92BA0C-F3DE-4E42-84CB-1AC2FF46F48E}
Transformer.xfmrab {F685A6DF-F34D-4F30-8C33-43D6F388EE0C}
Transformer.xfmrbc {E18AC24A-38D0-4A47-8C67-6DF380EA07C2}
Transformer.xfmrca {B3470AA1-C0FF-4E32-8BE6-6DD0D23DE433}
Load.l1 {9407F3A3-160F-454D-A3CE-45527D871A56}
Load.l2 {924EA85D-644A-402A-8D61-9B92CB326237}
Load.l12 {3054D96D-CE0B-4C40-B005-719F4DD74E00}
Load.motor {1572FA56-7169-415E-A22E-7EA89EC83C6F}
LineCode.556mcm {4C0D909A-FD00-4D5C-925B-4AEDFFB5731E}
LineCode.4/0quad {208E19A8-E470-44C5-AEC2-10CB5ED4EBA9}
XfmrCode.cimxfmrcode_xfmrab {B8A76776-D764-4D72-9A80-472EBB0788F5}
XfmrCode.cimxfmrcode_xfmrbc {089D5BEE-FE2F-4F99-8773-AC7C64AC67CC}
XfmrCode.cimxfmrcode_xfmrca {72871037-65C9-422A-85AB-7FEAD2C23266}
Station=Station=1 {3C0137BB-8F83-468D-9253-FF6E5615C0A7}
GeoRgn=GeoRgn=1 {14945D56-993B-402A-9711-64D23B810D92}
SubGeoRgn=SubGeoRgn=1 {7D93C821-9C4D-44E2-A5A2-2A1D05B2730E}
CIMVer=IEC=1 {578D2EAE-8804-4763-9E7A-A5E098314933}
CoordSys=Local=1 {EEF110B9-CE18-4536-AEA0-F9F04D51DFED}
FdrLoc=imyd=1 {CCDA5D00-3FF2-4FFD-A25A-7C674BDFA77B}
TopoIsland=Island=1 {1F41511B-E7E2-4498-9C5A-3E659DEB07FF}
OpLimT=NormalAmps=1 {AD24762E-5A4F-4BD9-BF5B-B48CE94A5533}
OpLimT=EmergencyAmps=1 {FD86CD89-C9A9-42C7-8E9B-43A7A42912FD}
OpLimT=AHi=1 {41159346-74B9-428C-BCDE-22226D3E0643}
OpLimT=ALo=1 {09A94C7E-72DE-4EC3-B805-2456E48DAA3D}
OpLimT=BHi=1 {00BB4241-B241-4B83-9A0C-ECAC84C4C276}
OpLimT=BLo=1 {8540C4FA-9634-4DDF-B73B-367E949C849E}
BaseV=BaseV_12.4700=1 {427491A0-14AC-4218-A7EB-21ADCF1C1A61}
OpLimV=OpLimV_12.4700=1 {C9AEAAE2-2226-4B7C-9BD8-9C3CEDD6A028}
OpLimAHi=BaseV_12.4700=1 {742B53BB-AE02-4D35-AA53-9EA363CBFAF9}
OpLimALo=BaseV_12.4700=1 {14DF491C-4568-4F6D-8A3D-49A09D514C13}
OpLimBHi=BaseV_12.4700=1 {3B39BB1F-AB6D-46E5-9A05-DA9009056512}
OpLimBLo=BaseV_12.4700=1 {A8EA5146-93AE-4EFC-9378-7C52EA82464B}
BaseV=BaseV_0.2400=1 {E1AF1772-6B24-41EA-8508-2E44317ECAB4}
OpLimV=OpLimV_0.2400=1 {FCE900E5-159E-4C31-BEB0-67DDD18F8242}
OpLimAHi=BaseV_0.2400=1 {44776636-A074-41DF-8A42-66F896AADB11}
OpLimALo=BaseV_0.2400=1 {952299C8-7C25-4BCC-B1FD-02876043F68F}
OpLimBHi=BaseV_0.2400=1 {1EE70F35-C76F-458D-8264-E645453004EA}
OpLimBLo=BaseV_0.2400=1 {0B7E4378-0CE0-4887-B724-71E46CB34642}
Topo=sourcebus=1 {45FCDD01-668F-492A-9A7F-3BABCB53A4CC}
Topo=primary=1 {0A56D01B-90A1-4178-8C8E-62781E83B0E2}
Topo=secondary=1 {EA90CF9B-2F65-4060-9683-DDECF4302140}
Topo=loadbus=1 {B0802407-9E30-4B9B-B339-6E3132CAADFE}
SrcLoc=source=1 {B8499C73-FCDC-4EE1-93BD-7363E3EAF6B5}
25=source=1 {C4B454FA-32DB-4F6F-B884-D6C1A3D85D58}
PosPt=Vsource.source=1 {77D2EA58-B494-43AE-97AC-1D05C1938BC0}
TankInfo=cimxfmrcode_xfmrab=1 {B8A76776-D764-4D72-9A80-472EBB0788F5}
TankInfo=cimxfmrcode_xfmrbc=1 {089D5BEE-FE2F-4F99-8773-AC7C64AC67CC}
TankInfo=cimxfmrcode_xfmrca=1 {72871037-65C9-422A-85AB-7FEAD2C23266}
XfInfo=cimxfmrcode_xfmrab=1 {E5F234A0-A45A-4A8A-82D1-F15B743D1D74}
WdgInf=cimxfmrcode_xfmrab=1 {6E406CCE-3535-48B4-B7C3-929F153468CF}
WdgInf=cimxfmrcode_xfmrab=2 {68AA6758-F3E3-49DD-B9FF-A8E3DBC43822}
WdgInf=cimxfmrcode_xfmrab=3 {9CA33BEC-82CF-4413-8359-9521E6EDC4B5}
OcTest=cimxfmrcode_xfmrab=1 {2BF74C6A-95DD-4050-8DB5-1F50503AEF30}
ScTest=cimxfmrcode_xfmrab=1 {79DEE485-171C-4D9A-88B2-242A1FE4B8D7}
ScTest=cimxfmrcode_xfmrab=2 {F1560F01-7BA5-4D7B-AC87-10D1C028D4B8}
ScTest=cimxfmrcode_xfmrab=3 {D9DB7E9F-54F3-4558-B3EF-420F3F766BED}
TankAsset=cimxfmrcode_xfmrab=1 {B836BE9E-2DBB-4E0E-BE03-87C72D6431E8}
XfInfo=cimxfmrcode_xfmrbc=1 {E277FEC6-EE55-480A-BFB3-DB42B99E3D2B}
WdgInf=cimxfmrcode_xfmrbc=1 {B241090E-1FB8-4226-8833-E9C91653EC7A}
WdgInf=cimxfmrcode_xfmrbc=2 {35043289-0EC0-41B0-B757-3C6E8C30C81B}
OcTest=cimxfmrcode_xfmrbc=1 {D463D71F-744F-4F2F-BBCE-7FE6EB8C266B}
ScTest=cimxfmrcode_xfmrbc=1 {5AF545EB-498B-48F2-BDC2-63B885E92D93}
TankAsset=cimxfmrcode_xfmrbc=1 {EE6A5AE5-00C0-4875-9CF1-308843809838}
XfInfo=cimxfmrcode_xfmrca=1 {038BCBA9-751B-4E69-B25D-EC4B6702B309}
WdgInf=cimxfmrcode_xfmrca=1 {6F699C32-AB65-4269-B343-6584E6015E3C}
WdgInf=cimxfmrcode_xfmrca=2 {5D69CEF7-A649-40E7-9317-80617BA7A91A}
OcTest=cimxfmrcode_xfmrca=1 {5DE34D76-7BE1-4915-B3D7-4B840DDC37F8}
ScTest=cimxfmrcode_xfmrca=1 {66E4BD87-4998-4B84-8181-B338EFBC0703}
TankAsset=cimxfmrcode_xfmrca=1 {ED5BB101-5E09-42C2-BD54-7476B06F499B}
