Circuit.yybal {088F22EA-893E-4ED5-BB7B-E74585EB3DA1}
Bus.sourcebus {C2DF9166-FC2D-472F-BF28-EF1C22DC4D31}
Bus.n2 {AAF4269E-8F3B-4633-A223-D61A941DA20B}
Bus.n3 {C766F7FD-582B-40D0-8FEA-1C5E4325AF09}
Bus.n4 {B91290A7-2B1C-4985-8B9E-4D235FDDBEED}
Vsource.source {BE409D6F-7EAD-4FEC-A6BC-72F27AA25069}
Line.line1 {5A78F171-50CF-43AB-A080-E7821D54FDE1}
Transformer.t1 {20DFACF9-8460-4426-9A49-452061D9D003}
Line.line2 {2A637E32-508F-4FD9-B5AE-91042F1F43B2}
Load.load1 {0CDB9D1B-B9A6-452D-AD4E-A27719F97E9D}
WireData.conductor {04B36E4E-43D2-4CCB-9875-16C5C1120401}
WireData.neutral {981B9E8E-8292-4072-B1F0-A289CFFC9311}
LineGeometry.4wire {15501050-23DE-4DD4-8020-439372698585}
XfmrCode.cimxfmrcode_t1 {565DF819-81CA-47C0-BD4B-534B3F043B50}
Station=Station=1 {508D5CF0-4DCE-4C26-AD59-187BB8963848}
GeoRgn=GeoRgn=1 {3190024B-819F-41AF-A324-A74811840CAE}
SubGeoRgn=SubGeoRgn=1 {C6F7C6BE-D849-4C92-9081-DF7E0E8F212E}
CIMVer=IEC=1 {2A4083D7-A1A3-404D-9274-8AE7E3083098}
CoordSys=Local=1 {585F9424-C6AF-42BA-A429-F5048128DD38}
FdrLoc=yybal=1 {198B32D2-BE64-41F2-A25D-D18E17B38F21}
TopoIsland=Island=1 {D475461F-FC8E-46CE-8530-729380665B1D}
OpLimT=NormalAmps=1 {495AD80F-CEAA-4ACD-A50A-5E880E57E25A}
OpLimT=EmergencyAmps=1 {89FF3EC4-02F6-4E2A-A07B-A7BEA07F902E}
OpLimT=AHi=1 {77244268-7D2D-4365-88AA-EFEB8B2B400E}
OpLimT=ALo=1 {E0BC1A1B-E07B-48FF-A205-A73F52F00778}
OpLimT=BHi=1 {1202A23D-C28D-457E-B562-544F89BA63BD}
OpLimT=BLo=1 {F6995073-5865-4E34-986C-9D8B1AD53112}
BaseV=BaseV_12.4700=1 {EA174AE3-5E29-4149-8A28-B48A66EB05E4}
OpLimV=OpLimV_12.4700=1 {2988E5F7-BBFB-4CE2-862B-F96BF91A0D4A}
OpLimAHi=BaseV_12.4700=1 {D752AF4C-3C95-412B-8FD6-3B66EF07C7C5}
OpLimALo=BaseV_12.4700=1 {F0F9319C-2FB6-455F-AEE5-F56E3D35A8C3}
OpLimBHi=BaseV_12.4700=1 {CCE12127-23A8-434C-B908-DA2080923789}
OpLimBLo=BaseV_12.4700=1 {6AD494D8-AE12-4ED2-A232-2E968B042246}
BaseV=BaseV_4.1600=1 {6A57A06E-43C7-4893-AE01-A86F77F5421D}
