Circuit.oyodbal {FE17C848-D906-499B-8EAD-F0ECF1F8A2AB}
Bus.sourcebus {DF84EC13-7AAC-470B-B7BD-3C3288784BDA}
Bus.n2 {8A2673C6-CC3A-4BE6-826A-8584E297F258}
Bus.n3 {9BB08F27-E359-4959-84E9-5B0658B0838D}
Bus.n4 {1871C72A-FC90-4AEF-84F8-172DB56CB5F1}
Vsource.source {58DAB2A3-DCEA-46E1-9BBA-08BD6827FC5B}
Line.line1 {3C551511-052D-4B3A-A94D-0FA135724786}
Transformer.t1 {802CDC82-B45E-4DF0-8A4A-744E06263154}
Transformer.t2 {0C2B222E-8FAC-410F-93C1-735BEAB668A1}
Line.line2 {592DC7FC-A210-43B0-9914-F30B0D28A052}
Load.load1 {FDBC5910-251E-4926-AEB5-02F2DFD4A832}
Capacitor.stabilizer {9EAB1C2A-A6AF-45B8-9C2D-2F78C9D9ABB1}
WireData.conductor {05962915-6B0A-4502-83BB-C944021A1D41}
WireData.neutral {40E9E928-374A-4930-8213-513175827D61}
LineGeometry.4wire {F36E58FD-94F1-4AFE-A147-B81F753678E6}
LineGeometry.3wire {80609259-1797-438F-A3C0-8E1CE7286C9F}
XfmrCode.cimxfmrcode_t1 {FBDF85C5-5086-4BBB-A847-035FCCBCD59B}
XfmrCode.cimxfmrcode_t2 {0A874883-5949-4C13-BEA5-C4A50629012C}
Station=Station=1 {5944F2CF-D008-4C37-BD9F-48D9BC1A1319}
GeoRgn=GeoRgn=1 {1887C397-031F-45CC-A93D-C2C5F969D79C}
SubGeoRgn=SubGeoRgn=1 {12EAED9F-73D6-42A1-8299-B71D5BF88587}
CIMVer=IEC=1 {EB0A770B-1A0B-4895-A0BF-E09600236976}
CoordSys=Local=1 {C63C71D2-8179-45AB-949D-B024470B9A52}
FdrLoc=oyodbal=1 {68ABFF5E-8C7B-4884-BDA6-3518452971BE}
TopoIsland=Island=1 {B1377EB5-803B-4B83-B792-DC884DE154E4}
OpLimT=NormalAmps=1 {F6123662-D394-42BA-843E-7205D7881732}
OpLimT=EmergencyAmps=1 {0D59EB2A-9138-4ADA-A988-A8B1E44B67DF}
OpLimT=AHi=1 {4EAE65CC-DFCA-4864-9D9B-A372FCEE64C4}
OpLimT=ALo=1 {833A923F-E7FA-4820-A6F6-976BC9C7F6B2}
OpLimT=BHi=1 {E58E7069-2A85-4AB5-A22E-99453416AECA}
OpLimT=BLo=1 {21A98923-A591-4072-AAE5-E88AEC5C65F8}
BaseV=BaseV_12.4700=1 {FA56AAEE-4104-4D40-A6F9-33860A82A2A9}
OpLimV=OpLimV_12.4700=1 {BAFA9B73-8F46-46B7-B604-8BCFEC905CEC}
OpLimAHi=BaseV_12.4700=1 {C9579B7A-EC24-4578-9C8A-1FC0973428E5}
OpLimALo=BaseV_12.4700=1 {DB08F1C1-9FA6-4C34-9E1E-A9C381C7ECC7}
OpLimBHi=BaseV_12.4700=1 {74288F21-187D-4DDD-BB9B-C048148D7301}
OpLimBLo=BaseV_12.4700=1 {BF8A9C83-09DD-46C3-92B3-071CC0AC0C39}
BaseV=BaseV_4.1600=1 {DA1E8497-6D51-412D-94C8-A2672C3CCD14}
OpLimV=OpLimV_4.1600=1 {DBEACFE2-4155-4791-916A-C74E08ED188A}
OpLimAHi=BaseV_4.1600=1 {559C7EC8-6E60-4AA2-AB30-C589E2EA7D3A}
OpLimALo=BaseV_4.1600=1 {42258C2F-4C92-482F-973B-54B9501CCD2E}
OpLimBHi=BaseV_4.1600=1 {99F367F3-C843-489B-A7EF-08211BCBEEA6}
OpLimBLo=BaseV_4.1600=1 {BE766EAA-042D-4507-8E59-E75E2085666C}
Topo=sourcebus=1 {2121E2D1-F13C-4182-804A-C3582ECE118A}
Topo=n2=1 {DEE9D6A9-8435-4C45-8C61-96A2E7F33684}
Topo=n3=1 {CE438C5A-2BFC-4CEA-851D-2C1942644160}
Topo=n4=1 {A2EAA044-E7D9-4C16-A7A4-85F345505409}
SrcLoc=source=1 {699325C5-771A-46F0-A67E-907F3D3B73A0}
25=source=1 {C3CAD17F-232D-4DB5-90FA-A8A03555AA08}
PosPt=Vsource.source=1 {75AE69CF-4B9F-43AE-BC93-F67D92569DCE}
CapLoc=stabilizer=1 {E4F7B09F-ACA4-472E-A894-C55EEC7EDE04}
106=stabilizer=1 {193C8F60-1D04-4CDE-A567-5C473E0D82D4}
OpLimI=OpLimI_0.2_0.2=0 {BDBA8160-47AA-44F1-B814-022AB6E7CE38}
PosPt=Capacitor.stabilizer=1 {89E28F4F-04D7-4FA7-B626-E23B97718C2B}
TankInfo=cimxfmrcode_t1=1 {FBDF85C5-5086-4BBB-A847-035FCCBCD59B}
TankInfo=cimxfmrcode_t2=1 {0A874883-5949-4C13-BEA5-C4A50629012C}
XfInfo=cimxfmrcode_t1=1 {B3FA795C-E2C8-4725-87E6-A99B0528E021}
WdgInf=cimxfmrcode_t1=1 {882519E4-E5CF-4312-8171-1E40FBC07F41}
WdgInf=cimxfmrcode_t1=2 {919CD8B4-1687-40C5-8EDD-3D09D4BF174F}
OcTest=cimxfmrcode_t1=1 {1538602A-3D86-4AD8-A4E7-A825F042A0E1}
ScTest=cimxfmrcode_t1=1 {73D439FE-72F9-48FA-8C60-ED8925B6C866}
TankAsset=cimxfmrcode_t1=1 {DE6B0A4E-A418-477C-B4B3-E773A48DFA73}
XfInfo=cimxfmrcode_t2=1 {BAD1358F-C81A-4F9B-9899-27B35E085E8E}
WdgInf=cimxfmrcode_t2=1 {83E78A81-2BAC-4A7D-AC74-F64814E930E1}
WdgInf=cimxfmrcode_t2=2 {1F4AC4AA-F774-4E81-8679-B1D26F505066}
OcTest=cimxfmrcode_t2=1 {FD156331-203F-416E-AF9A-999B932B5C93}
ScTest=cimxfmrcode_t2=1 {103229EE-A824-449E-8B8F-5EB62997CE67}
TankAsset=cimxfmrcode_t2=1 {F196BC3C-AC5E-4CAE-BEB8-418263F6941D}
Bank==t1=0 {D37AAC54-FA13-4380-A864-ACA0CF8C4389}
Bank==t2=0 {8FB26D4B-FB94-47A7-BC7F-6AE3D145902B}
XfLoc=t1=1 {B2157464-8CA6-4FF4-BAAA-CB1A982CFCD1}
PosPt=Transformer.t1=1 {57186D3D-C5E4-45F1-AB36-CA516F696F10}
PosPt=Transformer.t1=2 {F89DE117-FB6B-4820-8884-7DC1CE9B1B3A}
Wdg=t1=1 {D38CEE87-4C8F-42EC-950A-CADBDD5B7F28}
Wdg=t1=2 {82377B00-0E13-4FDF-B3DD-8025ADCD248B}
XfCore=t1=1 {8B53DCCD-44AA-4B25-BC1B-10D9C1BE6F99}
