Circuit.oyodunbal {8FDAE9BB-0BE3-4103-A1CD-B12067583D9C}
Bus.sourcebus {A68ED8A4-F3BB-4ADD-860F-B1CF0BB2E5F2}
Bus.n2 {56FC33CB-7A13-4DD5-98C6-B4311C79973F}
Bus.n3 {5DC54A43-B8CE-4BE9-B530-9470496ABB0B}
Bus.n4 {7623F2DA-6113-4467-B878-1FCB3CA65B33}
Vsource.source {E93E6980-A4AD-4581-9DCD-8086252B8B05}
Transformer.t1 {E6C6ED7B-12EE-4C9C-8997-422983381CDE}
Transformer.t2 {F6D5C05A-7BFC-4FFB-9CF0-74143F62A670}
Line.line1 {22D6EC9B-40E6-456E-9865-11C3EA422B9B}
Line.line2 {373DDA9A-067F-4490-8E63-FEA9E5AAD96C}
Load.load1 {B856E550-744A-4B55-9C2B-7D1F11FEE985}
Load.load2 {443F7D32-3003-460D-97E7-962C735B12BF}
Load.load3 {2192F14E-705C-412A-A9E2-6665958E2113}
LineCode.400 {04A3F295-3A1D-4DCB-825C-2280DEEE3E38}
LineCode.300 {A9B8A1BD-5634-4BBF-BD42-047188EEC7C8}
XfmrCode.cimxfmrcode_t1 {48FDB05E-6D39-45F0-9A84-011814F516BE}
XfmrCode.cimxfmrcode_t2 {7260E2BD-3287-4BFD-B2BA-E39D846C9064}
Station=Station=1 {EE9BC645-347D-4EC4-8756-6258195CEF92}
GeoRgn=GeoRgn=1 {51FAE9A1-7563-4612-92F3-4F4FCCFFB36D}
SubGeoRgn=SubGeoRgn=1 {8BF035EC-05F0-41CC-B0FD-F8A932D1EC20}
CIMVer=IEC=1 {09CAE896-2219-44AD-9669-9EA3FD3C0C56}
CoordSys=Local=1 {F9232EE8-44BD-4163-B71B-D31247A98080}
FdrLoc=oyodunbal=1 {103B58A2-09B6-45E9-A596-8D9B6BF2D876}
TopoIsland=Island=1 {609699E5-5456-42BC-9D08-B664976B5A61}
OpLimT=NormalAmps=1 {4C9A51BE-1A38-447C-B00B-21600C6E92C2}
OpLimT=EmergencyAmps=1 {63B64D72-C8EE-4FC0-B78D-85FE489D893A}
OpLimT=AHi=1 {138D9E60-A516-4B60-ACEE-109589ABB274}
