Circuit.yybal {43946E3D-232A-4B5F-B0C4-BEAECD347C8C}
Bus.sourcebus {53F18D8E-D47E-436D-AF01-B1A68A02610D}
Bus.n2 {2A57FB4B-F8C4-4B0A-ADC5-EC6E84890415}
Bus.house {3FA1AC00-00B9-4E1B-9DC4-E8104C6706FA}
Vsource.source {8B807558-D2AE-4300-9344-A2E326C3F2D8}
Line.line1 {8D229216-2F87-4910-B481-F26CD0905179}
Transformer.t1 {5147C882-3B49-4C11-AB7A-D68A35F969E8}
Load.house1 {B457B6BA-533B-4D4A-AA04-C7871D63305F}
Load.house2 {DEA61E32-5AF7-4A06-8ACE-571CB8942A60}
WireData.conductor {F1D5C85F-C95B-47D0-82FB-DFAB6E9151F3}
WireData.neutral {77659426-1FA8-4E3E-A213-DD9C8AAAFFAF}
LineGeometry.4wire {531EE17E-7A80-41BF-AC3E-01F8B74B0117}
XfmrCode.ct2000 {D14D5395-575E-46E5-B9A9-8609620B0302}
Station=Station=1 {923FF726-BA87-414A-9806-58C78550E4E0}
GeoRgn=GeoRgn=1 {8BA8CCA3-122F-4662-820A-0F11A85CE866}
SubGeoRgn=SubGeoRgn=1 {E72AD104-6B62-4483-822D-75C742BB7073}
CIMVer=IEC=1 {417AC6D2-0F8C-4DB1-9A0E-F5B74822280F}
CoordSys=Local=1 {742CA3F3-43B3-452C-AE9C-E9B3998C0121}
FdrLoc=yybal=1 {7D4AC8C5-B044-45B6-B1C2-90E586DBE0DF}
TopoIsland=Island=1 {9914D5FF-DA6F-4CB5-8222-D4D197367CBB}
OpLimT=NormalAmps=1 {09337C36-6B54-4DAF-9314-4BC1D25615F6}
OpLimT=EmergencyAmps=1 {5B39B6A7-B28D-40CF-86D7-BECFD359768F}
OpLimT=AHi=1 {086D95B1-8E92-41ED-9443-DF7D39410A82}
OpLimT=ALo=1 {CC1B597A-7DE3-4D45-A2F1-ABAE499832A2}
OpLimT=BHi=1 {93403EAF-EA65-44F7-97A1-94581BA74FFD}
OpLimT=BLo=1 {E3702243-F736-4550-82E5-917E22EE179A}
BaseV=BaseV_12.4700=1 {20A012AA-BF39-4933-AC3E-17A08223381C}
OpLimV=OpLimV_12.4700=1 {94F377E2-2CC2-4D01-B47F-2AB61C51F904}
OpLimAHi=BaseV_12.4700=1 {437A7E25-FC08-424B-B0AE-4190E4C7E9A8}
OpLimALo=BaseV_12.4700=1 {FE521773-C677-4846-B8AA-0E59AA47A79D}
OpLimBHi=BaseV_12.4700=1 {2FC8782D-044C-47F8-B1FE-5B34E080EBCB}
OpLimBLo=BaseV_12.4700=1 {2DE64C5D-9B25-408F-AF62-EF0C7C8C89D2}
BaseV=BaseV_0.2080=1 {DC8F1F89-711D-4669-BAEF-1B4166C7DC91}
OpLimV=OpLimV_0.2080=1 {79B0BF13-8667-43A3-A22D-004505086B1A}
OpLimAHi=BaseV_0.2080=1 {489499E3-2A3A-487B-8C9D-FCBBAD07B881}
OpLimALo=BaseV_0.2080=1 {43471E73-D4A5-4EAA-AE48-5406C3222273}
OpLimBHi=BaseV_0.2080=1 {35641167-592B-4030-A82F-F4CD31A802E4}
OpLimBLo=BaseV_0.2080=1 {21A807A5-ADDC-4EEF-BDA1-9FD3023E412B}
Topo=sourcebus=1 {161479B7-7E44-4973-A567-C7489A1B18C4}
Topo=n2=1 {9D415112-E9BA-4E9F-B7D2-C4E67BBBC0E2}
Topo=house=1 {0D45206F-74EB-4682-8DB6-4E9D7313903E}
SrcLoc=source=1 {1EA5BF39-177A-45DB-8E3B-7C3E069EBD14}
25=source=1 {2FAE9778-9B75-4E40-9ED3-6B888160D255}
PosPt=Vsource.source=1 {5F58CE17-E636-4A76-98DC-1A73CCE5D78A}
XfInfo=ct2000=1 {43DA3079-DB55-441C-9603-B03CA066CC27}
WdgInf=ct2000=1 {8D980ADE-2462-4448-BEA7-C3C0F24D3461}
WdgInf=ct2000=2 {7D6A67D2-15A2-4879-A208-07998CB13C01}
WdgInf=ct2000=3 {D278C8B9-1F3D-4109-AFD0-83B8FE78AF38}
OcTest=ct2000=1 {21BA76CC-03A3-4A56-88DD-9923CF61DE08}
ScTest=ct2000=1 {A41674E5-DFDD-48F2-BB40-89420185CBA7}
ScTest=ct2000=2 {62FE27AD-86B6-4390-B09B-3FD098419E00}
ScTest=ct2000=3 {C218C405-A91F-401F-AF38-A3BB5E44B0B3}
TankAsset=ct2000=1 {1D166D13-B5E2-444F-9181-791BF3CE7C8C}
Bank==t1=0 {F4FCF3DD-B2AD-48ED-8CC3-DA609DEECE0D}
XfLoc=t1=1 {BB7CF3CE-B5FC-4A06-B2F5-0D383DCA5C14}
PosPt=Transformer.t1=1 {4F1F3B49-395A-4097-BD52-C27EE3AE0040}
PosPt=Transformer.t1=2 {7BAF48DE-0C13-4AE0-9188-B51B7B66339C}
