Circuit.yybal {AA782F4B-C424-4D54-AE39-9E6B108A7E0A}
Bus.sourcebus {B2DC31F2-D523-4FE8-8BB2-76E9E222753D}
Bus.n2 {AD37BAA5-A685-4C3F-8037-1EC6F7C04311}
Bus.house {C75AB3E9-4715-49D7-B9C6-10E585D1A89A}
Vsource.source {44126952-0868-4287-8990-BC60D763A85D}
Line.line1 {49BD0C4B-5E28-44A2-A9C9-B3E70A06CE09}
Transformer.t1 {7B5CEE24-3DC5-4DCA-9098-073A3807E627}
Load.house1 {20F05EA3-D754-4591-A9E1-8356137F669A}
Load.house2 {E0C97F1F-379E-4171-9ED1-D1653B8BEBAA}
WireData.conductor {BF75669D-348B-4C6B-AE2D-3734CA88BC7F}
WireData.neutral {E57B4309-1F97-48CA-BBC3-A732DC80E393}
LineGeometry.4wire {F81EEC46-FC5C-428B-B21D-2105BFE90EBC}
XfmrCode.ct2000 {7FC9BC0A-BDE4-469B-8561-560479A9BFED}
Station=Station=1 {714BD2ED-5C9C-4F11-93B8-E9DABBEA25DF}
GeoRgn=GeoRgn=1 {C231C8BE-0A22-4A74-A861-0DCE4C64DCAE}
SubGeoRgn=SubGeoRgn=1 {89A093BF-7F71-42A1-9B6B-DB185658EDDE}
CIMVer=IEC=1 {74CA2132-358B-47E3-9F3E-E8B2FFD2B83E}
CoordSys=Local=1 {1A2BB769-BD9F-4FE2-B0BE-85C5FA1881C6}
FdrLoc=yybal=1 {C004A2BC-2C2B-4F25-9FF3-C8BD4A2BDA3F}
TopoIsland=Island=1 {AE915A5E-32AA-408D-972D-F122E5469684}
OpLimT=NormalAmps=1 {320FCE51-2B63-48EF-A6C9-92805B46F509}
OpLimT=EmergencyAmps=1 {D0513229-5E56-4EB7-94BC-5E7F3D7CCC27}
OpLimT=AHi=1 {3339361F-5873-410B-B2CC-E0769D886C19}
OpLimT=ALo=1 {70C2F5AB-51B7-4A0E-9203-69FD890127E9}
OpLimT=BHi=1 {3DE03BEF-214A-472F-944C-088A64EA7EA6}
OpLimT=BLo=1 {5E27D0BA-7931-4154-8E1F-7C9EDD9457AC}
BaseV=BaseV_12.4700=1 {C05A0E30-57F7-4A3C-911E-7FCD024E88C9}
OpLimV=OpLimV_12.4700=1 {9BB9ABEF-37E8-442C-A681-FBDB8A2DA5D0}
OpLimAHi=BaseV_12.4700=1 {B73FE73E-63AB-46C4-8291-6D9CFB0BD730}
OpLimALo=BaseV_12.4700=1 {B45DCE8C-D2B7-4506-B523-CDCE1CF96D8F}
OpLimBHi=BaseV_12.4700=1 {A8AA63BF-3270-43F1-9B87-488320DABF51}
OpLimBLo=BaseV_12.4700=1 {D2D462E9-F3AF-40B2-A337-087553C240AE}
BaseV=BaseV_0.2080=1 {3757D581-4FBC-47C4-898E-E0F4C40B25EA}
OpLimV=OpLimV_0.2080=1 {23B7EF38-DEAC-464F-9A2F-A081D0FBDDBB}
OpLimAHi=BaseV_0.2080=1 {2E112535-48B6-4F66-BF38-5D3BFF0AF063}
OpLimALo=BaseV_0.2080=1 {D74F14C6-D395-4D91-91CD-FB26ABD2E3C8}
OpLimBHi=BaseV_0.2080=1 {D8367202-1510-4C64-8EB8-0E6A6643D905}
OpLimBLo=BaseV_0.2080=1 {68CE3300-892F-4F9C-A35F-D59CDBCCEB95}
Topo=sourcebus=1 {47FD1793-FCEC-4734-96FB-50E4D70BA4DC}
Topo=n2=1 {84DC363D-9E02-443C-840D-6F601EB151D7}
Topo=house=1 {5AB34393-8727-4373-8107-401E1EB68709}
SrcLoc=source=1 {3C67993C-2A3D-42CA-87F3-82D1BE88FB8F}
25=source=1 {72565A28-2C4B-489A-A701-15C5525868B0}
PosPt=Vsource.source=1 {B388D65B-C9B8-45FC-9BEC-EA7FA5ABABE1}
XfInfo=ct2000=1 {CB82B9D8-133C-4FDD-9E22-7D90F4D2060F}
WdgInf=ct2000=1 {5C3CF1FE-3036-491C-B974-B8A0AC529993}
WdgInf=ct2000=2 {2737E95D-9042-4D5D-8F0D-EA8A1A2E8DE1}
