Circuit.ydbal {D09B6037-6236-42CA-AA11-811FE941AF5B}
Bus.sourcebus {13F9B09D-026B-464F-9F44-C1DD2B684680}
Bus.n2 {89F4434D-0812-4CF8-BBE6-000F542E4F9C}
Bus.n3 {6A1AC55F-EC9A-4D51-998C-242F177B29BA}
Bus.n4 {903F0FD7-6567-4203-A71B-26DDA6282FE0}
Vsource.source {65A3CEC8-80BB-40F8-A9F0-9369E1FDB3B0}
Line.line1 {F9C396AA-1291-4B97-A459-E0F7592B21C8}
Transformer.t1 {6A6328EE-89D9-415C-B974-466E3BC42FE4}
Line.line2 {3378AA62-ACB1-43D6-B120-FEA9552CD98C}
Load.load1 {F6BCFD0C-BCEC-4C21-AB7E-28F7CA0614F8}
WireData.conductor {AA892AAC-7525-466E-AD58-B7BFF0638274}
WireData.neutral {4699E1CB-E3B5-4680-A351-8E7E9A69ABA1}
LineGeometry.4wire {466E6815-2FD8-4E04-A075-0B7E14B32272}
LineGeometry.3wire {967C77DF-B126-4E89-9DA1-E666DC77E5F6}
Station=Station=1 {309950AD-CB44-437F-AA91-4FC3240EEA51}
GeoRgn=GeoRgn=1 {98B34A0E-EBEF-478C-A0ED-B5B1992C2067}
SubGeoRgn=SubGeoRgn=1 {B87B888A-0428-40C1-8259-BD0614E22999}
CIMVer=IEC=1 {AE407BCF-739E-4BE2-AD44-A4E00D6564D1}
CoordSys=Local=1 {8765A434-0CD6-4420-8E94-1EE4BB438B31}
FdrLoc=ydbal=1 {8B30495F-8CF3-4620-B9E9-C423C716AA5C}
TopoIsland=Island=1 {084B58EA-65D2-4471-8957-DAA51435FE35}
OpLimT=NormalAmps=1 {CE21C7C4-2426-4D05-B8DF-09CFCD8B00B6}
OpLimT=EmergencyAmps=1 {BA624F14-DB5F-490E-BE09-2DE428C232B6}
OpLimT=AHi=1 {1D26D28C-884A-4498-8479-F42A8995B367}
OpLimT=ALo=1 {A6C10D6F-B627-42B3-9A2A-67D0BA30AC1F}
OpLimT=BHi=1 {69E2D4C2-1E1C-49F2-8B67-3D9CABE90D0A}
