Circuit.ydbal {13A48073-FBD8-42B6-8957-746E3F4FECC9}
Bus.sourcebus {A8876F89-2B2E-4FAD-89B8-524C90B02271}
Bus.n2 {8D470818-4862-4425-99D8-12CC99E6C7CE}
Bus.n3 {16B18970-B80E-4318-8A83-B4E77299BE86}
Bus.n4 {00A08706-0B1D-4F29-852A-FA4E143E4678}
Vsource.source {302C03D5-27CB-4F7F-9B9E-12B34601F03D}
Line.line1 {35358A51-9F52-4DFA-A8F7-9CE526B04129}
Transformer.t1 {C231DC9E-E9EA-4925-918B-069AD8D410FA}
Line.line2 {99956D52-D028-456C-A8E6-A4D30BCCE29D}
Load.load1a {31CD726B-EE52-47A4-A949-73C481568E69}
Load.load1b {0D04FD39-C9CA-4661-9547-54180650515F}
Load.load1c {4F1ED55F-3E15-4C97-A78B-C37F7893588D}
WireData.conductor {B77B2685-AC10-4A92-BADC-387BD078F28F}
WireData.neutral {98453D26-28C1-4AA0-ABBB-01F8A491B983}
LineGeometry.4wire {8B84C7CD-88AB-4D19-9195-051E8E5F9401}
LineGeometry.3wire {98CD2D26-9D68-4B3D-9B82-00D995AE3540}
Station=Station=1 {D7899A0B-B608-4FAB-83F5-D09D0E04C9F8}
GeoRgn=GeoRgn=1 {E36253B8-5960-46C2-BB6F-1725554D442F}
SubGeoRgn=SubGeoRgn=1 {32378594-2262-4BF3-8C34-5A66B1B21A0F}
CIMVer=IEC=1 {D883759E-6CD4-4B93-A979-077CA231A66F}
CoordSys=Local=1 {C8FDE787-2AE1-4990-AEC3-67E1D7E6D668}
FdrLoc=ydbal=1 {FE12F8A6-6B0D-4D43-A98F-063C5F76692C}
TopoIsland=Island=1 {CFA74F43-6D71-48E8-BA37-13AE54FCA09B}
OpLimT=NormalAmps=1 {3D07B7D5-4387-408D-B472-51CD4FEA6AE6}
OpLimT=EmergencyAmps=1 {81883F7B-1EF1-4537-B64E-66F977E3BD39}
OpLimT=AHi=1 {9DEC356D-9266-4942-BDA1-258AD5748D99}
OpLimT=ALo=1 {551F9E25-3453-4148-90FC-DA6DC87C0200}
OpLimT=BHi=1 {C9965FCF-0A90-4692-8F9D-53DB48569565}
OpLimT=BLo=1 {B1424BA6-084D-4BF3-A88C-1CEDDE8970AC}
BaseV=BaseV_12.4700=1 {945D227C-B274-4C00-B450-EA62FC4020B5}
OpLimV=OpLimV_12.4700=1 {3E9E3EFE-C417-4FA8-B80A-9DD8EA1B89DA}
OpLimAHi=BaseV_12.4700=1 {576BECF8-ED61-4DFF-83E2-9655F2A70CF0}
OpLimALo=BaseV_12.4700=1 {7E8B4643-6F8D-4ECD-BB70-F6264CB9E3F8}
OpLimBHi=BaseV_12.4700=1 {1BDCB2BD-9DC7-4335-83BD-82E83C55268A}
OpLimBLo=BaseV_12.4700=1 {38FF7117-6CD2-4CF3-9512-68119AF1E16A}
BaseV=BaseV_4.1600=1 {6F2D5AD9-EE51-40FE-BB30-5D3852A52852}
OpLimV=OpLimV_4.1600=1 {D420F46E-C0CB-4A81-ADDC-53FF44BD1185}
OpLimAHi=BaseV_4.1600=1 {84932A53-1E75-46AB-9D17-C1CFB593AB41}
OpLimALo=BaseV_4.1600=1 {3A7AADD9-A88F-40C5-AF1B-1C055888127F}
OpLimBHi=BaseV_4.1600=1 {A53D8F4C-89A5-416E-B4BD-F3F2D0C467C8}
OpLimBLo=BaseV_4.1600=1 {046A4429-8EAD-476B-A61D-7E39E3773373}
Topo=sourcebus=1 {0DAF49C9-15F4-4CF6-83CE-AC7FB530BD79}
Topo=n2=1 {A0237BED-5E4A-46AC-934B-6ABFF8396025}
Topo=n3=1 {24DC0130-66AE-41D5-B287-F618C2FB9D75}
Topo=n4=1 {D9EA1E54-5110-4C09-B072-0761D2DE7492}
SrcLoc=source=1 {4D5626EF-A9C2-457B-8AF5-3998C22DAFB1}
25=source=1 {78FBA332-5028-457C-8957-CBF216D73E40}
PosPt=Vsource.source=1 {A347A4B8-80E5-49AA-9DA7-4ACBED7D629A}
Bank==t1=0 {A7F99948-4849-4500-B6B0-E111F05177CB}
XfLoc=t1=1 {154ACC13-0FAB-4A42-B2CB-C3F863A47323}
PosPt=Transformer.t1=1 {3D5B64BC-1CF0-4239-B18F-2E894F85352A}
PosPt=Transformer.t1=2 {71012485-F051-4E91-8700-9FB46CB0F0CE}
Wdg=t1=1 {60C1D1F1-1447-412A-8F78-F3221BDB8295}
Wdg=t1=2 {D7A087A4-FBC5-4511-8A14-0210B8A924EE}
XfCore=t1=1 {9A8670F4-D36A-4D8F-982B-48304639031A}
XfMesh=t1=1 {E4284664-BA51-45B2-926F-19AA20C2A976}
XfMesh=t1=2 {5DD688F7-F438-4F42-AF1B-6E305BB41083}
XfMesh=t1=3 {C79B1237-CEC1-4674-B27E-360EF4775F2D}
34=t1=1 {9A14D40E-4A43-42D8-8346-78647ED3F8BE}
OpLimI=OpLimI_305.6_416.7=0 {1A27F14C-673A-48E3-ABD6-A530FA4EB3D9}
34=t1=2 {FC722C52-1088-47DA-B789-8961A4A57339}
LineLoc=line1=1 {298587F4-633F-45E5-A945-0C3A99141CC4}
LinePhase=line1_A=1 {F3A24D70-373C-48A5-8618-9FF44832ABA1}
LinePhase=line1_B=1 {A3941385-B291-4AB1-A80E-20470E17CA17}
LinePhase=line1_C=1 {0C72A91B-9532-4977-9107-478F2836DA6A}
LinePhase=line1_N=1 {DA97EA66-ACB9-4F72-966D-65FFEFC8368F}
50=line1=1 {3C83BD5F-7DD7-4B1D-8AD3-D36094CA52B8}
50=line1=2 {9C63F801-E983-4572-989C-6EBD41B50560}
PosPt=Line.line1=1 {00EE6DFC-B004-481D-B082-0A6D4B842A0E}
PosPt=Line.line1=2 {4CE1ED39-C3B5-4278-9C47-62B04292484A}
LineLoc=line2=1 {79F9949D-3F54-486D-8A84-D0D9EB23F5FA}
LinePhase=line2_A=1 {C171019C-8DCB-469F-A8B3-D95273BFF671}
LinePhase=line2_B=1 {18AE5829-6EB8-4478-A201-66B90B0230FF}
LinePhase=line2_C=1 {BBEC0406-710A-46B9-8862-8A5B6C2323FF}
50=line2=1 {93F3EFB0-C09C-48F0-AE3D-0EE7DC512E7D}
50=line2=2 {44EF2DA8-4127-4A5E-BD20-3BDFE9A86806}
PosPt=Line.line2=1 {22765D86-C7C5-4AD4-8311-F91875B95115}
PosPt=Line.line2=2 {F3F00FCB-AD32-41F6-B49A-10326F50C7B3}
LoadResp=ConstkVA=1 {E2F5062B-EF12-4D20-BC70-9F150AC3825A}
LoadResp=ConstZ=1 {8A1E71A2-E56A-499D-8954-6E3052020BBE}
LoadResp=ConstPQuadQ=1 {4F81E6C0-80E2-4032-911A-15CD5EF0F477}
LoadResp=LinPQuadQ=1 {CD7AD7E7-ECCD-4A34-8077-3F00FC762141}
LoadResp=ConstI=1 {6F901844-5B74-4301-A04D-449FD362D9DD}
LoadResp=ConstQ=1 {4C3175B7-C99F-4DCB-AA4F-218A58C783C7}
LoadResp=ConstX=1 {63794900-A050-4ED0-B86F-0960B01D2574}
LoadLoc=load1a=1 {526611F8-7FAA-41FD-AC52-5E588DE0E722}
LoadPhase=load1a_A=1 {EA970421-EC26-4B12-8A6C-4F996684EB97}
59=load1a=1 {788584B9-0F26-4B51-B34C-49A1AD847474}
PosPt=Load.load1a=1 {607DE6BC-ED7D-4ECA-931A-F649CE79C208}
LoadLoc=load1b=1 {06DECE15-F376-43D0-A2DB-B156D4CF707E}
LoadPhase=load1b_B=1 {B96FF05A-AE2E-4297-970E-CF3E89EE0676}
59=load1b=1 {CDEAA09F-C0FB-4AB2-9089-E87EB80F5B8B}
PosPt=Load.load1b=1 {7A2C24BA-0DE9-466D-8AB0-983A0309551B}
LoadLoc=load1c=1 {8809D5C8-3126-41EB-A498-0B6E166A726B}
LoadPhase=load1c_C=1 {600E7AE7-9457-4FC6-9A41-F3059B519CA2}
59=load1c=1 {316B98B2-2E7C-4537-8C9E-EEC7D2CDF030}
PosPt=Load.load1c=1 {164AEEAB-6129-4685-BC30-AAB1037F1B53}
WirePos=WP_4wire_1=1 {00891F0F-7F54-48B6-BEC7-78E93C163754}
WirePos=WP_4wire_2=1 {1F05488A-77BF-4AC9-BE2A-377B4F41664D}
WirePos=WP_4wire_3=1 {919B82A1-BAD2-4841-B126-F371AD3B8119}
WirePos=WP_4wire_4=1 {803974D4-D3B7-4389-B327-E5989598B1FE}
WirePos=WP_3wire_1=1 {BE727252-D1BC-4FE1-8CDB-3BB11EA2D58E}
WirePos=WP_3wire_2=1 {5CA98C34-245D-4D9A-B095-6AFFFB918037}
WirePos=WP_3wire_3=1 {7C676D54-3C4E-4E18-8E47-541E37DE08C5}
NormAmps=OpLimI_305.6_416.7=1 {1F1BDE84-60F5-4E0C-8415-DCD811CF0372}
EmergAmps=OpLimI_305.6_416.7=1 {A738496B-8B32-49FE-ADA4-E27021317D22}
