Circuit.yybal {161B1872-2B5C-4CBF-9ED0-7193495CBE79}
Bus.sourcebus {7A81789A-2026-45ED-8DBC-7E1E360665A6}
Bus.n2 {1295706B-93F9-45A2-A43F-2D5A9A07D24F}
Bus.n3 {3988F53F-50DB-478C-BAEF-5A11A64E162D}
Bus.n4 {715EC853-0313-4B2B-8F65-D7C7383D03C0}
Vsource.source {BB36C003-18CB-4318-971B-5F4F542E964D}
Line.line1 {7B12786E-8EC0-4BD0-904F-208142369C54}
Transformer.t1 {AF891D18-EBF4-4B07-973D-70B60FF5EB17}
Line.line2 {0CC03F25-357C-4653-A9AB-3760AF63F348}
Load.load1 {82722529-D3BD-44AD-A600-3E4B5461FA64}
WireData.conductor {E5C9384A-1049-4004-A667-19FF1A4D1BF3}
WireData.neutral {2D8A3323-85E3-4504-B16C-02BE41B9D045}
LineGeometry.4wire {914A1536-6B50-4283-8631-A002E5776E84}
Station=Station=1 {A82154EB-EB9C-4221-8BB1-699C4A33950B}
GeoRgn=GeoRgn=1 {9F6E6EC2-1D2E-41A1-AB95-A5A0E4BB4800}
SubGeoRgn=SubGeoRgn=1 {CF945E61-DA92-4189-9F16-EF8AA2121F25}
CIMVer=IEC=1 {8785533A-90A9-4471-B768-16637AACD188}
CoordSys=Local=1 {3BA3F5F1-B216-420B-9EC8-366133AB3505}
FdrLoc=yybal=1 {E66796E0-F5B7-45FE-988C-56A61C001CC5}
TopoIsland=Island=1 {0E1D8970-A2A5-4398-AA33-BFF001D25B16}
OpLimT=NormalAmps=1 {46EFF1CB-F719-43CF-A8E2-F5462F17CF6C}
OpLimT=EmergencyAmps=1 {AF5A0BBF-FF92-4083-AFFF-563F8D923B71}
OpLimT=AHi=1 {040098CD-D630-4292-A041-6584E6B436B0}
OpLimT=ALo=1 {124231AA-AC2B-4A3C-BD00-FC44225776FC}
OpLimT=BHi=1 {3246C2F4-A16E-44DD-BED9-98DCDA148279}
OpLimT=BLo=1 {430FD275-ED6B-4ADA-AD54-C45A61E2331E}
BaseV=BaseV_12.4700=1 {DD13A9D7-FDC3-4DE6-BB09-7F1CEE0C702C}
OpLimV=OpLimV_12.4700=1 {A2731817-C867-491B-8249-B2084E203A11}
OpLimAHi=BaseV_12.4700=1 {E89AE74A-844D-4D99-A203-CE08B21D8F5B}
OpLimALo=BaseV_12.4700=1 {3E6F9BE3-8DAC-4395-94CB-68B4D5C145E5}
OpLimBHi=BaseV_12.4700=1 {0B6EADD1-B6B5-4617-BD3C-11F92D4F4156}
OpLimBLo=BaseV_12.4700=1 {E48CDC18-FC33-48D7-BD5D-CB11306CB19A}
BaseV=BaseV_4.1600=1 {4EF5EFD6-3FEE-4223-B341-2E7A16BABDF5}
OpLimV=OpLimV_4.1600=1 {D0D9DDDA-55EF-4210-A048-8623D39615BE}
OpLimAHi=BaseV_4.1600=1 {3D36DC60-C4E0-44EF-BF54-74BD9E2F8769}
OpLimALo=BaseV_4.1600=1 {32585220-6A33-40A7-8AC8-C74B7AF1B968}
OpLimBHi=BaseV_4.1600=1 {09D3EE25-E9D0-4711-BFCD-2CFB210CB2D9}
