Circuit.yyd {5F0B3FFA-C2D4-47D6-AB25-54231CEEA4B6}
Bus.b1 {3A9061E4-530C-486B-812A-86BD7E0FD507}
Bus.b2 {33D6F11F-CD12-47AF-A98B-2EECBC0D9BA5}
Bus.b3 {CC08581C-976C-4D53-AD1E-A589623EF262}
Bus.b4 {0842AF0E-0AB7-4FF2-8BFC-5482BAE8B785}
Bus.b5 {6D511481-A052-4956-878A-92B0FC8031F9}
Bus.b6 {A691E45E-CCA6-4E59-B1F5-A85056743361}
Vsource.source {D97C2DB7-FC60-4534-8D5F-66392B8536BE}
Line.tline1-2 {5436413E-642E-4590-8CEE-4FBEB9F907F0}
Line.dline3-4 {9299CFDF-9C3A-48CE-A049-215948A9B6DE}
Line.dline5-6 {DD1769D2-1D81-4CF4-8ECF-77BAC89A9905}
Transformer.yyd {283C7CB1-D335-49A1-8B7B-45150DAE0016}
Load.b4a {500C1D60-BBC6-4BCE-82EA-B24F8B1DC8D8}
Load.b4b {28DE45B3-8328-4DA9-9419-073A5B7C0D8F}
Load.b4c {394F1EF4-52AE-4C76-9776-D8CC91930557}
Load.b6 {02D73816-3AA9-4173-962E-62A90FD22BCD}
WireData.acsr336 {7A8A5D08-B1CD-41BB-9A40-8B7D3897D093}
WireData.acsr4/0 {BAE7DDC2-3782-45DF-A4C9-AC3B1CC33252}
LineGeometry.line1-2 {B630E0AA-318A-4EA8-B433-429F843DD56E}
LineGeometry.line3-4 {DB739773-7E06-4BBF-875B-23D59C847EFD}
LineGeometry.line5-6 {B8E1835C-ACB3-4B43-B47A-C17AC0635B44}
XfmrCode.yyd {C77CB121-BD00-4D43-B3F9-336113DB2762}
Station=Station=1 {F401E300-3DC9-40D8-B155-85A1BEA01BA4}
GeoRgn=GeoRgn=1 {1FE4D73F-F0D7-4CC5-8C08-EA4C08A506D3}
SubGeoRgn=SubGeoRgn=1 {EB9F67CF-9359-49ED-A88B-A8B0072E17D6}
CIMVer=IEC=1 {802D7AD0-BA46-481B-A851-C793EBBFB939}
CoordSys=Local=1 {906C6A19-B0F0-4588-B037-EDFCAC0723C2}
FdrLoc=yyd=1 {0374BDFE-BAF7-4147-904C-57164ECAE1D9}
TopoIsland=Island=1 {F3C99FAA-C06A-427F-B66A-F4086692F393}
OpLimT=NormalAmps=1 {8E285AB4-50A9-4F2E-B160-BDAF54B6A493}
OpLimT=EmergencyAmps=1 {28C7545E-A68D-4128-A62F-B82AF3C1DAAE}
OpLimT=AHi=1 {7CAAD214-BB7B-4E20-8124-AF13AA16BA9E}
OpLimT=ALo=1 {7135EF93-A14C-45F1-80F4-CE1C3A539F79}
OpLimT=BHi=1 {A8EEF23B-543E-426E-A993-650AFD23CE49}
OpLimT=BLo=1 {051508E5-8BD6-4B57-9D8E-BE47B2F81F0E}
BaseV=BaseV_69.0000=1 {6A4EE495-81C9-4995-A397-F933C51F4A3A}
OpLimV=OpLimV_69.0000=1 {A8550C4B-AAE1-4E05-9280-A10516DF33E5}
OpLimAHi=BaseV_69.0000=1 {1441D5BA-A369-4B5D-BAA2-0A311C689900}
OpLimALo=BaseV_69.0000=1 {C6BD84E6-6ABA-4846-B577-7462331A5370}
OpLimBHi=BaseV_69.0000=1 {074A7000-185A-4F1A-B84A-8559C1DA98BA}
OpLimBLo=BaseV_69.0000=1 {9A2CEF81-E015-4E09-9A5C-BD64CFFD039A}
BaseV=BaseV_13.2000=1 {0B9B570F-7F0C-4995-82ED-757394F02E7A}
OpLimV=OpLimV_13.2000=1 {FA8C6B4E-1B35-4030-B693-C9D8B76168B0}
OpLimAHi=BaseV_13.2000=1 {14D7F4A0-62F7-48B9-8635-813D9C7BB23F}
OpLimALo=BaseV_13.2000=1 {C0CB93B6-570B-4CB4-9B77-94461E9AC54E}
OpLimBHi=BaseV_13.2000=1 {DA0DA4B3-CFCF-4BCC-8549-9FD15A3E7251}
OpLimBLo=BaseV_13.2000=1 {69922A44-636C-40AD-BA8B-7E4663DABFD4}
BaseV=BaseV_2.4000=1 {C49A3060-8131-45F7-A316-FA885EAB933E}
OpLimV=OpLimV_2.4000=1 {7CCE6BBF-866D-4A4F-834F-6F4CA1FB7B5F}
OpLimAHi=BaseV_2.4000=1 {C92C6879-4AB4-4341-AC02-C412714F0FA6}
OpLimALo=BaseV_2.4000=1 {D6C3B11F-124A-48E5-BF4D-4EF146B5746D}
OpLimBHi=BaseV_2.4000=1 {1C7883CF-3DD0-455B-BC96-C1685718E1DA}
OpLimBLo=BaseV_2.4000=1 {2BC38E87-F18C-487D-B9B4-7EBDF6D89113}
Topo=b1=1 {088AD0DF-CD45-4ED7-9222-0337366AACA8}
Topo=b2=1 {2BC9E4A4-3070-4007-A971-8BD936F7ABCD}
Topo=b3=1 {F3639B84-0C79-420D-996F-7A8552D709A5}
Topo=b4=1 {0CE0E46E-A6B0-49A3-A60A-723F75E2BE90}
Topo=b5=1 {9495ADA8-C6F3-4F59-85A8-66DFDC7CB5B9}
Topo=b6=1 {2F533F18-AD31-4DD0-8D7E-51CC974A3C1D}
SrcLoc=source=1 {C13B1163-80D7-4338-A7EC-0738C0CBDE34}
25=source=1 {F6BD483B-CBAA-4285-A970-49D046974736}
PosPt=Vsource.source=1 {4A20BB0D-FDBF-4388-B33D-1450222FDBA2}
XfInfo=yyd=1 {78EAEC56-E013-4C30-802D-3331A3A15149}
WdgInf=yyd=1 {27A65860-9D42-46E6-954D-3770CC2A4508}
WdgInf=yyd=2 {B72DD38C-3FFD-41CE-8F0E-E86CDD570C00}
WdgInf=yyd=3 {E59E6086-F429-487C-8EC4-8EEE1944E42D}
OcTest=yyd=1 {E168CA75-85AC-4044-815B-7059A3EEC5CD}
ScTest=yyd=1 {49448FAA-3ABB-4A23-9C77-63106B6B5EB8}
ScTest=yyd=2 {6CC0E457-838C-43D4-AD89-7DF80F78E2E2}
ScTest=yyd=3 {A033ABCC-0286-4957-A3BB-FFC82EBDFA9B}
TankAsset=yyd=1 {082981F8-E0F3-4CE8-A8A6-03507FBEB3FF}
