Circuit.yydxn {2921AE75-39A1-40D1-98DE-8E7BE5DC3A66}
Bus.b1 {790974B9-43A1-4EAE-9028-E3752BDAB8EE}
Bus.b2 {C81B0748-21D8-4894-B5BD-5BA20BEB3439}
Bus.b3 {C46DA1F6-CEEA-4E5D-A046-A611F7A0FA93}
Bus.b4 {803ED569-9E77-4178-9755-4BAEE0FCEF0D}
Bus.b5 {136C4422-6C06-41CF-A37B-3A12CE8A4DCA}
Bus.b6 {AFD26D16-2215-4B2B-A20F-FA7F4E748EDA}
Vsource.source {7E9B1D4E-8542-4BCA-AC64-6C6B7C669C78}
Line.tline1-2 {C8766CBC-8F28-4A84-A8E4-9DF836690F7A}
Line.dline3-4 {B389C969-5469-450B-BED5-F0DA652863A7}
Line.dline5-6 {4026CA49-A446-4F18-814F-08F23ECBC0D4}
Transformer.yyd {B6734C63-6CA6-42B2-9D7B-E18B240049E8}
Load.b4a {B650623B-6C97-4655-9791-628AC4C32A44}
Load.b4b {1B884F46-C7F3-4F2B-BE6C-F98914758C85}
Load.b4c {523770BF-D90E-4390-8994-0B92121B5749}
Load.b6 {8BADB16F-861D-44BE-A1A9-74A72ECF6755}
WireData.acsr336 {6988DAE5-7883-41D5-8C78-C7A6F7A80997}
WireData.acsr4/0 {552411AD-3ACB-47A9-8BBD-AEC5AC2A7FF5}
LineGeometry.line1-2 {65B06FAE-64AB-4228-B134-6E475F946931}
LineGeometry.line3-4 {06A0686C-2786-4CDF-874D-B56776430EB4}
LineGeometry.line5-6 {AB713AF9-6D39-42E9-99A6-57EFB5EBF150}
Station=Station=1 {A7B878C9-38AA-4370-8E73-DB9288AA1F53}
GeoRgn=GeoRgn=1 {E5CDC38E-6ABA-4B47-90D4-CAF05E38ADF8}
SubGeoRgn=SubGeoRgn=1 {0A512F1F-3C5A-4217-95B1-894C94652C76}
CIMVer=IEC=1 {E19EC266-B56F-41D8-948B-B9CC3C43A1D4}
CoordSys=Local=1 {57100F5F-E443-459E-A9D8-4A9E7E9BB9D4}
FdrLoc=yydxn=1 {DF9A5EED-8E02-414C-B33D-A0C10AD94A09}
