Circuit.ieee390 {F4127C61-BD06-47DF-9558-28785E0934D9}
Bus.p1 {67742C7C-6B20-4257-99D2-35BA8FD6E9BF}
Bus.p2 {BE50B627-ADDD-4BF6-8499-C8394CA331BD}
Bus.p3 {AB919922-BEA9-4EBE-BA4A-C729D8EEAF1F}
Bus.p7 {ED10F04C-30B9-4141-94FF-8694F90949BE}
Bus.p6 {959C52F5-2BD6-4977-BEAA-0F4EB09F52DF}
Bus.p11 {59075403-1C3D-41DF-B6B0-FD891242FE2F}
Bus.p27 {3D2351FF-199B-47FC-8FBB-309F0A5A1E03}
Bus.p44 {A7F128E5-1AEE-489E-A6A6-246A743D5AA8}
Bus.p45 {C74F0578-7439-497D-9BC3-826A9C86719B}
Bus.p62 {95EAA30F-B481-4315-9533-1ABB46370A6C}
Bus.p10 {34195B34-90FE-4825-95D2-F004D311737C}
Bus.p81 {1C4B236D-BFEC-4DEF-A006-9E23E0E28611}
Bus.p97 {D726A54F-58C7-4871-9AEC-8619C389195C}
Bus.p116 {669FD56F-0B82-4B78-8463-2195EC971760}
Bus.p117 {8BB7DAD5-27DA-468A-8085-3FB103EBADB0}
Bus.p134 {8792FF04-2A63-49B9-BE49-5F7330366A23}
Bus.p12 {B1CDF186-9E97-4B79-835A-B96FE89B7EB4}
Bus.p13 {D6CB51DE-7485-428F-81CB-52280F8669B3}
Bus.p14 {6ACB244E-8AB2-4DAA-9B97-6DB28A3F68AD}
Bus.p15 {CBBD9AD7-69C8-4F33-98C7-DEEC8145AA07}
Bus.p16 {9307BE07-9F09-4B96-8C9B-AAACB34341B8}
Bus.p17 {B40BB43C-860B-4543-92C2-18F09B54A037}
Bus.p18 {F7D8EA96-83D0-4BB5-A817-40BD4BF03A9F}
Bus.p19 {EA6AE646-5E6B-45EA-932A-F07BD40A1DF4}
Bus.p20 {660234CE-A7DB-4F81-A156-94373E2B0EA6}
Bus.p21 {D0271CAC-91E7-4917-9CAA-DC04E02A729D}
Bus.p22 {9E2FDCFB-18D2-4B44-BA67-7531657CBA9F}
Bus.p23 {EED277A3-3EA2-4F7D-BBCA-09C49F1325ED}
Bus.p24 {5809B7D8-5A44-4400-9E6F-C96CC9CA57F0}
Bus.p25 {31BB29E2-ABE3-4B67-9954-FFA81F4CBBDD}
Bus.p26 {F446A6F1-446C-404B-BD4B-225E797BF8E2}
Bus.p28 {5B016478-6870-4927-BE20-7DED4D65FE3A}
Bus.p29 {B88156CA-B33E-4813-BCA8-926A2FDB00AA}
Bus.p30 {B7450382-9606-4718-B199-7C81971899BA}
Bus.p31 {006BBBD4-A980-43A5-B152-62E6529A9964}
Bus.p32 {DF4523EE-DD62-4F89-84A2-2464715C0572}
Bus.p33 {61517634-1AF3-478C-A3CA-958D98D15C80}
Bus.p34 {47962759-38F3-4E99-8050-86EEDF09CA08}
Bus.p35 {8A046759-8DF8-4050-A448-5A737229E0DA}
Bus.p36 {951EE65A-6787-4693-BD2B-CDE0A90587A8}
Bus.p37 {4C9C9615-FEE2-44C2-AE93-19CB40087AE2}
Bus.p38 {E3DD2249-7EED-4771-8E22-CFB2B633B0EF}
Bus.p39 {DCC61803-F957-44FC-8856-C6423D0A053C}
Bus.p40 {ABD1D485-B08F-400D-ACFC-E04D0519F7F3}
Bus.p41 {D85E41FD-6E27-444D-A4CA-F3536D51DE70}
Bus.p42 {6940D7B0-3BC7-4560-9752-30A456198326}
Bus.p43 {A782A265-F395-47C6-B77F-5F4EB3240D72}
Bus.p46 {827EA1A0-D77C-4760-8F26-7B74BDB97328}
Bus.p47 {11BC2822-0F36-44E9-BBFB-E05FD0881CDA}
Bus.p48 {B02AD9C6-4968-43EC-90A8-1BD625015FF6}
Bus.p49 {38FB942E-CC8E-4E77-B013-DAF6991AF35F}
Bus.p50 {AA1FE98C-5597-4BCA-B880-1E32DDF202F2}
Bus.p51 {496852A1-ADFB-4C44-B129-FD88E5E38D2C}
Bus.p52 {02F95407-14F5-41A4-A24A-A2E30542BD40}
Bus.p53 {893CFEA8-4B6D-4258-B01A-9C4D3C20CDEE}
Bus.p54 {9A9F22F0-F574-4276-8276-89B7E3146EBC}
Bus.p55 {85D171EF-6C11-4DCC-B15F-42B1D6E3D438}
Bus.p56 {C4D1F642-ADBD-4AA8-8DD8-E4F6EC1F073B}
Bus.p57 {C74D54B1-8D36-4075-A5C9-CE0BD3C8403E}
Bus.p58 {A16F13CE-3E79-41F9-BE1F-E3682319BDFD}
Bus.p59 {F3961145-9529-4334-ABED-BA9087C271D1}
Bus.p60 {E8A8E909-5E63-4AF8-8EAB-57116BB770E8}
Bus.p61 {535AFCA1-197C-49B6-B778-D5507504F843}
Bus.p63 {F82C64EB-2F5C-43BF-A344-949CBD1761F0}
Bus.p64 {FA63BB8D-0B2C-4B0E-9F62-C69EE5D7E48D}
Bus.p65 {6179D62B-94BB-4481-8D5F-FDA74B6CC259}
Bus.p66 {F44B31A7-D78D-4C34-8275-6E18AF50FAFF}
Bus.p67 {9C02A4F2-4CC0-4E49-B15C-44169E5CEBD0}
Bus.p68 {582C05A5-0953-4C3F-A90F-7C932ED13FF6}
Bus.p69 {30DC015A-2AE0-4D85-8C09-0CADC5460B50}
Bus.p70 {17D2F936-F83E-4F42-A5D5-822334A128FE}
Bus.p71 {CC64C657-C506-414E-8E13-1A8E1A45C6BE}
Bus.p72 {8D571F37-EC32-4449-98CD-5E60848BDDA1}
Bus.p73 {E48EBB28-2A21-41F2-B1AC-448C8EB1C109}
Bus.p74 {6CF341A8-D962-4C7E-A993-3D4D824A7CF5}
Bus.p75 {0A252750-D722-460C-B570-EA51BC8DA518}
Bus.p76 {5F47298D-5150-442B-AE6B-0EFB24D16440}
Bus.p77 {395930A7-4AD8-432A-BC4E-9D9962D31501}
Bus.p78 {6163A832-8814-458F-98E5-8D1A03420E99}
Bus.p79 {9A7C51E5-9E27-4B6B-BC67-C2E385323AEB}
Bus.p80 {E42EB02C-3E25-44C9-B259-3B2EC9AC881A}
Bus.p82 {03B5C30B-729C-4C07-B9D2-137DB3877151}
Bus.p83 {8D443FC3-CBAD-432D-8F37-CBD4D1CCCF2A}
Bus.p84 {6BF6B418-493C-4260-B15A-F33178D97801}
Bus.p85 {3FBF8CBB-BFE6-43AA-A9BD-400761D4BDD3}
Bus.p86 {A9148E86-E254-41A4-936D-1BFA0CCCE866}
Bus.p87 {58510C69-BB58-412C-AC70-5C9AEEA2D48B}
Bus.p88 {7FED5B18-D645-4B1E-8B4D-9E68909F35A3}
Bus.p89 {BBDDFB7A-CDD7-413A-B33C-A64FCCF52B0F}
Bus.p90 {531053F4-E2D5-4C0E-8F6A-AACE9741091B}
Bus.p91 {4F86A70A-15DC-4779-9DCC-D175C764B7E1}
Bus.p92 {54076579-3C4F-4DE4-A7F1-C81E6304D032}
Bus.p93 {4F1051C4-6DE6-487E-BC11-E257E34486C2}
Bus.p94 {673DA4A4-F1E3-4CBC-91E3-2A0D8E3BF2BC}
Bus.p95 {D81C40D9-A18D-430F-B8DB-54B6DE488EF9}
Bus.p96 {EF2F062A-FA32-4C4B-A65D-F35459631EF5}
Bus.p98 {2A808F0F-A60C-4107-B521-E8B7AFCC9154}
Bus.p99 {70C6B6E9-6DB1-4546-A651-51DAD05D5230}
Bus.p100 {E597C5A5-4DD5-403E-B617-FD6B3ADCDFEB}
Bus.p101 {E40226F9-90ED-4E61-A590-A426FAEC06CF}
Bus.p102 {CB1EA547-8118-49CC-B410-FA7F401D1FD9}
Bus.p103 {005C7690-99C8-4F37-A5E4-672C76B4BD95}
Bus.p104 {C31424C3-7D62-484E-80C0-B0113A2B641B}
Bus.p105 {2A075030-560E-464A-AE3F-7A7B351CC83A}
Bus.p106 {AC3D32F2-7002-4652-9BAF-A3333501B999}
Bus.p107 {736D92C6-6899-44B7-9E2D-434D44BF2549}
Bus.p108 {A7F9BDB3-F87A-47E5-A6B4-9EEB2F8E0D13}
Bus.p109 {91B615EE-E78C-4B91-9819-0E63D0EAE401}
Bus.p110 {7F61EA22-F3ED-4A73-A43D-A22720F6575B}
Bus.p111 {3BC02155-3C3E-4860-B327-D27864A21934}
Bus.p112 {7ADBC4C6-FEC6-487A-9B0A-9FB70FB9C0D2}
Bus.p113 {9AD51B74-7E1F-44E1-9C4F-18FBD9346594}
Bus.p114 {A18B3D00-B941-4C54-BDF3-AF1EC91B1609}
Bus.p115 {3ED2C5EC-19A0-40DD-89DF-E6795F7C6511}
Bus.p118 {57E9E703-39DE-4A1D-B84E-7482FA6D890B}
Bus.p119 {21119666-203C-4697-A746-A69AAC11C90B}
Bus.p120 {B0BE3A7E-134A-4A2B-BF9A-980E85EE0EF9}
Bus.p121 {BC261FB6-68CD-44E1-9B90-C91062416876}
Bus.p122 {BADCE9E8-31DC-4F73-BA8E-34EC6B9D03E1}
Bus.p123 {A266F8B2-7E78-415C-85C2-588D4E4C643A}
Bus.p124 {ED66DF79-7A93-4E37-B8AE-4747B00E311C}
Bus.p125 {422A6E8C-152E-4AF1-B1A6-36F23266EF2B}
Bus.p126 {CA563CF9-AA75-41A6-86AE-57CEDDAC7B25}
Bus.p127 {881FA8E8-19F1-4F65-92C2-BBFEA47D1F02}
Bus.p128 {42134A70-AA48-467F-A665-1BE9D486D598}
Bus.p129 {7C2611C1-4D2A-4E23-A380-548F10BABC29}
Bus.p130 {4E1353DC-7885-4645-BD4A-6E89C32E6628}
Bus.p131 {79F1BC02-5896-4738-A37A-6211D14C6217}
Bus.p132 {3156EDBD-AD5E-49DE-BFAC-CA650A06160C}
Bus.p133 {4CF8758F-2FAD-411C-9C64-AB38D2B4CF94}
Bus.p135 {412AF73D-3DFE-41AD-8013-FD4C5A0EAD92}
Bus.p136 {A6F85651-7657-44AD-9DEA-21D6782E6FD6}
Bus.p137 {B2E92B92-A9D5-4DA4-B8B5-C633C4CA9E09}
Bus.p138 {380DACE7-836D-4178-AA31-A622B68827D2}
Bus.p139 {BAF24DCC-3DDF-4DC0-977A-A728904F8626}
Bus.p140 {43CF2CB2-393F-418E-9A09-402FEC550AB2}
Bus.p141 {D355E78A-D06E-4B8D-B03F-59C2DD97F8F0}
Bus.p142 {B239B8AE-D8E8-41A9-B01D-900B42AE3EBC}
Bus.p143 {76D645FD-4959-411F-B8A5-948CB88FECA0}
Bus.p144 {2B0E122E-33B3-470D-A54C-6781A3A08D36}
Bus.p145 {24EB9D20-FAB6-42E5-B380-E6444EB15E77}
Bus.p146 {3D0E64DE-CEEC-451C-957F-8A13344C5146}
Bus.p147 {2431BDAD-7116-46D9-AB53-D57B3CB06960}
Bus.p148 {8D346032-24AF-4901-B607-7B9D1178C705}
Bus.p149 {7DF42B45-DC56-47EB-AB0A-55C12827A157}
Bus.p150 {37C01B13-C2BC-4CE9-8394-5A305D01F578}
Bus.s194 {487EFE47-F3D9-420C-BCE7-D220C8E2B14F}
Bus.s193 {9119DC70-788F-4EB1-A6BF-CD27BEED437C}
Bus.s195 {306F44B0-4F53-41FC-BEAD-5014D9DEECC2}
Bus.s199 {869B1A33-38BA-46CC-A373-93554617F144}
Bus.s198 {010A9E2F-75BA-4235-BEF4-373A742AC961}
Bus.s200 {1A64AF3E-7ABA-4A87-854A-41FD64DBB786}
Bus.s204 {C07446DF-F96C-47AD-A277-AE1B14B4985C}
Bus.s203 {93B9A5DA-7C31-42FF-9524-070A9B885D08}
Bus.s205 {6E886654-3A0D-4193-ABFE-229F8414525F}
Bus.s206 {53B5DDC2-4211-4FE9-90E6-6059F24A0CB2}
Bus.s211 {32EEBD38-B764-4ED2-88B7-75091A4ADBD0}
Bus.s210 {4975EB08-32D3-4B58-B42E-737A7C2D714C}
Bus.s212 {2A5A73E8-3A10-4C2A-8E60-23DB7E701086}
Bus.s213 {8A65E870-5BD5-437B-B6DE-F4666C94861A}
Bus.s218 {5D56282F-9589-4984-BB54-29A846E483E7}
Bus.s217 {C9D40C98-E6DB-449C-A3F2-95589C1B520D}
Bus.s219 {5B1DEBD2-FD17-4840-9F57-CB035589E4C0}
Bus.s220 {0AC7D3CC-2EB5-4EF2-B49C-4F45E32FDC16}
Bus.s225 {E39DF5AE-F686-4012-9CE6-AD065FB33529}
Bus.s224 {FA1C9C5B-4A1A-4FB3-AC75-854FD3540959}
Bus.s226 {6DCF89E3-CB10-4CF9-BFE3-B3D1322E06FD}
Bus.s227 {F2FA2365-2561-4AED-A710-36C10F1A534D}
Bus.s232 {7CA65E75-89DF-462F-892E-0444C4B441A5}
Bus.s231 {2D1DDA36-CD6D-4320-8DF7-A7A5A98D1F02}
Bus.s233 {B04BAE1A-A49A-4E97-806C-487C7660F008}
Bus.s237 {C017497B-8B86-4BBC-89F4-710F5D52BC3D}
Bus.s236 {EB0BDFDE-600C-4922-B142-A8E5BF129484}
