Circuit.ieee390par {EE33AEC3-8835-45BC-85B1-0E019F5EE070}
Bus.p1 {7F494F17-DFE4-440A-BB8A-D48250BE6F94}
Bus.p2 {D93E52C8-A9F7-4208-9A7C-E8C541FA4EAC}
Bus.p3 {97F2632D-9D9B-4749-9FAD-ECC020FF6B3C}
Bus.p7 {A53E3168-B660-4AEF-9BD2-4F0F0C09FA4A}
Bus.p6 {29AB29F2-1B53-4FF7-9BB2-2CEFC7E2E8C1}
Bus.p11 {4DBD9B6B-D344-4D76-9105-4341EAB35BDD}
Bus.p27 {424BA1C4-B2B3-4B6D-8EB4-D9EBC836EBC6}
Bus.p44 {F2DA40A3-9183-446F-A281-CE876AC99AB8}
Bus.p45 {F8770F0D-939C-473B-AC88-2600ECFC5887}
Bus.p62 {F388E740-D5E9-45FA-BFA0-D78CAB98E92D}
Bus.p10 {A18026DB-DE87-470E-AC3C-0D8C7419CD90}
Bus.p81 {05244FF9-B1D6-4CB3-820A-F530E1F4B99B}
Bus.p97 {9DED28DB-CF38-40FB-B2BB-EA878A8F5276}
Bus.p116 {7F7D5C1D-CD4B-4373-85D1-C3E6336ABEB1}
Bus.p117 {73E7EC99-F542-4FC5-85BE-0DC0B919D62E}
Bus.p134 {D9B6E013-095E-4A25-9954-7AE50CDE2652}
Bus.p12 {3E695901-4D03-44C3-8EB4-A8801A359727}
Bus.p13 {DAB28511-E2E2-4F8E-A323-648C9B629879}
Bus.p14 {E0C83A2A-8C12-4B14-A30B-D9B2EB61ED96}
Bus.p15 {BCF8D721-F55B-4897-A1FA-587B25C76FFF}
Bus.p16 {4219AF1C-292B-4BB2-A765-E3B72B4291AE}
Bus.p17 {3A202B81-1EF5-4F03-94BE-6AD7C6BD4C22}
Bus.p18 {4FF31F7C-916D-4790-936B-0236FAB16AB9}
Bus.p19 {8CB8C9CA-1C81-4ABC-8476-66F8AF8C7375}
Bus.p20 {A264B80A-B795-4815-828F-BD473BA4A143}
Bus.p21 {78C7658E-7A58-4037-9964-61F5F7CBD672}
Bus.p22 {76D26E47-F4EF-4330-B116-9364791404F7}
Bus.p23 {53D94FC2-979B-4D49-A6A4-E79AC86170CB}
Bus.p24 {9B06020B-EEAA-497A-8752-DDB4FC7E7D66}
Bus.p25 {EC6A7BC5-2D17-446E-99B8-8FDD77D7D3EC}
Bus.p26 {C4FEFDEB-38B2-4AE0-9A76-CE2BE7156F6A}
Bus.p28 {6E2B3B0E-80A9-4777-8660-DB953A699B50}
Bus.p29 {D3BE1CF9-CEB7-4D34-9963-CF410E63858B}
Bus.p30 {CD2FA926-CF3B-4AE8-81EE-93C91BFC84EC}
Bus.p31 {6B31619D-355A-4E8B-B17A-447BE1A66504}
Bus.p32 {14B4585E-C51A-4046-8BD1-B5E759B246ED}
Bus.p33 {1CEF80DA-C99A-4198-88C9-38745272637D}
Bus.p34 {A2DB8CCE-3966-4D91-B949-548D5C08BA3F}
Bus.p35 {6D5002E6-E902-45BB-ACF3-1A4FF6762B0C}
Bus.p36 {C118ADE2-0479-4498-B93B-BFC652B2A9C0}
Bus.p37 {734405CB-F028-4ED2-BC55-5CB1A4E7736E}
Bus.p38 {266ADF2D-69CC-4B22-A531-9C0AFC394695}
Bus.p39 {4440451B-C2E0-4645-8471-C30AA91F4F74}
Bus.p40 {0D98A4E0-8E55-439D-AFED-D0F0991689DB}
Bus.p41 {96AD6134-BFCF-4A33-AD2D-457B6644A96A}
Bus.p42 {9FF4E519-7C7E-4051-8ED2-CE4A31649222}
Bus.p43 {460C1D6E-1DDE-45FB-8304-B7A25E34F1A4}
Bus.p46 {F4DA6FFD-BA10-4B0B-995A-3B566D63ADA1}
