# timestamp,distribution_load,positive_sequence_voltage,power_in,current_in_A,current_in_B,current_in_C,ld_s35a:measured_power,ld_s47:measured_power,ld_s48:measured_power,ld_s65a:measured_power,ld_s76a:measured_power,7_pvmtr:measured_power,17_pvmtr:measured_power,29_pvmtr:measured_power,43_pvmtr:measured_power,49_pvmtr:measured_power,55_pvmtr:measured_power,63_pvmtr:measured_power,68_pvmtr:measured_power,75_pvmtr:measured_power,80_pvmtr:measured_power,87_pvmtr:measured_power,96_pvmtr:measured_power,104_pvmtr:measured_power,113_pvmtr:measured_power,temperature,humidity,solar_flux,pressure,wind_speed,xf_xfs49a:power_in,xf_xfs69a:power_in,xf_xfs29a:power_in,xf_xfs77b:power_in,xf_xfs9a:power_in,xf_xfs109a:power_in,xf_xfs53a:power_in,xf_xfs33a:power_in,xf_xfs45a:power_in,xf_xfs49c:power_in,xf_xfs17c:power_in,xf_xfs37a:power_in,xf_xfs49b:power_in,xf_xfs60a:power_in,xf_xfs113a:power_in,xf_xfs5c:power_in,xf_xfs96b:power_in,xf_xfs84c:power_in,xf_xfs80b:power_in,xf_xfs92c:power_in,xf_xfs1a:power_in,xf_xfs98a:power_in,xf_xfs66c:power_in,xf_xfs86b:power_in,xf_xfs42a:power_in,xf_xfs10a:power_in,xf_xfs22b:power_in,xf_xfs34c:power_in,xf_xfs46a:power_in,xf_xfs58b:power_in,xf_xfs38b:power_in,xf_xfs112a:power_in,xf_xfs100c:power_in,xf_xfs104c:power_in,xf_xfs41c:power_in,xf_xfs6c:power_in,xf_xfs85c:power_in,xf_xfs73c:power_in,xf_xfs2b:power_in,xf_xfs39b:power_in,xf_xfs79a:power_in,xf_xfs19a:power_in,xf_xfs7a:power_in,xf_xfs99b:power_in,xf_xfs87b:power_in,xf_xfs63a:power_in,xf_xfs43b:power_in,xf_xfs107b:power_in,xf_xfs11a:power_in,xf_xfs55a:power_in,xf_xfs59b:power_in,xf_xfs111a:power_in,xf_xfs103c:power_in,xf_xfs50c:power_in,xf_xfs62c:power_in,xf_xfs30c:power_in,xf_xfs74c:power_in,xf_xfs94a:power_in,xf_xfs82a:power_in,xf_xfs70a:power_in,xf_xfs90b:power_in,xf_xfs28a:power_in,xf_xfs68a:power_in,xf_xfs88a:power_in,xf_xfs32c:power_in,xf_xfs52a:power_in,xf_xfs64b:power_in,xf_xfs20a:power_in,xf_xfs12b:power_in,xf_xfs24c:power_in,xf_xfs56b:power_in,xf_xfs16c:power_in,xf_xfs102c:power_in,xf_xfs106b:power_in,xf_xfs114a:power_in,xf_xfs31c:power_in,xf_xfs51a:power_in,xf_xfs75c:power_in,xf_xfs95b:power_in,xf_xfs71a:power_in,xf_xfs83c:power_in,xf_xfs4c:power_in,sub_p,sub_q,fdrIa,fdrIb,fdrIc,pvS,primaryS,secondaryS,pvP,primaryP,secondaryP
2013-08-10 00:00:00,(1268380-370772j),(2401.78+0j),(1268360-370762j),(212.014+42.7372j),(-27.2367-146.991j),(-126.128+106.58j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,78.982,0.74,0.0,997.0,4.69757,(15045.6+3996.81j),(13085.4+3700.38j),(22277.5+5426.17j),(7316.07+2343.28j),(15304.1+4118.34j),(9819.76+2833.37j),(17353.1+4413.43j),(12792.6+3593.37j),(9477.08+2605.28j),(12444.1+3427.89j),(3531.15+1110.8j),(9901.86+2896.89j),(37060.3+9267.68j),(6369.03+1784.64j),(13307.7+3810.52j),(7073.87+2130.84j),(6518.21+1847.5j),(3542.42+1114.98j),(10144.9+3000.73j),(15869.5+4353.26j),(17569.9+4517.68j),(10166.8+3002.5j),(16919+5092.67j),(3881.59+1280.73j),(9107.41+2422.47j),(11193.9+2737.69j),(19948.3+4974.32j),(6442.55+1919.39j),(6363.33+1784.71j),(3984.45+1331.82j),(6338.23+1769.4j),(3622.9+1153.75j),(10012.6+2935.13j),(10086.6+2971.67j),(6627.28+1912.52j),(12771+3585.88j),(10048.6+2951.08j),(15359+4105.91j),(9357.63+2539.88j),(9167.81+2446.91j),(12907.5+3610.26j),(25496.7+6310.78j),(8955.33+2343.56j),(15532.7+4199.26j),(13425.4+3885.62j),(12192.6+3302.12j),(13561.2+3973.44j),(13189.8+3771.63j),(13167.4+3782.46j),(5948.96+1579.57j),(9078.11+2399.85j),(3788.54+1234.5j),(9839.29+2850.64j),(17826.2+4648.46j),(9611.1+2751.35j),(20217.3+5115.08j),(15042.1+3950.69j),(10093.6+2965.86j),(10429.3+3127.98j),(6231.51+1697.84j),(10252.6+3054.4j),(9763.22+2828.79j),(3643.59+1163.78j),(13039.5+3675.52j),(6629.6+1913.76j),(12758.3+3581.34j),(15953.1+4618.93j),(12009.8+3216.55j),(9305.25+2513.48j),(9872.68+2881.25j),(6314.9+1756.67j),(9930.26+2908.47j),(8842.07+2262.9j),(9926.32+2895.77j),(6512.05+1835.79j),(3928.01+1304.56j),(11413.6+2851.65j),(12818.5+3584.29j),(9119.72+2403.29j),(10450.2+3141.3j),(6736.34+1950.11j),(9753.69+2821.91j),1268380.0,-370772.0,216.27853444075305,149.49311659033003,165.12894593014272,0j,(348983.9+247590.21000000002j),(902711.07+249877.73j),0.0,348983.9,902711.07
2013-08-10 00:15:00,(1310980-348922j),(2401.78+0j),(1310960-348912j),(217.224+40.3224j),(-36.1624-152.5j),(-126.258+109.539j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,78.4026,0.764687,0.0,996.125,4.82339,(14852.5+3902.54j),(12703.2+3513.53j),(22123.7+5350.9j),(7102.71+2239.34j),(14842.3+3891.57j),(9614.7+2733.39j),(17348.1+4411.54j),(12326.4+3365.06j),(12420+4436.16j),(12056+3237.4j),(3313.96+1004.88j),(9748.97+2822.3j),(39535.1+10446.7j),(6031.58+1619.33j),(12979.2+3649.88j),(6828.52+2010.34j),(11280.9+3484.04j),(3543+1115.26j),(9985.86+2923.48j),(15596+4218.6j),(20674.1+5639.61j),(14501.2+4946.41j),(16528.6+4901.84j),(3601.51+1144.17j),(8964.06+2352.16j),(13565.2+3902.37j),(19832.2+4917.86j),(6443.34+1919.77j),(6360.14+1783.38j),(3980.56+1329.96j),(6110.59+1657.95j),(3621.57+1153.12j),(9638.25+2752.11j),(9880.5+2870.9j),(6441.21+1821.12j),(15598.3+5243.88j),(10050.2+2951.77j),(15132.9+3994.67j),(9356.46+2539.43j),(9164.34+2445.56j),(12765.3+3540.98j),(25236.8+6182.75j),(8672.01+2204.04j),(15053.2+3965.01j),(13132.1+3742.81j),(14515.5+4247.09j),(13257.8+3824.85j),(13018.7+3688.66j),(13026.2+3713.38j),(5947.12+1578.82j),(15923.8+5946.26j),(3787.11+1233.82j),(14818+5001.55j),(17443.8+4459.58j),(9317.1+2607.51j),(19858.4+4937.31j),(19275.6+6092.48j),(10089.6+2964.13j),(10235.3+3033.37j),(6229.43+1697j),(9820.58+2843.72j),(9566.85+2732.92j),(3420.98+1055.32j),(13034.6+3673.5j),(6448.11+1824.61j),(12570.6+3489.54j),(24250.8+8958.28j),(11716.3+3073.02j),(9015.16+2370.66j),(9469.64+2684.05j),(10127+3893.44j),(9611.44+2752.47j),(8707.42+2196.57j),(9747.18+2808.7j),(6509.85+1834.89j),(3928.74+1304.91j),(14580.5+3952.16j),(12480.9+3418.82j),(8805.74+2249.69j),(9836.99+2841.82j),(6541.94+1854.73j),(9370.29+2634.44j),1310980.0,-348922.0,220.93474628894387,156.72896724524156,167.1522512112834,0j,(348983.9+247590.21000000002j),(944842.4100000001+269753.94000000006j),0.0,348983.9,944842.4100000001
2013-08-10 00:30:00,(1327290-339352j),(2401.78+0j),(1327270-339341j),(219.957+38.8644j),(-32.6223-150.15j),(-126.368+118.265j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,77.8795,0.78625,0.0,995.5,4.86534,(14434.7+3696.87j),(12501.9+3415.53j),(21628.2+5105.16j),(7108.45+2242.07j),(14660.1+3801.93j),(9608.26+2730.6j),(20224.7+6027.9j),(12328.1+3365.78j),(9283+2509.72j),(11908.4+3165.66j),(14428.1+6696.43j),(9585.98+2742.51j),(38158.9+9693.74j),(6028.96+1618.26j),(12541.8+3436.39j),(6596.71+1896.68j),(6168.75+1676.37j),(3320.08+1006.64j),(9721.5+2793.87j),(15173.2+4011.74j),(19539.4+5592.14j),(16110.9+4938.81j),(16135.4+4710.16j),(3604.47+1145.57j),(8965.61+2352.76j),(10944.3+2614.28j),(19466.3+4736.5j),(6439.45+1917.92j),(6361.55+1783.97j),(3983.29+1331.26j),(5985.82+1596.65j),(3618.79+1151.8j),(9443.09+2657.04j),(9692.58+2779.26j),(6437.25+1819.46j),(19999.7+7678.51j),(10044.4+2949.24j),(14606.4+3737j),(9057.12+2391.67j),(8727.89+2230.08j),(12448.1+3386.2j),(24976.1+6052.84j),(8521.82+2130.01j),(14913.8+3895.46j),(12988.6+3671.7j),(15408.9+4614.4j),(12922.3+3659.96j),(12874.1+3617.04j),(12683.4+3545.1j),(5946.06+1578.39j),(12060+3694.3j),(3784.2+1232.43j),(9658.7+2762.59j),(19924.5+5630.92j),(9312.17+2605.37j),(21757.8+5617.43j),(22586.7+7964.08j),(9899.17+2871.4j),(10057.6+2946.84j),(9722.45+3529.5j),(14773.6+5777.36j),(9217.93+2562.24j),(3418.96+1054.35j),(17435.8+5291.06j),(6231.65+1718.7j),(12222.1+3318.71j),(22314.4+8034.33j),(11467.5+2950.99j),(8838.15+2283.22j),(9297.95+2600.39j),(11028.4+4118.47j),(13759.8+4868.92j),(8592.74+2140.56j),(9356.65+2617.45j),(9649.67+3663.79j),(3926.13+1303.66j),(15917.1+4678.94j),(12288.8+3325.34j),(8812.52+2252.26j),(9830.63+2839.06j),(6365+1768.3j),(9219.76+2560.96j),1327290.0,-339352.0,223.36410507590514,153.6529757514966,173.07651963510244,0j,(348983.9+247590.21000000002j),(960985.2100000003+278482.95j),0.0,348983.9,960985.2100000003
2013-08-10 00:45:00,(1318310-347166j),(2401.78+0j),(1318290-347155j),(223.153+37.238j),(-28.616-148.44j),(-126.568+114.325j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,77.4126,0.804688,0.0,995.125,4.82339,(14316.9+3639.44j),(12371.5+3351.05j),(21400.6+4993.51j),(6838.64+2110.54j),(20852.8+7264.82j),(9306.05+2582.64j),(22458.4+6827.69j),(17401.7+5263.8j),(11873.9+4162.17j),(11782+3103.7j),(3312.44+1004.16j),(9314.68+2610.01j),(35566.9+8529.36j),(6031.42+1619.26j),(12551.8+3440.45j),(6596.95+1896.78j),(16037.2+5292.1j),(3320.48+1006.83j),(9568.68+2719.15j),(22042.2+7137.56j),(19272.6+5460.16j),(16095+4933.76j),(15903.9+4597.13j),(3604.5+1145.59j),(8652.31+2198.6j),(15712.1+5404.46j),(19133.2+4570.96j),(6109.18+1756.95j),(6009.42+1611.43j),(3675.63+1181.11j),(5988.6+1597.79j),(3399.06+1044.68j),(9444.05+2657.45j),(9520.29+2695.01j),(6242.32+1723.83j),(19859.7+7607.36j),(9483.58+2675.1j),(14608.3+3737.76j),(8875.47+2302j),(8731.83+2231.59j),(12240.2+3283.83j),(33900.9+10155.2j),(8520.68+2129.57j),(14746.2+3812.98j),(12649.9+3505.73j),(11608.8+3016.31j),(12743.7+3571.81j),(12459.1+3413.49j),(12385.4+3399.27j),(5665.67+1440.97j),(12613.7+3771.79j),(3515.05+1101.19j),(9292.97+2583.84j),(19914+5395.88j),(9098.33+2500.82j),(24306.9+6766.01j),(18855.6+5885.58j),(9530.06+2690.69j),(9806.79+2823.99j),(5934.97+1552.85j),(9648.02+2759.02j),(9214.26+2560.64j),(3420.94+1055.29j),(12349.2+3337.71j),(6231.46+1718.62j),(12053+3235.83j),(18510.8+5952.06j),(11462.8+2949.05j),(8840.37+2284.07j),(9297.81+2600.33j),(5987.79+1596.26j),(13746.4+4861.93j),(8463.89+2077.07j),(9357.69+2617.9j),(6161.02+1664.01j),(3637.18+1162.64j),(14321.8+3826.99j),(12160.3+3262.18j),(8699.58+2196.82j),(9836.95+2841.8j),(6365.65+1768.57j),(9220.07+2561.1j),1318310.0,-347166.0,226.23865729136566,151.17310956648342,170.55692377913013,0j,(348983.9+247590.21000000002j),(952042.1800000002+271379.42999999993j),0.0,348983.9,952042.1800000002
2013-08-10 01:00:00,(1173030-363758j),(2401.78+0j),(1173010-363750j),(190.432+44.7458j),(-27.0833-139.638j),(-119.931+98.3978j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,77.002,0.82,0.0,995.0,4.69757,(11806.7+3411.42j),(10269.2+3156.96j),(17368.5+4609.58j),(5793.86+2012.75j),(12009.8+3509.04j),(7731.23+2439.98j),(13560.5+3757.53j),(10062.3+3065.79j),(7443.15+2205.97j),(9762.88+2920.98j),(2806.4+959.614j),(7809.7+2478.28j),(37243.4+12037.5j),(5021.32+1528.45j),(10453.8+3247.44j),(5582.06+1803.1j),(5126.34+1577.24j),(2800.95+960.74j),(7999.73+2570.9j),(12417.3+3692.42j),(20156.4+7264.46j),(14503.9+4780.63j),(13377.4+4375.2j),(3082.77+1096.77j),(7144.74+2059.16j),(11197.1+3829.26j),(15552.1+4222.78j),(5096.41+1667.81j),(5006.58+1522.04j),(3162.37+1133.35j),(4965.87+1501.5j),(2875.39+998.435j),(7888.75+2516.74j),(7967.03+2554.94j),(5232.35+1632.11j),(15889.2+6051.23j),(7923.86+2533.88j),(14531.2+4493.55j),(7345.08+2155.43j),(7197.33+2083.29j),(10130.7+3088.46j),(21915.4+6404.58j),(10937.8+3992.76j),(12139.5+3561.65j),(10564.6+3306.98j),(9588.3+2834.78j),(10697.1+3377.67j),(17671.5+7088.66j),(10368+3216.89j),(4656.27+1350.21j),(14450+5618.92j),(2991.66+1055.04j),(7738.7+2443.55j),(17324.7+5108.18j),(7578.83+2365.57j),(20750.9+7180.19j),(18767.6+6436.57j),(7950.13+2546.75j),(8222.57+2679.64j),(4883.49+1455.8j),(12992.4+5516.42j),(7708.36+2428.81j),(2896.35+1008.76j),(14766.4+4817.51j),(5221.99+1627.06j),(10035.4+3054.03j),(15935.5+5734.88j),(9452.57+2769.57j),(7306.72+2136.44j),(7783.51+2465.48j),(4963.06+1499.8j),(12214.3+4715.6j),(6905.92+1929.6j),(11779+4717.77j),(5111.85+1567.49j),(3133.63+1118.81j),(14772.6+4494.17j),(15012.3+5241.23j),(7136.92+2045.26j),(8262.85+2699.27j),(5323.74+1672.33j),(7697.22+2423.35j),1173030.0,-363758.0,195.61833564786303,142.24020592958237,155.13082158565396,0j,(348983.9+247590.21000000002j),(808905.2899999998+261214.7390000001j),0.0,348983.9,808905.2899999998
2013-08-10 01:15:00,(1202320-346601j),(2401.78+0j),(1202300-346592j),(203.421+36.8243j),(-22.932-137.832j),(-119.7+101.291j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,76.5295,0.83125,0.0,995.688,4.55077,(16041.7+5535.39j),(12566.4+3918.49j),(17270.7+4562.42j),(5683.7+1959.52j),(21370.9+8013.32j),(12094.1+5036.08j),(19821.8+6838.14j),(9785.2+2930.47j),(7436.71+2203.17j),(9530.33+2807.36j),(2679.66+897.865j),(7716.56+2432.82j),(36962.2+12082.5j),(4820.13+1430.24j),(10248.1+3147.33j),(5437.44+1732.3j),(9917.79+3230.21j),(2799.5+959.97j),(7925.59+2534.72j),(14763.8+5061.04j),(16023.9+5069.35j),(14330+4700.2j),(13141.8+4260.24j),(2927.39+1021.29j),(10412.4+3745.05j),(13573.9+4996.06j),(15499+4195.89j),(5095.11+1667.12j),(5002.18+1520.01j),(3166.57+1135.53j),(4837.36+1438.55j),(2870.27+995.718j),(7665.65+2407.92j),(7842.82+2494.35j),(5121.78+1578.05j),(15525.5+5871.79j),(7919.94+2531.96j),(11873.8+3427.84j),(7346.62+2156.1j),(7202.37+2085.47j),(10036.3+3042.76j),(23758.7+7171.48j),(6832.44+1904.5j),(11885.6+3436.44j),(10418.4+3235.07j),(13845.2+4627.39j),(10532.5+3296.87j),(10298.7+3176.96j),(10279.7+3173.88j),(4651.59+1348.06j),(10495.3+3528.35j),(2986.23+1052.17j),(7734.48+2441.49j),(19544.3+6369.74j),(10769.6+4076.63j),(23428.8+8494.84j),(15031.1+5209.36j),(7938.74+2541.18j),(8099.76+2619.73j),(8335.42+3262.55j),(7851.52+2498.59j),(7590.11+2371.1j),(2763.65+943.964j),(10225.9+3135.55j),(5113.8+1574.17j),(13833.9+5371.42j),(20773.2+8263.74j),(9277.47+2684.18j),(7143.97+2056.27j),(7544.51+2348.84j),(8799.61+3639.34j),(12008.9+4614.6j),(6823.23+1889.27j),(7706.59+2427.88j),(5103.51+1563.64j),(3132.32+1118.13j),(11245.3+3512.86j),(15251.1+5205.56j),(6970.53+1963.01j),(12388+5157.38j),(5208.29+1615.95j),(11842+4238.09j),1202320.0,-346601.0,206.72719296572959,139.72665045724096,156.8054740147805,0j,(348983.9+247590.21000000002j),(837750.9400000003+276814.82700000005j),0.0,348983.9,837750.9400000003
2013-08-10 01:30:00,(1145570-378639j),(2401.78+0j),(1145550-378631j),(195.839+41.5177j),(-16.5901-133.736j),(-119.55+91.6288j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,76.192,0.84,0.0,996.25,4.27814,(11447.6+3235.7j),(9929.15+2990.96j),(16983.5+4420.66j),(5684.84+1960.12j),(11632.7+3324.43j),(7609.18+2380.48j),(16156.5+5123.28j),(9787.3+2931.44j),(10224.6+3944.28j),(9450.4+2768.24j),(2680.29+898.199j),(7622.09+2386.71j),(28406.1+7631.92j),(4823.68+1431.87j),(10008.8+3030.13j),(5305.26+1667.55j),(9817.55+3325.19j),(2671.02+897.453j),(7769.65+2458.65j),(14516.9+4939.17j),(15897.3+5006.72j),(7676.2+2413.16j),(12919.7+4152.01j),(2927.78+1021.5j),(9958.4+3444.58j),(11033.1+3746.46j),(15286.6+4091.2j),(5096.18+1667.69j),(5003.64+1520.69j),(3167.51+1136.02j),(4764.88+1403.08j),(2873.68+997.527j),(7556.3+2354.59j),(7735.72+2442.11j),(5122.81+1578.53j),(9701.96+2890.61j),(7920.87+2532.42j),(11572.4+3280.19j),(7171.75+2070.16j),(6949.95+1961.37j),(9862.92+2957.87j),(27401.8+8557.84j),(10101.2+3038.71j),(11799.5+3394.22j),(10330.1+3191.86j),(17199.1+6013.14j),(15145.7+5600.89j),(10210.5+3133.78j),(12982.4+4680.03j),(4654.11+1349.22j),(6873.75+1922.74j),(2989.84+1054.08j),(12524.4+4499.79j),(20164.6+6799.97j),(7404.62+2280.57j),(17531.5+4942.43j),(14494.7+4809.47j),(11866.8+4770.36j),(14936.8+5246.58j),(4880.56+1454.45j),(12734.5+5387.18j),(7387.88+2272.42j),(2766.42+945.44j),(10150.6+3098.57j),(4991.03+1514.06j),(9721.01+2900.35j),(12320.7+3860.99j),(11584.6+3818.98j),(7040.6+2005.46j),(7450.32+2302.88j),(4869.33+1453.8j),(7493.19+2323.79j),(6759.48+1857.99j),(7475.64+2315.23j),(4905.4+1466.7j),(3133.53+1118.76j),(12003.4+3480.53j),(15131.5+5147.8j),(6971.09+1963.25j),(7903.81+2524.15j),(5108.61+1567.21j),(7389.29+2273.1j),1145570.0,-378639.0,200.19149166308242,134.7610816000302,150.62549415500683,0j,(348983.9+247590.21000000002j),(781510.67+246753.689j),0.0,348983.9,781510.67
2013-08-10 01:45:00,(1144400-377397j),(2401.78+0j),(1144380-377389j),(192.167+43.2785j),(-13.0675-131.46j),(-119.405+99.7205j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,75.9895,0.84625,0.0,996.688,3.87969,(16170.8+5068.22j),(12384.4+3829.78j),(18863.2+5304.46j),(5529.55+1884.61j),(11566.6+3291.86j),(7435.92+2296.02j),(16021.3+5271.98j),(13564.5+4843.67j),(7137.28+2055.66j),(9372.96+2730.5j),(2678.91+897.468j),(7469.48+2312.23j),(32536.9+9554.5j),(4827.49+1433.63j),(10014.8+3032.88j),(5304.37+1667.13j),(4935.79+1483.79j),(2666.58+895.078j),(7683.01+2416.4j),(18380.5+6888.94j),(19097.7+5884.62j),(12165+4525.78j),(12766.3+4076.93j),(2929.29+1022.3j),(6882+1930.13j),(10920.1+3539.13j),(15088.4+3993.69j),(4902.15+1573.14j),(4801.9+1421.94j),(2987.29+1048.22j),(4765.06+1403.16j),(2746.47+935.712j),(7545.57+2349.36j),(12957.5+5481.73j),(10803.6+4479.34j),(9634.75+2857.78j),(7581.98+2367.13j),(11556.8+3273.34j),(7066.42+2018.41j),(6950.21+1961.48j),(9747.33+2901.13j),(22180.3+6452.77j),(6747.41+1862.57j),(11704.2+3347.35j),(10138.7+3098.15j),(9253.59+2671.11j),(10230.3+3148.89j),(9971.14+3016.68j),(9915.1+2995.32j),(4492.22+1270.03j),(10235.6+3899.88j),(2832.06+977.37j),(7406.7+2281.63j),(16353.2+5078.71j),(14974.1+5108.3j),(15299.6+4101.64j),(18756.7+6571.28j),(12113.6+4890.19j),(7864.4+2504.97j),(4713.15+1372.58j),(7752.78+2450.42j),(7390.35+2273.62j),(2768.95+946.793j),(9843.4+2948.2j),(4988.72+1512.99j),(13527.1+5218.77j),(12095.7+3751.45j),(9139.68+2616.65j),(7040.83+2005.55j),(7446.82+2301.17j),(4779.11+1409.68j),(7489.55+2322.02j),(9629.21+3295.6j),(7478.15+2316.46j),(9388.81+3603.44j),(2963.93+1036.06j),(11107.9+3444.41j),(9689.8+2878.32j),(6910.25+1933.14j),(7910.64+2527.49j),(10001.8+4010.74j),(7388.09+2272.51j),1144400.0,-377397.0,196.9801625830632,132.10787696519085,155.5690590871141,0j,(348983.9+247590.21000000002j),(780353.7999999999+247928.161j),0.0,348983.9,780353.7999999999
2013-08-10 02:00:00,(1124950-364106j),(2401.78+0j),(1124940-364098j),(178.139+46.1407j),(-32.4747-140.889j),(-116.969+87.6928j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,75.922,0.85,0.0,997.0,3.3554,(10170.4+3091.73j),(8842.69+2858.23j),(14910+4170.97j),(5015.45+1829.75j),(13242.5+4959.98j),(6676.66+2224.47j),(17453.3+6645.89j),(8672.66+2774.23j),(6406.51+1985.87j),(19443.7+7751.24j),(2437.78+876.947j),(6739.37+2245.31j),(34094+12003.3j),(4337.65+1387.74j),(9004.33+2937.09j),(4816.92+1621.97j),(9286.16+3119.99j),(2424.58+876.544j),(6913.91+2335.8j),(13187.3+4779.44j),(16174.4+5469.4j),(11401.2+4355.45j),(11579+3983.29j),(2671.03+994.144j),(9490.2+3577.64j),(7488.99+2101.54j),(15804.8+4877.34j),(4418.93+1531.75j),(9543.58+3809.36j),(2735.35+1022.04j),(4267.48+1353.44j),(2493.81+912.285j),(6816.57+2289.53j),(11326.2+4126.73j),(4525.14+1479.33j),(13007.8+5157.43j),(6853.34+2308.22j),(10336.9+3167.65j),(6328.66+1946.64j),(10554.2+3783.68j),(8728.61+2802.65j),(22433+7275.75j),(6014.17+1792.71j),(10431.6+3215.53j),(13067.8+4321.74j),(8274.43+2579.69j),(21610.5+9617.56j),(12338.6+4579.3j),(8939.86+2904.68j),(4003.66+1224.61j),(13395.2+4886.31j),(2579.37+953.907j),(12020.7+4278.43j),(15350.2+4789.87j),(6554.61+2156.74j),(13606.7+3944.41j),(10152.8+3077.72j),(6863.59+2316.05j),(14018.9+5097.04j),(4206.07+1324.06j),(6981.5+2368.29j),(6660.79+2207.1j),(2515.37+922.931j),(8826.07+2850.2j),(4506.97+1470.45j),(8650.34+2763.24j),(24684+10373.9j),(8165.58+2526.44j),(6299.15+1932.14j),(6724.2+2238.52j),(4280.56+1359.86j),(6764.76+2258.6j),(5941.73+1752.19j),(6712.25+2236.72j),(4403.04+1420.16j),(2724.37+1016.15j),(13475.7+4240.1j),(13607.6+4611.49j),(14521.4+6011.84j),(7150.34+2455.31j),(4613.98+1523.03j),(6657.14+2206.08j),1124950.0,-364106.0,184.01757393654012,144.58325097012448,146.19088252295353,0j,(348983.9+247590.21000000002j),(761350.6599999997+262606.8779999999j),0.0,348983.9,761350.6599999997
2013-08-10 02:15:00,(1145920-348344j),(2401.78+0j),(1145910-348337j),(191.705+38.5848j),(-21.1902-132.897j),(-116.74+96.3705j),(18864+9432.01j),(49518+35370j),(99035.9+70740.1j),(66024+47160.1j),(115542+84888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,76.3945,0.84,0.0,997.0,2.20198,(14457.6+5237.34j),(8715.68+2796.21j),(14853.9+4144.02j),(4960.18+1803.54j),(10199.4+3105.35j),(6605.32+2189.43j),(11648.2+3399.42j),(14353.3+5554.01j),(6404.02+1984.73j),(15989.3+6545.16j),(2367.95+842.83j),(6689.12+2220.7j),(37384.6+14026.2j),(4229.06+1334.69j),(8891.29+2881.88j),(4737.59+1583.18j),(9258.15+3245.15j),(2421.49+874.786j),(6878.98+2319.14j),(20414.4+8076.69j),(22479.4+8543.05j),(11337.4+4323.54j),(11440.9+3915.31j),(2590.02+955.077j),(6104.92+1837.97j),(7447.43+2081.23j),(13334.5+3809.66j),(7323.23+3093.93j),(4313.41+1375.84j),(2740.03+1024.6j),(4202.96+1321.94j),(2490.35+910.323j),(6691.1+2228.14j),(11267.2+4096.58j),(4462.2+1448.57j),(22026.2+10019.7j),(6844.99+2303.88j),(10254.6+3127.65j),(6330.75+1947.6j),(6212.87+1889.92j),(8677.28+2777.57j),(26385.7+9198.04j),(5924.31+1748.72j),(10301.3+3151.54j),(9041.8+2954.89j),(10674.1+3560.14j),(9153.26+3009j),(20155.9+9049.25j),(8893.89+2882.22j),(11727.6+5428.22j),(6134.15+1850.78j),(9026.11+4570.4j),(11572.1+4328.07j),(21496.1+7490.85j),(9817.35+3900.99j),(13482.1+3883.79j),(10053.2+3029.23j),(11815.6+5106.35j),(7031.65+2398.49j),(4202.13+1322.12j),(6862.99+2310.93j),(12397.1+4173.85j),(2443.59+887.803j),(16781.9+6669.2j),(4445.68+1440.49j),(8588.24+2732.89j),(10858.8+3633.37j),(14876.4+5330.67j),(6213.87+1890.19j),(6591.28+2173.53j),(4232.63+1336.46j),(6659.73+2207.26j),(5893.4+1728.74j),(10073.6+4108.81j),(4397.48+1417.43j),(2721.55+1014.6j),(10064.1+3313.14j),(8602.55+2740.55j),(14479.9+5990.44j),(6952.39+2358.62j),(4547.34+1490.47j),(6534.93+2146.43j),1145920.0,-348344.0,195.54946641717027,134.57576745105337,151.37866715706676,0j,(348983.9+247590.21000000002j),(782139.0700000001+277155.49900000007j),0.0,348983.9,782139.0700000001
